tweet_id,tweet,class
3333439920,&hearts: Recieved The Tdap Vaccine About The Time I Got Pregnant And Was Wondering If Anyone Knows The Risks/dangers ? http://bit.ly/2IdAD,1
3333439920,&hearts: Recieved The Tdap Vaccine About The Time I Got Pregnant And Was Wondering If Anyone Knows The Risks/dangers ? http://bit.ly/2IdAD,1
14654935285,Recieved the TDAP vaccine about the time I got pregnant and was wondering if anyone knows the risks/dangers ? http://bit.ly/arHXc0,1
14654935285,Recieved the TDAP vaccine about the time I got pregnant and was wondering if anyone knows the risks/dangers ? http://bit.ly/arHXc0,1
28062088150,Salient remindr on TDaP: RT DrJenGunter 10th baby in CA dies frm pertussis: What pregnant women need 2 know http://exm.nr/bgoLko vaxfax,1
27766534329,"No Tdap for pregnant women until they deliver. But other family, yes. RT alison1L: Whooping cough vax/ ? to ask my general practitioner?",1
25422371892,"Pregnant and post partum moms, get Tdap to protect your infant from Pertussis. 
Read more. http://tinyurl.com/383fzqp",1
25126394542,So I asked my doctor if it was safe to get the flu and Tdap shot while pregnant and he said yes. I looked it up on...  http://bit.ly/aVsrSf,1
24537944836,Poet_Carl_Watts: ...docs urge get a booster shot (Tdap)...vaccine has not been thoroughly studied N pregnant ... http://tmi.me/1op0Y,1
24532579287,...docs urge get a booster shot (Tdap)...vaccine has not been thoroughly studied N pregnant women? Info4U! http://ow.ly/2uvxf,1
22673223400,Government Okays Untested Vaccine for Pregnant Women - Vital Votes ...: At least there's no mercury in the Tdap v... http://bit.ly/dAwddG,1
22294312488,California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In http://bit.ly/9sHwqR  autism ageofautism,1
22215195610,California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In: Dr. Bob Sears talks about Califor... http://bit.ly/acVdKH,1
22215021924,California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In http://bit.ly/9RsfBU,1
22212175722,Dr. Bob Sears: Government Okays Untested Vaccine for Pregnant Women: The Tdap (or ANY pertussis vaccine for that m... http://bit.ly/bHdvKC,1
22211204319,RT AgeofAutism: California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In http://bit.ly/9sHwqR,1
22210522280,California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In: Dr. Bob Sears talks about Califor... http://bit.ly/9WldR2,1
22208226077,California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In http://bit.ly/9sHwqR,1
22038650504,...docs urge get a booster shot (Tdap)...vaccine has not been thoroughly studied in pregnant women? KnowledgeIsPower! http://is.gd/eAXoF,1
16926688986,Adults with close contact with an infant-incl women who may become pregnant-need a dose of Tdap.  http://bit.ly/amQHlG  Available  MDs4kids,1
15861785204,Pregnant mothers should get Tdap after delivery. Other infant-anticipating adults should get shot at least 4 wks before infant interaction.,1
15452986209,women news Study of Tdap Vaccine in Healthy Pregnant Women: Related Content Health Articles Understanding http://url4.eu/44EJT,1
15357563776,women news Study of Tdap Vaccine in Healthy Pregnant and Non-Pregnant Women: Related Content Health Articles http://url4.eu/41k38,1
28062088150,Salient remindr on TDaP: RT DrJenGunter 10th baby in CA dies frm pertussis: What pregnant women need 2 know http://exm.nr/bgoLko vaxfax,1
27766534329,"No Tdap for pregnant women until they deliver. But other family, yes. RT alison1L: Whooping cough vax/ ? to ask my general practitioner?",1
25422371892,"Pregnant and post partum moms, get Tdap to protect your infant from Pertussis. 
Read more. http://tinyurl.com/383fzqp",1
25126394542,So I asked my doctor if it was safe to get the flu and Tdap shot while pregnant and he said yes. I looked it up on...  http://bit.ly/aVsrSf,1
24537944836,Poet_Carl_Watts: ...docs urge get a booster shot (Tdap)...vaccine has not been thoroughly studied N pregnant ... http://tmi.me/1op0Y,1
24532579287,...docs urge get a booster shot (Tdap)...vaccine has not been thoroughly studied N pregnant women? Info4U! http://ow.ly/2uvxf,1
22673223400,Government Okays Untested Vaccine for Pregnant Women - Vital Votes ...: At least there's no mercury in the Tdap v... http://bit.ly/dAwddG,1
22294312488,California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In http://bit.ly/9sHwqR  autism ageofautism,1
22215195610,California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In: Dr. Bob Sears talks about Califor... http://bit.ly/acVdKH,1
22215021924,California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In http://bit.ly/9RsfBU,1
22212175722,Dr. Bob Sears: Government Okays Untested Vaccine for Pregnant Women: The Tdap (or ANY pertussis vaccine for that m... http://bit.ly/bHdvKC,1
22211204319,RT AgeofAutism: California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In http://bit.ly/9sHwqR,1
22210522280,California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In: Dr. Bob Sears talks about Califor... http://bit.ly/9WldR2,1
22208226077,California Advises Pregnant Women to Take Tdap Vaccine: Dr. Bob Sears Weighs In http://bit.ly/9sHwqR,1
22038650504,...docs urge get a booster shot (Tdap)...vaccine has not been thoroughly studied in pregnant women? KnowledgeIsPower! http://is.gd/eAXoF,1
