tweet_id,tweet,class
96263452,"can't get rid of migraine, only being able to take tylenol while pregnant sucketh!",1
49744092,"Pregnant wife with migraine.  Ice pack, Coke and Tylenol supplied.",1
96263452,"can't get rid of migraine, only being able to take tylenol while pregnant sucketh!",1
49744092,"Pregnant wife with migraine.  Ice pack, Coke and Tylenol supplied.",1
558926272,Spent my week off sick as a dog.  It sucks that you can only take Tylenol when you are pregnant!!!,1
558926272,Spent my week off sick as a dog.  It sucks that you can only take Tylenol when you are pregnant!!!,1
1050016630,micropreemies I don't even like to take Tylenol when I'm NOT pregnant.  ;-),1
1049821471,My temp is now 100.8... to take the Tylenol or not?  I'm always confused about what's best when pregnant... sigh...,1
1001924825,what can i take while pregnant: can i take tylenol while pregnant? http://tinyurl.com/69anu5,1
998325379,DawnMHSH Tylenol sounds good... but should I? Poor little baby. My back is killing me. Pregnant and this wooden computer chair don't mix.,1
988817218,I'm so tired. Tylenol PM = my friend.  But hopefully not that slutty friend from high school who slept w/my boyfriend while I was pregnant.,1
970545135,I'm totally glad that tylenol was ok'd by doc for this pregnant lady. I couldn't take these sinus headaches anymore.,1
970543621,njnrez what's extra pregnant? Is that like extra strength tide or maximum strength tylenol?,1
963000145,pregnant people can't take advil :-(  only tylenol and it doesn't work as well I think,1
934710646,Feel a cold coming on.  Wish I could take something while pregnant other than Extra-Strength Tylenol and herbal tea!,1
919080380,tamera Tylenol is fine for pregnant women.  And while i'm on that subject two words for you....body pillow.,1
899512178,"oh crap... the ""woopiness"" is coming.....     (aka: monthly proof that i'm not pregnant) ... *reaches for the tylenol*",1
867726010,I forgot...what can pregnant ladies take for headaches?  Tylenol or Motrin? OR???,1
807489967,eliabelmares eliabelmares any luck getting your temp down?  you are allowed to take tylenol when pregnant.,1
800835124,Hubs is finally coming home tonite. Bowchickabo... Oh who am I kidding. I'm 9mos. pregnant. Bring me Tylenol & a heating pad & go away.,1
800017230,Told the dental hygenist that I've been taking Tylenol regularly. Oh? Why? She asks. Uh because I'm pregnant and uncomfortable.,1
1050016630,micropreemies I don't even like to take Tylenol when I'm NOT pregnant.  ;-),1
1049821471,My temp is now 100.8... to take the Tylenol or not?  I'm always confused about what's best when pregnant... sigh...,1
1001924825,what can i take while pregnant: can i take tylenol while pregnant? http://tinyurl.com/69anu5,1
998325379,DawnMHSH Tylenol sounds good... but should I? Poor little baby. My back is killing me. Pregnant and this wooden computer chair don't mix.,1
988817218,I'm so tired. Tylenol PM = my friend.  But hopefully not that slutty friend from high school who slept w/my boyfriend while I was pregnant.,1
970545135,I'm totally glad that tylenol was ok'd by doc for this pregnant lady. I couldn't take these sinus headaches anymore.,1
970543621,njnrez what's extra pregnant? Is that like extra strength tide or maximum strength tylenol?,1
963000145,pregnant people can't take advil :-(  only tylenol and it doesn't work as well I think,1
934710646,Feel a cold coming on.  Wish I could take something while pregnant other than Extra-Strength Tylenol and herbal tea!,1
919080380,tamera Tylenol is fine for pregnant women.  And while i'm on that subject two words for you....body pillow.,1
899512178,"oh crap... the ""woopiness"" is coming.....     (aka: monthly proof that i'm not pregnant) ... *reaches for the tylenol*",1
867726010,I forgot...what can pregnant ladies take for headaches?  Tylenol or Motrin? OR???,1
807489967,eliabelmares eliabelmares any luck getting your temp down?  you are allowed to take tylenol when pregnant.,1
800835124,Hubs is finally coming home tonite. Bowchickabo... Oh who am I kidding. I'm 9mos. pregnant. Bring me Tylenol & a heating pad & go away.,1
800017230,Told the dental hygenist that I've been taking Tylenol regularly. Oh? Why? She asks. Uh because I'm pregnant and uncomfortable.,1
3982331206,"LittleDickensD I'm pregnant and on blood thinners, nothing but tylenol for me :(",1
3950200944,QuelWilson Not really.  There are much better things for a pregnant woman!  Start by ditching the Tylenol and prenatals.. ask me 4 info,1
3949724073,"I'm retaliating with berries, water, prenatal vitamins, and Tylenol. That's really all a pregnant woman has in the arsenal...",1
3870400540,Mayra mistakenly took Tylenol PM this morning for a headache. She is at work right now. I feel sorry for her 7 months pregnant and sleepy.,1
