tweet_id,tweet,class
1027669060,Is there an equivalent to xanax for the pregnant population?,1
843342057,gloriousleader Done! Defendant guilty of lesser charges on three counts. Case v. dramatic including pregnant girlfriends and Xanax bars.,1
823036269,forgot Damn! Xanax and Beer while pregnant? Stupid bitch.  Sounds like you are having a rough night bro.  Stay safe and alert!!!,1
823034428,"Please, for the love of God, do not take Xanax and drink beer when your pregnant, and then expect me to by sympathetic.",1
1027669060,Is there an equivalent to xanax for the pregnant population?,1
843342057,gloriousleader Done! Defendant guilty of lesser charges on three counts. Case v. dramatic including pregnant girlfriends and Xanax bars.,1
823036269,forgot Damn! Xanax and Beer while pregnant? Stupid bitch.  Sounds like you are having a rough night bro.  Stay safe and alert!!!,1
823034428,"Please, for the love of God, do not take Xanax and drink beer when your pregnant, and then expect me to by sympathetic.",1
3906777036,"Famous Spokes Models Against Drugs: Hello,xanax drug The medication is also not advisable to pregnant women beca.. http://bit.ly/MYEg1",1
3778274558,"http://bit.ly/krpRQ
 Answer this question: Is it safe to take xanax while pregnant?...",1
3658311830,"Ambersonian ha, i like that one too!  Don't take Xanax while pregnant, btw ;)  I think there are other better ways to treat anxiety.",1
3488582563,(RealVicHung) Crazy b*tch with xanax. Put her in handcuffs and suddenly she is pregnant and her vagina is bleeding... riiiight,1
2748583419,Pregnant daughter in law is in the hospital with pneumonia. Baby is fine. This is why I need Xanax.,1
2304875330,"God bless discovery health...""Pregnant for 48 Years"" holy xanax thats gross...even a tounge twister?",1
1995997311,"antheia Just made it funny after she got pregnant. Now, if she takes an allergy pill, it knocks her out. Used to take xanax for that. LOL",1
1391094337,jenouflex I was actually wondering about that... My miracle drug (Xanax) is no go for pregnant ladies? :(,1
3906777036,"Famous Spokes Models Against Drugs: Hello,xanax drug The medication is also not advisable to pregnant women beca.. http://bit.ly/MYEg1",1
3778274558,"http://bit.ly/krpRQ
 Answer this question: Is it safe to take xanax while pregnant?...",1
3658311830,"Ambersonian ha, i like that one too!  Don't take Xanax while pregnant, btw ;)  I think there are other better ways to treat anxiety.",1
3488582563,(RealVicHung) Crazy b*tch with xanax. Put her in handcuffs and suddenly she is pregnant and her vagina is bleeding... riiiight,1
2748583419,Pregnant daughter in law is in the hospital with pneumonia. Baby is fine. This is why I need Xanax.,1
2304875330,"God bless discovery health...""Pregnant for 48 Years"" holy xanax thats gross...even a tounge twister?",1
1995997311,"antheia Just made it funny after she got pregnant. Now, if she takes an allergy pill, it knocks her out. Used to take xanax for that. LOL",1
1391094337,jenouflex I was actually wondering about that... My miracle drug (Xanax) is no go for pregnant ladies? :(,1
15204908084,Xanax Online v123m - Software Bisque: xanax pregnant xanax health effects can you mix valium with xanax ... green ... http://bit.ly/c9qKrU,1
14804699112,"DANNY_VICIOUS I'm pregnant, and I'm pretty sure it's yours. Or your cousins. I can't remember. Fuckin xanax.",1
14678798777,Which is worse? Xanax 1 day a month or Paxil everyday (if you are trying to get pregnant).? http://bit.ly/a3REWm,1
14645954414,Xanax-online-without - Profile - True Blood: pregnant women and xanax can you shoot xanax xanax 258 adavan ... gre... http://bit.ly/b1Qfqu,1
14610272579,xanax-m121m - Profile - Oracle Wiki: xanax before pregnant xanax yahoo how does xanax affect the body buy xanax ph... http://bit.ly/99Vcrk,1
14314692583,Which is worse? Xanax 1 day a month or Paxil everyday (if you are trying to get pregnant).? http://bit.ly/dAXcbE,1
14286691313,Xanax Online r120m | GRAMMY.com: green xanax bars mg people selling xanax xanax vs lexapro ... can a pregnant woma... http://bit.ly/dBp0Tu,1
14246781634,"millarca wine v. xanax while pregnant. While not preg or nursing, I take the drugs.",1
14124511560,buy generic Xanax online | cleveland.com: xanax weight gain with xanax poppers took xanax while pregnant pictures ... http://bit.ly/d9VDAt,1
13844570627,Xanax without rx | GRAMMY.com: xanax and getting pregnant hot to get prescribed xanax can you maineline xanax ....... http://bit.ly/9nVveQ,1
13783820784,Xanax drugs's Profile - Technorati: ... no prescription can you take xanax while pregnant xanax withdrawals last h... http://bit.ly/d3UZez,1
13690882144,Which is worse? Xanax 1 day a month or Paxil everyday (if you are trying to get pregnant).? http://bit.ly/axTDgJ,1
13499886015,shilohwalker NDUNCANWRITER She was a flaming idiot. And she's pregnant again. I need a Xanax.,1
13162903006,Which is worse? Xanax 1 day a month or Paxil everyday (if you are trying to get pregnant).? http://bit.ly/bL0t1P,1
12793668552,Which is worse? Xanax 1 day a month or Paxil everyday (if you are trying to get pregnant).? http://bit.ly/c5uyE4,1
12661090209,How To Get Pregnant 3 Tips Everybody Should Know ...: Xanax weight loss forum buy the cheapest Xanax online index.... http://bit.ly/9lnsmP,1
12660504951,Latest News How To Get Pregnant 3 Tips Everybody Should Know ...: Xanax weight loss forum buy the cheapest Xanax o... http://bit.ly/cK1VXx,1
12635033179,"Why would anyone's dr while pregnant keep them on benzodiapenes while pregnant? (ie xanax,Klonopin,etc) I ask this...  http://bit.ly/aVsrSf",1
12450434921,Which is worse? Xanax 1 day a month or Paxil everyday (if you are trying to get pregnant).? http://bit.ly/cW4U0w,1
12115749349,Which is worse? Xanax 1 day a month or Paxil everyday (if you are trying to get pregnant).? http://bit.ly/dj68hi,1
15204908084,Xanax Online v123m - Software Bisque: xanax pregnant xanax health effects can you mix valium with xanax ... green ... http://bit.ly/c9qKrU,1
14804699112,"DANNY_VICIOUS I'm pregnant, and I'm pretty sure it's yours. Or your cousins. I can't remember. Fuckin xanax.",1
14678798777,Which is worse? Xanax 1 day a month or Paxil everyday (if you are trying to get pregnant).? http://bit.ly/a3REWm,1
14645954414,Xanax-online-without - Profile - True Blood: pregnant women and xanax can you shoot xanax xanax 258 adavan ... gre... http://bit.ly/b1Qfqu,1
14610272579,xanax-m121m - Profile - Oracle Wiki: xanax before pregnant xanax yahoo how does xanax affect the body buy xanax ph... http://bit.ly/99Vcrk,1
14314692583,Which is worse? Xanax 1 day a month or Paxil everyday (if you are trying to get pregnant).? http://bit.ly/dAXcbE,1
14286691313,Xanax Online r120m | GRAMMY.com: green xanax bars mg people selling xanax xanax vs lexapro ... can a pregnant woma... http://bit.ly/dBp0Tu,1
14246781634,"millarca wine v. xanax while pregnant. While not preg or nursing, I take the drugs.",1
