tweet_id,tweet,class
202683902,I am not pregnant and have been taking Zantac everyday for months now.  sympathies.,1
202683902,I am not pregnant and have been taking Zantac everyday for months now.  sympathies.,1
4031566726,chris71na I swear I ate Tums like candy when I was pregnant! Zantac works really well!,1
3840985290,I have awful heart burn. Got to go to the store and get some zantac its killing me. Haven't had it this bad since i was pregnant,1
2272454530,"the zantac isnt working! i have heartburn like im 9 months pregnant. ew, scary thought",1
1242205020,ABombshell Really not the best idea for a pregnant woman!  Make sure you have plenty of Zantac for afterward :),1
4031566726,chris71na I swear I ate Tums like candy when I was pregnant! Zantac works really well!,1
3840985290,I have awful heart burn. Got to go to the store and get some zantac its killing me. Haven't had it this bad since i was pregnant,1
2272454530,"the zantac isnt working! i have heartburn like im 9 months pregnant. ew, scary thought",1
1242205020,ABombshell Really not the best idea for a pregnant woman!  Make sure you have plenty of Zantac for afterward :),1
11030391493,MissKeriBaby Zantac in the gold pack is the bomb for that! I definitely lived by it when I was pregnant!! **ps: works FAST!**,1
9077513450,Just purchased Zantac and chocolate. I'm pregnant.,1
8577444748,"bctripletmom I am 35+weeks pregnant. with my 3rd. take Zantac daily and also tums, i am immune now.",1
8136985078,Can I take Zantac 150 while pregnant?  Because I would take the whole bottle if this heartburn would just go away!,1
7644269849,Aaah. It's almost 5 pm. The traditional time for (pregnant) me to raid the huge vat of Tums and dream about the Zantac I'll take later. fb,1
5608343125,At 23weeks pregnant I have become immune to TUMS. going to try a zantac and hit the wedge pillow.,1
4921879150,Eating red grapes and pizza. Better take a zantac. 20wks pregnant,1
4647998662,Taby74 DyNama I took Zantac 75 while I was pregnant and it was a miracle pill. Water gave me heartburn it was so bad.,1
4564008753,"""I don't smoke no fucking weed, I'll chew my arm off. I'm a Zantac eater. I eat tissues.  I ate too many tissues when I was pregnant """,1
11030391493,MissKeriBaby Zantac in the gold pack is the bomb for that! I definitely lived by it when I was pregnant!! **ps: works FAST!**,1
9077513450,Just purchased Zantac and chocolate. I'm pregnant.,1
8577444748,"bctripletmom I am 35+weeks pregnant. with my 3rd. take Zantac daily and also tums, i am immune now.",1
8136985078,Can I take Zantac 150 while pregnant?  Because I would take the whole bottle if this heartburn would just go away!,1
7644269849,Aaah. It's almost 5 pm. The traditional time for (pregnant) me to raid the huge vat of Tums and dream about the Zantac I'll take later. fb,1
5608343125,At 23weeks pregnant I have become immune to TUMS. going to try a zantac and hit the wedge pillow.,1
4921879150,Eating red grapes and pizza. Better take a zantac. 20wks pregnant,1
4647998662,Taby74 DyNama I took Zantac 75 while I was pregnant and it was a miracle pill. Water gave me heartburn it was so bad.,1
4564008753,"""I don't smoke no fucking weed, I'll chew my arm off. I'm a Zantac eater. I eat tissues.  I ate too many tissues when I was pregnant """,1
668884696521154560,Being out of both tums and Zantac is a pregnant girl's worst nightmare ,1
657757206109159424,I'm probably the only person who gets soo excited every 12 hours just to take a Zantac! Such relief when you're pregnant! thelittlethings,1
656276913720328192,Zantac is a life saver for acid reflux when pregnant lol ,1
650331307323461632,I never had heartburn until I was pregnant but it's the WORST thing ever! If it doesn't go away try Zantac  https://twitter.com/gbaaaby2/status/650307283683971072,1
642024050160758784,When your 9 months pregnant & you run outta Zantac <<<<< ,1
625755747054448640,Zantac Safe When Pregnant Acid http://entadabygiorgiagibellato.altervista.org/zantac-safe-when-pregnant-acid/,1
621651015050362884,"baiiweee well damn lol, that'll be just my luck too. I've been eating Zantac like no other. I never had it until I got pregnant. Yuck. ",1
609529101024690176,Do anybody know if I can take zantac while I'm pregnant?!,1
608698464218791936,Natybynature01 You might need to upgrade to something like Zantac (unless you are pregnant) or try apple cider vinegar.,1
608367940363239425,Horrible pregnancy indigestion PregnancyProblems pregnant soOverIt mummypageschat IcantGetNoSleep gavison zantac babycentreblog,1
608309869586870273,Heathie_Pie Zantac! I never took it pregnant because I was scared but I heard it does wonders for others!,1
602284099349422081,FeliciaFoti zantac its over the counter heartburn and its okay to take while you're pregnant. It works wonders ,1
595024842501545984,"Fortunate is the husband who buys his pregnant wife Zantac, Milk of Magnesia and Tums without being asked for he... http://fb.me/3I52znSJn",1
668884696521154560,Being out of both tums and Zantac is a pregnant girl's worst nightmare ,1
657757206109159424,I'm probably the only person who gets soo excited every 12 hours just to take a Zantac! Such relief when you're pregnant! thelittlethings,1
656276913720328192,Zantac is a life saver for acid reflux when pregnant lol ,1
650331307323461632,I never had heartburn until I was pregnant but it's the WORST thing ever! If it doesn't go away try Zantac  https://twitter.com/gbaaaby2/status/650307283683971072,1
642024050160758784,When your 9 months pregnant & you run outta Zantac <<<<< ,1
625755747054448640,Zantac Safe When Pregnant Acid http://entadabygiorgiagibellato.altervista.org/zantac-safe-when-pregnant-acid/,1
621651015050362884,"baiiweee well damn lol, that'll be just my luck too. I've been eating Zantac like no other. I never had it until I got pregnant. Yuck. ",1
609529101024690176,Do anybody know if I can take zantac while I'm pregnant?!,1
608698464218791936,Natybynature01 You might need to upgrade to something like Zantac (unless you are pregnant) or try apple cider vinegar.,1
608367940363239425,Horrible pregnancy indigestion PregnancyProblems pregnant soOverIt mummypageschat IcantGetNoSleep gavison zantac babycentreblog,1
608309869586870273,Heathie_Pie Zantac! I never took it pregnant because I was scared but I heard it does wonders for others!,1
602284099349422081,FeliciaFoti zantac its over the counter heartburn and its okay to take while you're pregnant. It works wonders ,1
595024842501545984,"Fortunate is the husband who buys his pregnant wife Zantac, Milk of Magnesia and Tums without being asked for he... http://fb.me/3I52znSJn",1
36219126770827264,long terms effects accutane: yeast infection cipro recommended accutane dosage amounts zantac while pregnant cipro side http://bit.ly/dFb7sp,1
34304792239017984,At walgreens & the pharmacist says zantac is safe for pregnant women with heart burn. $15 for generic. Ouch,1
23590684464250880,Zantac iLove_Marauderz: Heartburn wtf hate this shit... so pregnant,1
19975164557008897,Zantac 75mg twice a day iSHiNExX: dj_cobra im in a lil pain lol. Heartburn pregnant,1
19655072795332608,"Zantac 75mg twice a day to start PippaPear Major heartburn, burny throat. :( pregnant",1
15630608290021376,MyOwnKindOfMe I had it horribly when I was pregnant as well.  Zantac 75 and tums are your friend! Totally safe too.,1
11077890380664832,Zantac is safe nataliepowers: Had horrible acid reflux for one of the first times during this pregnancy. Kept me up all night. pregnant,1
3137598503518208,Save $3.00 off Zantac  + reminder of the Free sample of Prilosec.  (Zantac was my friend when I was pregnant) http://fb.me/NXB8whjd,1
29541857234,Zantac is safe lindyoverandout: Having my first experience of heartburn.. Not fun pregnant,1
24712481965,26w5d pregnant and starting my second bottle of zantac. I took one before eating dinner and still got heartburn. Fail.,1
21612677046,"goodgoogs Ok its a no for bicard when pregnant. OB's recommend Zantac if it is bad, and if mild Rennies are the better ones.",1
21378349127,mommyneedsvaca Can I take Zantac while I'm pregnant?? I have heard that Tums is safe during pregnancy....never tried it though.,1
21168958130,"Childcareisfun_ One word - Zantac (but get Rich to buy it cos although safe, they are paranoid about giving it to pregnant women)",1
20914116113,taratweets_ Try some saltines. I ate loads of them while I was pregnant and couldn't partake of the Zantac.,1
18001245803,"why am I in walmart buying Zantac and popsicles at 9:30? 
bc I'm in love with a pregnant lady.",1
15544744752,Zantac with a Benadryl chaser. Pregnant ladies know how to party.,1
36219126770827264,long terms effects accutane: yeast infection cipro recommended accutane dosage amounts zantac while pregnant cipro side http://bit.ly/dFb7sp,1
34304792239017984,At walgreens & the pharmacist says zantac is safe for pregnant women with heart burn. $15 for generic. Ouch,1
23590684464250880,Zantac iLove_Marauderz: Heartburn wtf hate this shit... so pregnant,1
19975164557008897,Zantac 75mg twice a day iSHiNExX: dj_cobra im in a lil pain lol. Heartburn pregnant,1
19655072795332608,"Zantac 75mg twice a day to start PippaPear Major heartburn, burny throat. :( pregnant",1
15630608290021376,MyOwnKindOfMe I had it horribly when I was pregnant as well.  Zantac 75 and tums are your friend! Totally safe too.,1
11077890380664832,Zantac is safe nataliepowers: Had horrible acid reflux for one of the first times during this pregnancy. Kept me up all night. pregnant,1
3137598503518208,Save $3.00 off Zantac  + reminder of the Free sample of Prilosec.  (Zantac was my friend when I was pregnant) http://fb.me/NXB8whjd,1
29541857234,Zantac is safe lindyoverandout: Having my first experience of heartburn.. Not fun pregnant,1
24712481965,26w5d pregnant and starting my second bottle of zantac. I took one before eating dinner and still got heartburn. Fail.,1
21612677046,"goodgoogs Ok its a no for bicard when pregnant. OB's recommend Zantac if it is bad, and if mild Rennies are the better ones.",1
21378349127,mommyneedsvaca Can I take Zantac while I'm pregnant?? I have heard that Tums is safe during pregnancy....never tried it though.,1
21168958130,"Childcareisfun_ One word - Zantac (but get Rich to buy it cos although safe, they are paranoid about giving it to pregnant women)",1
20914116113,taratweets_ Try some saltines. I ate loads of them while I was pregnant and couldn't partake of the Zantac.,1
18001245803,"why am I in walmart buying Zantac and popsicles at 9:30? 
bc I'm in love with a pregnant lady.",1
15544744752,Zantac with a Benadryl chaser. Pregnant ladies know how to party.,1
870105982285881344,"Pregnant me: I think I'll have a snack before bed. 
Also pregnant me: Zantac 75 oughta do it.",1
869002403932188672,Zantac 150. It works and ok for pregnant woman. It saved my life lol,1
868993179781148676,have you tried Zantac? that was the only thing that worked for me while pregnant,1
864663559623593986,"Zantac will be your best friend, I have only had heartburn when pregnant with my kids.  My daughter who had some serious hair!",1
863957366479495168,"I still have Gerd, ever since I was pregnant last time. Zantac all the time. I quit PPIs because the interfere with other meds",1
849791268184092674,Im gone need a Zantac in 3 seconds. Can't stay my big pregnant ass away from spicy food,1
843636069493084161,I never had heartburn till I got pregnant. Then it got so bad I had to sleep sitting up.  Zantac & milk. Also chewing gum helps,1
840285882338934784,ughhh dude I know it's the freaking WORSSSSST. I still get it really bad I religiously had to eat Zantac while I was pregnant,1
840262560737816578,"Zantac worked wonders for me when I was pregnant with my babies, it's doctor approved https://twitter.com/MrsKYHunter/status/840051688283201536",1
825743644925759489,Tums + Zantac = life saver for a pregnant woman.,1
815258599639220224,Zantac or tums. Those were my best friends when I was pregnant to HazelLeigh lol.,1
798871414518542336,My doc approved Zantac when pregnant!,1
793549103783370752,"Seriously, I THINK I need regular doses of Zantac these days because I'm pregnant, but I'm honestly not sure.",1
793056224455647236,try Zantac it was the only thing that worked when I was pregnant,1
789463658774409217,Be careful what you take while pregnant. Just because it's over the counter doesn't mean it's safe. No on the Zantac!,1
780454477698437120,Wish I got a cake from my parents that time a clinic told them I was pregnant and my parents believed them even tho I was a virgin  https://twitter.com/girlposts/status/780359940791730176,1
780175881503473667,qcgwhNUmuTZHRcdCC - I'm training to be an engineer zantac vs prilosec while pregnant  Now Victoria is going to pro...,1
778694274162450433,This pregnant food blogger new best friends: Zantac & Tums. Heartburn ain't no joke!,1
870105982285881344,"Pregnant me: I think I'll have a snack before bed. 
Also pregnant me: Zantac 75 oughta do it.",1
869002403932188672,Zantac 150. It works and ok for pregnant woman. It saved my life lol,1
868993179781148676,have you tried Zantac? that was the only thing that worked for me while pregnant,1
864663559623593986,"Zantac will be your best friend, I have only had heartburn when pregnant with my kids.  My daughter who had some serious hair!",1
863957366479495168,"I still have Gerd, ever since I was pregnant last time. Zantac all the time. I quit PPIs because the interfere with other meds",1
849791268184092674,Im gone need a Zantac in 3 seconds. Can't stay my big pregnant ass away from spicy food,1
843636069493084161,I never had heartburn till I got pregnant. Then it got so bad I had to sleep sitting up.  Zantac & milk. Also chewing gum helps,1
840285882338934784,ughhh dude I know it's the freaking WORSSSSST. I still get it really bad I religiously had to eat Zantac while I was pregnant,1
840262560737816578,"Zantac worked wonders for me when I was pregnant with my babies, it's doctor approved https://twitter.com/MrsKYHunter/status/840051688283201536",1
825743644925759489,Tums + Zantac = life saver for a pregnant woman.,1
815258599639220224,Zantac or tums. Those were my best friends when I was pregnant to HazelLeigh lol.,1
798871414518542336,My doc approved Zantac when pregnant!,1
793549103783370752,"Seriously, I THINK I need regular doses of Zantac these days because I'm pregnant, but I'm honestly not sure.",1
793056224455647236,try Zantac it was the only thing that worked when I was pregnant,1
789463658774409217,Be careful what you take while pregnant. Just because it's over the counter doesn't mean it's safe. No on the Zantac!,1
780454477698437120,Wish I got a cake from my parents that time a clinic told them I was pregnant and my parents believed them even tho I was a virgin  https://twitter.com/girlposts/status/780359940791730176,1
780175881503473667,qcgwhNUmuTZHRcdCC - I'm training to be an engineer zantac vs prilosec while pregnant  Now Victoria is going to pro...,1
778694274162450433,This pregnant food blogger new best friends: Zantac & Tums. Heartburn ain't no joke!,1
215182593442840576,"http://ivavideo.org/wp-content/themes/DeepFocus/zantac-while-pregnant zantac while pregnant
http://kastamonutb.org.tr/eski/modules/SO/nolvadex-on-empty-stomach nolvadex on empty stomach",1
214893251784740865,can i take zantac 75 while pregnant http://bit.ly/Nc2e9R,1
214323384492900352,Is it safe to take zantac 150 twice a day while pregnant http://bit.ly/N4YyX6,1
210125770822127618,"Slimrae_1987 taking zantac is oky while ur pregnant. My doctor gave me the okay to buy them over the counter, they really helped",1
208895696751968257,cbcaron I used to have one for Prilosec but when I got pregnant dr switched me to Zantac which is NOT cutting it,1
207760615530446848,Being 11 days overdue gives me more time to appreciate the heartburn-easing awesomeness of Zantac. positivestatus pregnant babywatch,1
207560447354875906,"-.- slightly salty now, im not pregnant..i just have bad allergies and have to take medicine that makes me bloated! word to zantac!",1
197425928727576577,Zantac is a pregnant girls best friend!!,1
195675888363380738,"ValerieCatrow Hoping it's gone by now, but if not, go buy some Zantac. Got me through vicious heartburn I had while pregnant with Jack",1
193965582134153216,"Mama_Strick no to the Zantac, yes to the gallbladder. It's only while pregnant though, normally I never get heartburn.",1
192688089213304833,Someone on Facebook just told my pregnant friend complaining about heartburn that zantac is a deadly medicine. There are no words.,1
185143505444806656,can you take zantac when you are pregnant http://can-you-take-zantac-when-you-are-pregnant.cheapillsshop.com,1
176224789688627200,"CattPrez 12hr Zantac? I live on Losec,without them,I have the reflux everyday,regardless of diet! An Im not pregnant!",1
170918822872743936,She takes zantac? 0_o you can do that while pregnant?,1
170252504322408448,http://bit.ly/y9LJab taking zantac while pregnant,1
169242980182532096,http://bit.ly/zymr9r zantac and tums together while pregnant,1
157968770550349824,getting pregnant with Zantac http://is.gd/N0M84s,1
155418209741307904,DoctorChristian can you take zantac for heartburn when pregnant?,1
139128872800223232,Order online Vasotec 2 5 drug: Zantac 150 while pregnant is ok.:      Latest news on Generic Zoloft differences.... http://bit.ly/rCknZL,1
215182593442840576,"http://ivavideo.org/wp-content/themes/DeepFocus/zantac-while-pregnant zantac while pregnant
http://kastamonutb.org.tr/eski/modules/SO/nolvadex-on-empty-stomach nolvadex on empty stomach",1
214893251784740865,can i take zantac 75 while pregnant http://bit.ly/Nc2e9R,1
214323384492900352,Is it safe to take zantac 150 twice a day while pregnant http://bit.ly/N4YyX6,1
210125770822127618,"Slimrae_1987 taking zantac is oky while ur pregnant. My doctor gave me the okay to buy them over the counter, they really helped",1
208895696751968257,cbcaron I used to have one for Prilosec but when I got pregnant dr switched me to Zantac which is NOT cutting it,1
207760615530446848,Being 11 days overdue gives me more time to appreciate the heartburn-easing awesomeness of Zantac. positivestatus pregnant babywatch,1
207560447354875906,"-.- slightly salty now, im not pregnant..i just have bad allergies and have to take medicine that makes me bloated! word to zantac!",1
197425928727576577,Zantac is a pregnant girls best friend!!,1
195675888363380738,"ValerieCatrow Hoping it's gone by now, but if not, go buy some Zantac. Got me through vicious heartburn I had while pregnant with Jack",1
193965582134153216,"Mama_Strick no to the Zantac, yes to the gallbladder. It's only while pregnant though, normally I never get heartburn.",1
192688089213304833,Someone on Facebook just told my pregnant friend complaining about heartburn that zantac is a deadly medicine. There are no words.,1
185143505444806656,can you take zantac when you are pregnant http://can-you-take-zantac-when-you-are-pregnant.cheapillsshop.com,1
176224789688627200,"CattPrez 12hr Zantac? I live on Losec,without them,I have the reflux everyday,regardless of diet! An Im not pregnant!",1
170918822872743936,She takes zantac? 0_o you can do that while pregnant?,1
170252504322408448,http://bit.ly/y9LJab taking zantac while pregnant,1
169242980182532096,http://bit.ly/zymr9r zantac and tums together while pregnant,1
157968770550349824,getting pregnant with Zantac http://is.gd/N0M84s,1
155418209741307904,DoctorChristian can you take zantac for heartburn when pregnant?,1
139128872800223232,Order online Vasotec 2 5 drug: Zantac 150 while pregnant is ok.:      Latest news on Generic Zoloft differences.... http://bit.ly/rCknZL,1
592174118704840704,Someone told me I looked pregnant in s swimsuit today. Yeah!!!!! I wasn't already insecure as fuck!!!! Thank you!!!!!,1
588485113471700993,can i take zantac while pregnant http://bit.ly/1ysVH4s,1
585495566798475265,can you take zantac when pregnant http://bit.ly/1FiseaC,1
582696872898379776,MissyMarieee I didn't like to take anything while I was pregnant only took Zantac cause I would cry for hours cause of heart burn...,1
568569958835331072,sydneyy_megann Buy yourself some Zantac. It's okay to take while pregnant. It's a little expensive but I promise it is worth it.,1
562722278535086080,"erinparker You can't use Pepto being pregnant. Mylanta works but tastes nasty, so I found Zantac was the best and fastest working for me.",1
553009005237641217,Buckydagreat2 u can take Zantac while ur pregnant,1
550110055304269824,"Darebearrrrr try Zantac, it works for me because I have it really had and 10 times worse pregnant! It helps me!",1
543357054962761728,If I ever OD it wil be on zantac while im pregnant  acidrefluxpoppinpillsnosleep,1
541982931590586368,thetypeAhippie Take some Zantac. It worked wonders for my heartburn when I was pregnant!,1
538960812707033088,"Zantac For Pregnant Women Pregnancy: Aceclofenac next day No Prescription, Buy Aceclofenac no prescription dru... http://bit.ly/1z4Deah",1
532775813406400513,"Um the pregnant lady over here thinks that sounds wonderful, except with a side of Zantac, because heartburn. pawpower",1
531691989495189504,whyyhateee_dai I take Zantac. I was on it before I got pregnant because I have bad acid reflux. It's pregnancy safe & over the counter,1
525123495160995840,Zantac is this pregnant girl's BFF. ,1
523638458452303872,"aeturek21 try zantac and a glass of milk, that was my heartburn cure all when i was pregnant!",1
519505941927325696,lexxygrl003 I had the worst heartburn the last 2 months I was pregnant! Sucked! Zantac. Every. Day.,1
516920920271638529,mogrunt1 I asked my sister what she's using (she's pregnant too) and she raved about Zantac so that's what I used last night AND I SLEPT!,1
592174118704840704,Someone told me I looked pregnant in s swimsuit today. Yeah!!!!! I wasn't already insecure as fuck!!!! Thank you!!!!!,1
588485113471700993,can i take zantac while pregnant http://bit.ly/1ysVH4s,1
585495566798475265,can you take zantac when pregnant http://bit.ly/1FiseaC,1
582696872898379776,MissyMarieee I didn't like to take anything while I was pregnant only took Zantac cause I would cry for hours cause of heart burn...,1
568569958835331072,sydneyy_megann Buy yourself some Zantac. It's okay to take while pregnant. It's a little expensive but I promise it is worth it.,1
562722278535086080,"erinparker You can't use Pepto being pregnant. Mylanta works but tastes nasty, so I found Zantac was the best and fastest working for me.",1
553009005237641217,Buckydagreat2 u can take Zantac while ur pregnant,1
550110055304269824,"Darebearrrrr try Zantac, it works for me because I have it really had and 10 times worse pregnant! It helps me!",1
543357054962761728,If I ever OD it wil be on zantac while im pregnant  acidrefluxpoppinpillsnosleep,1
541982931590586368,thetypeAhippie Take some Zantac. It worked wonders for my heartburn when I was pregnant!,1
538960812707033088,"Zantac For Pregnant Women Pregnancy: Aceclofenac next day No Prescription, Buy Aceclofenac no prescription dru... http://bit.ly/1z4Deah",1
532775813406400513,"Um the pregnant lady over here thinks that sounds wonderful, except with a side of Zantac, because heartburn. pawpower",1
531691989495189504,whyyhateee_dai I take Zantac. I was on it before I got pregnant because I have bad acid reflux. It's pregnancy safe & over the counter,1
525123495160995840,Zantac is this pregnant girl's BFF. ,1
523638458452303872,"aeturek21 try zantac and a glass of milk, that was my heartburn cure all when i was pregnant!",1
519505941927325696,lexxygrl003 I had the worst heartburn the last 2 months I was pregnant! Sucked! Zantac. Every. Day.,1
516920920271638529,mogrunt1 I asked my sister what she's using (she's pregnant too) and she raved about Zantac so that's what I used last night AND I SLEPT!,1
513856726719012864,"You're pregnant and continue to drink, smoke and use drugs....what the fuck goes on in your head? So sad.",1
501457056793370625,"Last week, some of my exes announced being pregnant, now some others are engaged  I'm only 21 why is everyone else growing up so fast",1
499964216884084736,blonde_mason:  I need some Zantac  pregnant ppl can't take medicine ,1
482601437503840256,katiee_kingg_ take some Zantac 50. That's the only thing that helped me when I was pregnant. Prilosec never worked at all.,1
476513303116914689,mathewsbambina I took prescription Zantac when I was pregnant. Or regular Zantac two in the am and pm!,1
474205548494471169,"Zantac, where have you been all my pregnant life? moveasidetums",1
469159272459550721,CurlyLauraWalk would still need a prescription for zantac since pharmacists can't/shouldn't sell it to pregnant ladies,1
465226787249987585,"sarah_berryman1 I never had it until I was pregnant and now my daughter is 6 I have it loads! But it's actually reflux, try Zantac x",1
464934496127578112,"Someone made off with Toothpaste, Prenatal vitamins, Zantac and shampoo for my pregnant wife AmazonHelp and LaserShip. Real cool, thieves.",1
