tweet_id,tweet,class
365194842,note to self: don't drink pennyroyal tea if pregnant.  it acts as an abortifacient!  but it is apparently good to drink when menstruating.,1
365194842,note to self: don't drink pennyroyal tea if pregnant.  it acts as an abortifacient!  but it is apparently good to drink when menstruating.,1
10420468680,How The Pill works as an Abortifacient | How To Get Pregnant: This video is an animation showing how the contrac... http://bit.ly/aC8sJj,1
10420466334,How The Pill works as an Abortifacient | How To Get Pregnant: This video is an animation showing how the contrac... http://bit.ly/aC8sJj,1
10420468680,How The Pill works as an Abortifacient | How To Get Pregnant: This video is an animation showing how the contrac... http://bit.ly/aC8sJj,1
10420466334,How The Pill works as an Abortifacient | How To Get Pregnant: This video is an animation showing how the contrac... http://bit.ly/aC8sJj,1
220378701848772609,"JohnnyDollar74 For instance, using an abortifacient or illicit drug while pregnant causes direct correlation to the death or maim of child",1
209358913097842690,B isn't pregnant after all & open 2 NFP. Although Catholic she'd never knew that the pill is abortifacient. Tears came when given baby feet!,1
194566034617925632,"Toupsfamily Many women miss one pill, get pregnant, don't realise til it shows. Proves it's not abortifacient. Science! bekahferguson",1
175676947148451840,"Thanks Randi for explaining, once again, that Plan B is not an abortifacient drug. If you are pregnant when you take... http://bit.ly/wjJHAQ",1
137237307144146944,"pregnant, so this is likely to be about the earliest that the chemical abortifacient is used. At this point, the child is about three weeks",1
220378701848772609,"JohnnyDollar74 For instance, using an abortifacient or illicit drug while pregnant causes direct correlation to the death or maim of child",1
209358913097842690,B isn't pregnant after all & open 2 NFP. Although Catholic she'd never knew that the pill is abortifacient. Tears came when given baby feet!,1
194566034617925632,"Toupsfamily Many women miss one pill, get pregnant, don't realise til it shows. Proves it's not abortifacient. Science! bekahferguson",1
175676947148451840,"Thanks Randi for explaining, once again, that Plan B is not an abortifacient drug. If you are pregnant when you take... http://bit.ly/wjJHAQ",1
137237307144146944,"pregnant, so this is likely to be about the earliest that the chemical abortifacient is used. At this point, the child is about three weeks",1
867389902391959552,Is that why it's considered an abortifacient? Also papaya said not to be good for pregnant women.,1
790415035709296640,"These herbal abortifacient pregnant women should stay away
http://suckhoe.vn/dinh-duong-ba-bau/nhung-thao-duoc-gay-say-thai-ba-bau-nen-tranh-xa.html?utm_source=sother&utm_medium=cpc&utm_campaign=suckhoe&utm_content=thuthaopic.twitter.com/jjaVV2dM3x",1
787723162855301120,HORMONAL BIRTH CONTROL PREVENTS OVULATION. YOU CAN'T GET PREGNANT IF YOU DON'T OVULATE. BIRTH CONTROL IS NOT AN ABORTIFACIENT. https://twitter.com/WentRogue/status/787699623833907200,1
784786390047481856,"Numbers 5, if a man's wife is pregnant &he believes he isn't father, he must take her for abortifacient to rid land of pollution.",1
867389902391959552,Is that why it's considered an abortifacient? Also papaya said not to be good for pregnant women.,1
790415035709296640,"These herbal abortifacient pregnant women should stay away
http://suckhoe.vn/dinh-duong-ba-bau/nhung-thao-duoc-gay-say-thai-ba-bau-nen-tranh-xa.html?utm_source=sother&utm_medium=cpc&utm_campaign=suckhoe&utm_content=thuthaopic.twitter.com/jjaVV2dM3x",1
787723162855301120,HORMONAL BIRTH CONTROL PREVENTS OVULATION. YOU CAN'T GET PREGNANT IF YOU DON'T OVULATE. BIRTH CONTROL IS NOT AN ABORTIFACIENT. https://twitter.com/WentRogue/status/787699623833907200,1
784786390047481856,"Numbers 5, if a man's wife is pregnant &he believes he isn't father, he must take her for abortifacient to rid land of pollution.",1
290174560945438720,"Some abortifacient pills subtly courting the market simply had the words ""not to be taken while pregnant"" on their label.",1
280494472377274368,XanderCristofer did you know that what u call abortifacient is the same medicine to endometriosis that enable me to get pregnant?RHBill,1
277196398334726145,Anti-choicers believe not getting pregnant is abortion. MT Toupsfamily: IUD is an abortifacient. rocksteadyvibes lolanti prochoice,1
259061036290805760,LA restauranteur finds out his girlfriend is pregnant. He gets his hands on an early abortifacient and...,1
248293644082245632,"ALL Y'ALL KNOW MY DONG IS MAGNIFICENT IT'S EVEN GOT A LEMON SCENT

MAKE PREGNANT GIRLS MISCARRIAGE, THE OG ABORTIFACIENT",1
248156883192541184,"They now free 2prevent pregnancies by popping abortifacient pills+if pregnant,now free 2 jettison human results of their promiscuity",1
233873324948733954,"Let the ruts & craters on the roads stay. With their abortifacient effects on pregnant women, we won't need RH bill anymore.",1
290174560945438720,"Some abortifacient pills subtly courting the market simply had the words ""not to be taken while pregnant"" on their label.",1
280494472377274368,XanderCristofer did you know that what u call abortifacient is the same medicine to endometriosis that enable me to get pregnant?RHBill,1
277196398334726145,Anti-choicers believe not getting pregnant is abortion. MT Toupsfamily: IUD is an abortifacient. rocksteadyvibes lolanti prochoice,1
259061036290805760,LA restauranteur finds out his girlfriend is pregnant. He gets his hands on an early abortifacient and...,1
