tweet_id,tweet,class
17312161093128192,Best opening lines for dating websites: Persons under 18 pregnant Adderal helps sleep has also.saw.mx.am/BLM8.html http://bit.ly/g74XNY,1
17312161093128192,Best opening lines for dating websites: Persons under 18 pregnant Adderal helps sleep has also.saw.mx.am/BLM8.html http://bit.ly/g74XNY,1
573915708905644032,"Tuscaloosa investigators say a pregnant Northport woman smoked crack, took Adderal and Xanax http://goo.gl/x1H5Ujpic.twitter.com/CZ1YORdD7D",1
533086996454182912,If I wasn't pregnant id sooooo be on adderal right now can't focus for nothing,1
527026154168131584,"""Hey girl! Remember that one time you took 5 adderal at once because you thought you were pregnant?"" 
highschoolreunionquotes",1
573915708905644032,"Tuscaloosa investigators say a pregnant Northport woman smoked crack, took Adderal and Xanax http://goo.gl/x1H5Ujpic.twitter.com/CZ1YORdD7D",1
533086996454182912,If I wasn't pregnant id sooooo be on adderal right now can't focus for nothing,1
527026154168131584,"""Hey girl! Remember that one time you took 5 adderal at once because you thought you were pregnant?"" 
highschoolreunionquotes",1
453877214057365504,Idk why they give adderal to pregnant woman ,1
435510140293640192,Adderal had me peeing like a pregnant lady,1
421500014733443072,raastaraelynn LOL. theres a difference between being fat and pregnant dumbass.The only reason your the aize you are is cuz you pop adderal.,1
412808557768093696,"I'm the type of nigga that can fuck your girl so hard, it'd make you pregnant.

stroke game jesus christ on adderal boi",1
453877214057365504,Idk why they give adderal to pregnant woman ,1
435510140293640192,Adderal had me peeing like a pregnant lady,1
421500014733443072,raastaraelynn LOL. theres a difference between being fat and pregnant dumbass.The only reason your the aize you are is cuz you pop adderal.,1
412808557768093696,"I'm the type of nigga that can fuck your girl so hard, it'd make you pregnant.

stroke game jesus christ on adderal boi",1
306822143830814721,When I don't take my adderal my appetite is worse then a pregnant Gorilla on a hot summers day.,1
285792670008348672,She gon ask me last night how long does it take Adderal to leave yo system after I been bussin in'er all day...Let'er B pregnant!!!,1
254405547040854016,"Thank god for adderal. With as depressed as I've been, I'd look like a pregnant whale. I eat sooooooooo much.",1
306822143830814721,When I don't take my adderal my appetite is worse then a pregnant Gorilla on a hot summers day.,1
285792670008348672,She gon ask me last night how long does it take Adderal to leave yo system after I been bussin in'er all day...Let'er B pregnant!!!,1
254405547040854016,"Thank god for adderal. With as depressed as I've been, I'd look like a pregnant whale. I eat sooooooooo much.",1
1054706581424799744,If you drink alcohol and take adderal or any other drug while pregnant you are the lowest of the low. I was naive to think all mothers are created equal. Someone please entertain me and tell me I cant speak on this. Been pregnant never even thought of being so stupid.,1
1006998829810573314,hari nef said not pregnant just off adderal and I felt it deeply,1
997502761108373506,"skinny af coworker: I had to stop taking my adderal cuz I'm pregnant & I've been eating sooo much! I feel gross!  

me: YOU'RE GROWING A BABY",1
992042931900108801,Just look  this at this text hilarious coming from a pos whos been speeding on illegal adderal and buying prostitutes and has pregnant girlfriend at home sadstorythatiwanttotelltoeveryone,1
1054706581424799744,If you drink alcohol and take adderal or any other drug while pregnant you are the lowest of the low. I was naive to think all mothers are created equal. Someone please entertain me and tell me I cant speak on this. Been pregnant never even thought of being so stupid.,1
1006998829810573314,hari nef said not pregnant just off adderal and I felt it deeply,1
997502761108373506,"skinny af coworker: I had to stop taking my adderal cuz I'm pregnant & I've been eating sooo much! I feel gross!  

me: YOU'RE GROWING A BABY",1
992042931900108801,Just look  this at this text hilarious coming from a pos whos been speeding on illegal adderal and buying prostitutes and has pregnant girlfriend at home sadstorythatiwanttotelltoeveryone,1
216007984772415489,I wonder if i should go bak to adderal when im done bein pregnant or should i Just use self control when i go bak to school.. Hmm,1
211862511849443328,I am on adderal will that affect me getting pregnant http://bit.ly/MqYvBi,1
182310955865214976,i forgot to take my adderal today. if i was a girl i would be pregnant a lot LOL,1
180393685840695296,Just found out Im not the only one with a pregnant woman's bladder while on adderal... Other ppl feel the need 2 pee every two mins as well,1
129958492575498240,I'm not pregnant. Just had no more adderal :(,1
216007984772415489,I wonder if i should go bak to adderal when im done bein pregnant or should i Just use self control when i go bak to school.. Hmm,1
211862511849443328,I am on adderal will that affect me getting pregnant http://bit.ly/MqYvBi,1
182310955865214976,i forgot to take my adderal today. if i was a girl i would be pregnant a lot LOL,1
180393685840695296,Just found out Im not the only one with a pregnant woman's bladder while on adderal... Other ppl feel the need 2 pee every two mins as well,1
129958492575498240,I'm not pregnant. Just had no more adderal :(,1
646388760461099008,"""I can always tell when you're on adderal because you glow like a pregnant woman."" Wut",1
643450536675532800,I'm guessing it's bad to take adderal while you're pregnant ?,1
621393605287149568,"Zakk said I love adderal, lmfao I'm pregnant Tf I don't even remember the last time I took a pill, even for my headaches",1
646388760461099008,"""I can always tell when you're on adderal because you glow like a pregnant woman."" Wut",1
643450536675532800,I'm guessing it's bad to take adderal while you're pregnant ?,1
621393605287149568,"Zakk said I love adderal, lmfao I'm pregnant Tf I don't even remember the last time I took a pill, even for my headaches",1
816852810935468032,back on my adderal since being pregnant... i feel like i'm in a different world. ,1
816852810935468032,back on my adderal since being pregnant... i feel like i'm in a different world. ,1
766313088207482880,"""I don't wanna get pregnant because then I won't be able to make adderal anymore""  lindsey_13",1
729431669095030785,"Agree with Dr. Ali's answer to ""Can i take 5mg adderal XR while pregnant?"" - http://htap.us/1yjkr",1
708094941587574784,routerjwbb don't worry lol I'm not pregnant. Just was on a mission thanks to adderal ,1
766313088207482880,"""I don't wanna get pregnant because then I won't be able to make adderal anymore""  lindsey_13",1
729431669095030785,"Agree with Dr. Ali's answer to ""Can i take 5mg adderal XR while pregnant?"" - http://htap.us/1yjkr",1
708094941587574784,routerjwbb don't worry lol I'm not pregnant. Just was on a mission thanks to adderal ,1
1139536514659115009,"at the end of 18 i weighed more than i have before at 137lbs. (i barely weighed that much while pregnant). now im down to 123lbs. 
depression & adderal shreds the pounds guys.",1
1111878601098563584,"There are three certainties in life, you never go for half priced sushi, you never ask a woman if shes pregnant, and you never take adderal past 12 PM",1
1078417369846824960,You mean the guy who lives with you that snorts adderal and sleeps with porn stars - hookers etc when you're pregnant with 3 wives who came to this country as immigrants? Happy Holidays from the children at the border!,1
