tweet_id,tweet,class
2506774945,side affects of amoxicillin: amoxicillin pregnant amoxicillin clavulanate augmentin amoxicillin side affect amox.. http://tinyurl.com/m8np8b,1
2440537089,RT rvsvalve: Infected tooth? Amoxicillin. Sore throat? Amoxicillin. Stubbed toe? Amoxicillin. Pregnant? Amoxicillin. Seriously,1
2434031060,taking amoxicillin while pregnant: amoxicillin reaction amoxicillin teva usa affect amoxicillin side 500mg amoxi.. http://tinyurl.com/l87ozw,1
1935348481,"Pregnancy - Open Question: is amoxicillin safe for pregnant women?: 
	i was prescribed by my ob bec.. http://tinyurl.com/pfb6et",1
2506774945,side affects of amoxicillin: amoxicillin pregnant amoxicillin clavulanate augmentin amoxicillin side affect amox.. http://tinyurl.com/m8np8b,1
2440537089,RT rvsvalve: Infected tooth? Amoxicillin. Sore throat? Amoxicillin. Stubbed toe? Amoxicillin. Pregnant? Amoxicillin. Seriously,1
2434031060,taking amoxicillin while pregnant: amoxicillin reaction amoxicillin teva usa affect amoxicillin side 500mg amoxi.. http://tinyurl.com/l87ozw,1
1935348481,"Pregnancy - Open Question: is amoxicillin safe for pregnant women?: 
	i was prescribed by my ob bec.. http://tinyurl.com/pfb6et",1
853376055,Amoxicillin Is Okay For Pregnant Women And Pets: A discussion about Amoxicillin which has become the most c.. http://tinyurl.com/69u3ms,1
853376055,Amoxicillin Is Okay For Pregnant Women And Pets: A discussion about Amoxicillin which has become the most c.. http://tinyurl.com/69u3ms,1
14280173484,Pregnant Dudes Who Smoke and Drink Need Amoxicillin Too http://goo.gl/fb/3Ck21 health drugs fda fish,1
13913130991,Amoxicillin For Pregnant Women - Cheap Review: They amoxicillin to quibbler seed lobes and anuclears ... http://bit.ly/cvmXot malt whisky,1
13554195207,www.sooou.org.ru/Amoxicillin among pregnant women have any effect? -  pregnancy taking amoxicillin women -,1
13252857519,clomid: Buy Cheap Amoxicillin - Using Clomid To Get Pregnant at http://cheapamoxicillin.net/l/40410/us72,1
13004071060,new post: pregnant and taking amoxicillin anti-biotics- anyone ever toke? still please answer if no. :)? http://tinyurl.com/2eoq9rq,1
12980004201,"I am 29 weeks pregnant and I have a horrible case of sinus infection. 
My doctor prescribed Amoxicillin and anothe...  http://bit.ly/aVsrSf",1
10711845131,257 amoxicillin pregnant http://bit.ly/9YaIRp,1
9685151038,Open Question: Is amoxicillin harmful towards pregnant women?: Is amoxicillin found safe or harmful for pregnant w... http://bit.ly/a3RVdS,1
9683794709,Open Question: Is amoxicillin harmful towards pregnant women? - ERROR,1
8108500833,916 amoxicillin while pregnant  just got published: http://trim.su/3Upd (by Alcolmelt) on the Techno Beats Forum.,1
7231872318,Now on high dose steroids and amoxicillin to fix lungs. With that and 9 months pregnant bexter88 I forsee a kicking NYE! :-),1
6930514408,"andreabakes Stuck with same idiot PCP that Txd me with 2 weeks Amoxicillin (adult, not pregnant) then told me Fibromyalgia, copied on tests",1
6410281741,Amoxicillin Casues Yeast Infection | Amoxicillin Category Pregnant ... http://bit.ly/8YgWyk,1
14280173484,Pregnant Dudes Who Smoke and Drink Need Amoxicillin Too http://goo.gl/fb/3Ck21 health drugs fda fish,1
13913130991,Amoxicillin For Pregnant Women - Cheap Review: They amoxicillin to quibbler seed lobes and anuclears ... http://bit.ly/cvmXot malt whisky,1
