tweet_id,tweet,class
1044623452,panicking about taking anti-anxiety meds while pregnant.  OH THE IRONY.,1
1044623452,panicking about taking anti-anxiety meds while pregnant.  OH THE IRONY.,1
14932397978,Effexor: i started taking Effexor because i wanted to find and anti-anxiety drug that i could take while pregnant.... http://bit.ly/TWNVQ,1
14565444205,News: What anti anxiety medication can you take while pregnant? http://bit.ly/bFomQc,1
13679709441,New Blog Post: What anti anxiety medication can you take while pregnant? http://tinyurl.com/2eprtsj,1
8446040280,Did Anyone Else Experience Anxiety/panic Attacks While Pregnant ...: And I would never recommend taking anti anxie... http://bit.ly/buNLhk,1
14932397978,Effexor: i started taking Effexor because i wanted to find and anti-anxiety drug that i could take while pregnant.... http://bit.ly/TWNVQ,1
14565444205,News: What anti anxiety medication can you take while pregnant? http://bit.ly/bFomQc,1
13679709441,New Blog Post: What anti anxiety medication can you take while pregnant? http://tinyurl.com/2eprtsj,1
8446040280,Did Anyone Else Experience Anxiety/panic Attacks While Pregnant ...: And I would never recommend taking anti anxie... http://bit.ly/buNLhk,1
12271487939510273,What anti anxiety medication can you take while pregnant? http://xikv.com/pregnant/4541.html,1
27519688887,Can You Take Anti-anxiety/depression Medications When Pregnant?: I am taking Zoloft once a day and just found out ... http://bit.ly/95B5nI,1
26456370465,": my boss is pregnant; which means no anti-depressants, no anxiety pills, no mood stabilizers. gonna be a longgg 9months FML",1
23992006637,Have you taken an anti anxiety medication while pregnant?: I am 20 weeks pregnant and I take Valerian Root (found ... http://bit.ly/bP43EH,1
20690999664,New post: What anti anxiety medication can you take while pregnant? http://bit.ly/boO7TU,1
12271487939510273,What anti anxiety medication can you take while pregnant? http://xikv.com/pregnant/4541.html,1
27519688887,Can You Take Anti-anxiety/depression Medications When Pregnant?: I am taking Zoloft once a day and just found out ... http://bit.ly/95B5nI,1
26456370465,": my boss is pregnant; which means no anti-depressants, no anxiety pills, no mood stabilizers. gonna be a longgg 9months FML",1
23992006637,Have you taken an anti anxiety medication while pregnant?: I am 20 weeks pregnant and I take Valerian Root (found ... http://bit.ly/bP43EH,1
20690999664,New post: What anti anxiety medication can you take while pregnant? http://bit.ly/boO7TU,1
586522112510164993, RT TheRealChanee: Grieving while pregnant... Is not a good look. No alcohol. No anti-anxiety meds. And already struggling to sleep. Smh,1
586521767864184833,Grieving while pregnant... Is not a good look. No alcohol. No anti-anxiety meds. And already struggling to sleep. Smh,1
553300563572817921,Just cuz I'm pregnant doesn't mean I won't kill myself.. I'm on no anti anxiety/antidepressants so everything is 10x's worse!!!,1
532239587934892032,"Are you on antidepressants or anti-anxiety meds and wanting to get pregnant anytime within the next year? If so,... http://fb.me/6RT69dBYO",1
520895510237163520,Choosing between getting pregnant and taking anti-anxiety/antidepressant medication. http://pinterest.com/pin/205476801724670874/,1
506555766170734592,Shanneebear I was on anti-anxiety meds before getting pregnant. Evaluating whether I need them again. But I pretty much have 2 toddlers :/,1
505283215448637440,Definitely calling doc tomorrow to change anti anxiety med  woke up yesterday at 2 & today at 3. Also feeling very nauseated   NOT pregnant,1
586522112510164993, RT TheRealChanee: Grieving while pregnant... Is not a good look. No alcohol. No anti-anxiety meds. And already struggling to sleep. Smh,1
586521767864184833,Grieving while pregnant... Is not a good look. No alcohol. No anti-anxiety meds. And already struggling to sleep. Smh,1
553300563572817921,Just cuz I'm pregnant doesn't mean I won't kill myself.. I'm on no anti anxiety/antidepressants so everything is 10x's worse!!!,1
