tweet_id,tweet,class
1036099689,"And no, I am NOT pregnant. Antibiotics and I are not getting along at all",1
927830541,[Photos] Caution For Pregnant Women Taking Antibiotics http://newzof.com/r/p/ySVdR,1
927829809,[News] Caution For Pregnant Women Taking Antibiotics http://newzof.com/r/s/ySVdR,1
926343586,Antibiotic use in pregnancy linked to cerebral palsy: Giving antibiotics to pregnant women in the hope.. http://tinyurl.com/469bvk,1
887801991,unprotected sex on the pill and antibiotics- could i get pregnant: I am on marvelon pill and have be.. http://tinyurl.com/6qfnd3,1
817751985,"Threatened pregnant friend w/info I'm reading about. No aspirin, antibiotics. It's what I do when I have ppl's number,theaten em w/facts!Lol",1
1036099689,"And no, I am NOT pregnant. Antibiotics and I are not getting along at all",1
927830541,[Photos] Caution For Pregnant Women Taking Antibiotics http://newzof.com/r/p/ySVdR,1
927829809,[News] Caution For Pregnant Women Taking Antibiotics http://newzof.com/r/s/ySVdR,1
926343586,Antibiotic use in pregnancy linked to cerebral palsy: Giving antibiotics to pregnant women in the hope.. http://tinyurl.com/469bvk,1
887801991,unprotected sex on the pill and antibiotics- could i get pregnant: I am on marvelon pill and have be.. http://tinyurl.com/6qfnd3,1
817751985,"Threatened pregnant friend w/info I'm reading about. No aspirin, antibiotics. It's what I do when I have ppl's number,theaten em w/facts!Lol",1
4080786048,omfg my g/f might be pregnant aunt sis dont tell anyone or ill tell ur name lol shes on the shot but took antibiotics and didnt tell me d*mn,1
4005362948,"I have intercourse with my husband n next day directly got UTI, so i taking antibiotics i plan to get pregnant? - http://tinyurl.com/okrrtg",1
3847674021,Caution For Pregnant Women Taking Antibiotics http://bit.ly/lGz3m,1
3813281413,"ParisGellar...LOL I have two boys not just one. Twins. :D And nope not pregnant, I have Amoebiasis but it's under control with antibiotics.",1
3334992930,"48904 I'm not not drinking because of antibiotics, I'm PREGNANT! I'm sorry I lied to you. Can't wait to tell you. You're my best friends x",1
3175766262,No antibiotics for the pregnant and weary. Must now spend a significant portion of my day inhaling &rinsing and taking homeopathic remedies,1
3080908195,"frigging dying for a glass of wine.. 5 days of antibiotics and no vino, how the hell do pregnant chicks go 9 months without fine wine? Damn",1
3064543803,"damn these antibiotics got me feelin like i'm pregnant...nausea, fatigue, frequent urination...did sumbody have sex wit me n i ain't kno? jp",1
2856336098,A woman that got pregnant because antibiotics cancel out the pill called it a miracle as she supposedly couldnt concieve. Why take the pill?,1
2811850859,these antibiotics for the spider bite got me feelin OD naseus. WTF am I pregnant now?,1
2622382563,cheinara There's a problem with that... you can't actually get pregnant from antibiotics. Unless of course A1's name is Antibiotics.,1
2585153330,Feeling much better except for the nausea from the antibiotics. Or maybe I'm pregnant. Lol.,1
2439101862,just got diagnosed with a sinus infection and prescribed antibiotics.  and i'm pregnant and scared to take them!,1
2329363401,Hanging on the couch with one VERY pregnant lady. Still no riding. On antibiotics to fight infection now. Will ride in 2days..hopefully.,1
2320274457,Being pregnant and antibiotics: I am looking for specfic guidelines on prophalytic use of antibiotics with an ex.. http://bit.ly/198JtY,1
2311961168,Had FOUR dreams that the doctors would not put me on antibiotics because I was PREGNANT. AHHHH.,1
2227891176,My brother just told me that he has drank no alcohol for 6 weeks. However he is not ill or taking antibiotics and he is not pregnant. WTF?,1
1924015923,Sinus infections while pregnant are not fun.  Yay for antibiotics!,1
1859421467,"give_me_a_latte When you're pregnant, everything makes you want to cry. Strange to give antibiotics w/no diagnosis, though. 2nd opinion?",1
1770706215,"My ex-OB/GYN has given me antibiotics that cause severe nausea, frequent peeing, and can't be taken with food. Hello, pregnant lady here!",1
4080786048,omfg my g/f might be pregnant aunt sis dont tell anyone or ill tell ur name lol shes on the shot but took antibiotics and didnt tell me d*mn,1
4005362948,"I have intercourse with my husband n next day directly got UTI, so i taking antibiotics i plan to get pregnant? - http://tinyurl.com/okrrtg",1
3847674021,Caution For Pregnant Women Taking Antibiotics http://bit.ly/lGz3m,1
3813281413,"ParisGellar...LOL I have two boys not just one. Twins. :D And nope not pregnant, I have Amoebiasis but it's under control with antibiotics.",1
3334992930,"48904 I'm not not drinking because of antibiotics, I'm PREGNANT! I'm sorry I lied to you. Can't wait to tell you. You're my best friends x",1
3175766262,No antibiotics for the pregnant and weary. Must now spend a significant portion of my day inhaling &rinsing and taking homeopathic remedies,1
3080908195,"frigging dying for a glass of wine.. 5 days of antibiotics and no vino, how the hell do pregnant chicks go 9 months without fine wine? Damn",1
3064543803,"damn these antibiotics got me feelin like i'm pregnant...nausea, fatigue, frequent urination...did sumbody have sex wit me n i ain't kno? jp",1
2856336098,A woman that got pregnant because antibiotics cancel out the pill called it a miracle as she supposedly couldnt concieve. Why take the pill?,1
2811850859,these antibiotics for the spider bite got me feelin OD naseus. WTF am I pregnant now?,1
2622382563,cheinara There's a problem with that... you can't actually get pregnant from antibiotics. Unless of course A1's name is Antibiotics.,1
2585153330,Feeling much better except for the nausea from the antibiotics. Or maybe I'm pregnant. Lol.,1
2439101862,just got diagnosed with a sinus infection and prescribed antibiotics.  and i'm pregnant and scared to take them!,1
2329363401,Hanging on the couch with one VERY pregnant lady. Still no riding. On antibiotics to fight infection now. Will ride in 2days..hopefully.,1
2320274457,Being pregnant and antibiotics: I am looking for specfic guidelines on prophalytic use of antibiotics with an ex.. http://bit.ly/198JtY,1
2311961168,Had FOUR dreams that the doctors would not put me on antibiotics because I was PREGNANT. AHHHH.,1
2227891176,My brother just told me that he has drank no alcohol for 6 weeks. However he is not ill or taking antibiotics and he is not pregnant. WTF?,1
1924015923,Sinus infections while pregnant are not fun.  Yay for antibiotics!,1
1859421467,"give_me_a_latte When you're pregnant, everything makes you want to cry. Strange to give antibiotics w/no diagnosis, though. 2nd opinion?",1
1770706215,"My ex-OB/GYN has given me antibiotics that cause severe nausea, frequent peeing, and can't be taken with food. Hello, pregnant lady here!",1
1681841571,Thank God for the stuff you learn on baby showers! Attention women antibiotics can mess with the pill and you will get pregnant!,1
1673016339,plutoniumpage  a pregnant mom with lyme has the potential of giving it to her child especially if she is not on antibiotics.,1
1593073706,has a swollen face and has been put on antibiotics.  I was healthier pregnant!,1
1482611724,"crys_ Bad reaction to antibiotics for a chest cold, though everyone keeps saying I'm pregnant",1
1472863219,Antibiotics prescribed too often to pregnant women: A study has shown one woman in 20 receives over three lots o.. http://tinyurl.com/d4d8s7,1
1462841538,News: Pregnant women 'too often prescribed antibiotics'. Worry over links to gut & brain development in kids. http://bit.ly/39JukF,1
1460215773,watching 'i didn't know i was pregnant' on TLC. Moral of the story... birth control + antibiotics = BAD NEWS,1
1358574412,"Mom Convo Pt. 2 - Mom: ""Well, you're not pregnant, it's the antibiotics."" Me: ""I would assume."" *starts period* O_O",1
1286320766,"Doctor said sorry no antibotics when your 7 weeks pregnant, you just have to, ""tough it out kid"".",1
1143133100,Please pray for my friend Jen who is in the hospital with a Kidney issue due to a reaction to antibiotics (?) 7mo pregnant not doing well!,1
1114270725,"DisciplesofEtsy With antibiotics I can't have b/c I'm pregnant. Since I have no symptoms, I guess I'm just a carrier at this point.",1
1109987593,"Love to my pregnant doctor for antibiotics, an inhaler and the belief that I will soon feel better.",1
15209090955,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/aprf6E",1
15171015242,For those who got pregnant on BCP and antibiotics...? http://bit.ly/bXx8SV,1
15162613366,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/cL7X69",1
15159917754,Have You Gotten Pregnant While On Birth Control and Antibiotics? http://bit.ly/cQJlmJ,1
15132001343,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/cEZbNv,1
15127912276,"DrPoppyBHRT Pregnant friend on a forum's OB told her not to take probiotics w antibiotics because they are ""not FDA regulated.""  Thoughts?",1
15126353267,Can you really get pregnant taking the pill and antibiotics? http://bit.ly/aLsQ96,1
15111858798,What is a safe antibiotics when pregnant? http://bit.ly/9Vp3ym,1
15065787665,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/8Xs1PX",1
15031175289,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/aTbMlJ",1
15009287418,stupidshitchickssay I took antibiotics and birth control...and he never pulls out...how did I get pregnant? readYaLabelBitch,1
15004450231,"Antibiotics,weird symptoms,pregnant possibly? http://bit.ly/dtqGUL",1
14990631902,Can I get pregnant while on antibiotics and birth control? http://bit.ly/bNDIAA,1
14955924381,Has anyone gotton pregnant on antibiotics? http://bit.ly/cNENVg,1
14943201974,"Anyone get pregnant while taking the pill?? antibiotics, seasonique & ortho novum users? http://bit.ly/c0wwCR",1
14941352351,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/cJuSNX",1
14903348130,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/bTOeEE",1
14867680314,"Picking up antibiotics  CVS & pharmacists mentions that my prescription is 4 pregnant woman? WTF, seriously? Sinus infection...dude.",1
14847127807,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/cwqUKu,1
14841254445,I am 21 weeks pregnant with baby number 2. I am on antibiotics for a UTI and I think they have caused a yeast infe...  http://bit.ly/aVsrSf,1
15209090955,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/aprf6E",1
15171015242,For those who got pregnant on BCP and antibiotics...? http://bit.ly/bXx8SV,1
15162613366,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/cL7X69",1
15159917754,Have You Gotten Pregnant While On Birth Control and Antibiotics? http://bit.ly/cQJlmJ,1
15132001343,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/cEZbNv,1
15127912276,"DrPoppyBHRT Pregnant friend on a forum's OB told her not to take probiotics w antibiotics because they are ""not FDA regulated.""  Thoughts?",1
15126353267,Can you really get pregnant taking the pill and antibiotics? http://bit.ly/aLsQ96,1
15111858798,What is a safe antibiotics when pregnant? http://bit.ly/9Vp3ym,1
15065787665,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/8Xs1PX",1
15031175289,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/aTbMlJ",1
15009287418,stupidshitchickssay I took antibiotics and birth control...and he never pulls out...how did I get pregnant? readYaLabelBitch,1
15004450231,"Antibiotics,weird symptoms,pregnant possibly? http://bit.ly/dtqGUL",1
14990631902,Can I get pregnant while on antibiotics and birth control? http://bit.ly/bNDIAA,1
14955924381,Has anyone gotton pregnant on antibiotics? http://bit.ly/cNENVg,1
14943201974,"Anyone get pregnant while taking the pill?? antibiotics, seasonique & ortho novum users? http://bit.ly/c0wwCR",1
14941352351,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/cJuSNX",1
14903348130,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/bTOeEE",1
14867680314,"Picking up antibiotics  CVS & pharmacists mentions that my prescription is 4 pregnant woman? WTF, seriously? Sinus infection...dude.",1
14847127807,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/cwqUKu,1
14841254445,I am 21 weeks pregnant with baby number 2. I am on antibiotics for a UTI and I think they have caused a yeast infe...  http://bit.ly/aVsrSf,1
14839900296,Can you really get pregnant taking the pill and antibiotics? http://bit.ly/dr2XHp,1
14836298199,"I'm not one to complain lol but , these antibiotics got me feelin like I'm pregnant w| morning sickness o_O",1
14786303376,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/ambXle",1
14733593553,"I was taking antibiotics for a gum infection and I'm about 20 weeks pregnant, well I started getting this thick st...  http://bit.ly/aVsrSf",1
14723496578,Can I get pregnant while on antibiotics and birth control? http://bit.ly/9nbrCs,1
14715237230,For those who got pregnant on BCP and antibiotics...? http://bit.ly/bElDKe,1
14712368186,I am 40 weeks pregnant and GBS positive. Why do doctors wait until labor begins to give antibiotics?: Should I be ... http://bit.ly/agOsQV,1
14680855081,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/dlxDGJ",1
14640500918,"Antibiotics,weird symptoms,pregnant possibly? http://bit.ly/92Gok7",1
14618722922,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/c4MEvf,1
14600188459,"Anyone get pregnant while taking the pill?? antibiotics, seasonique & ortho novum users? http://bit.ly/bChKll",1
14578174181,Who Has Gotten Pregnant While Taking Birth Control and Antibiotics? http://bit.ly/apXgZr,1
14576729655,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/bPDNoU",1
14517152866,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/9259DF",1
14512983709,Can I get pregnant while on antibiotics and birth control? http://bit.ly/9hkUpw,1
14486851693,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/9IYPyY",1
14396434309,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/dhGfzQ,1
14391300635,Can you really get pregnant taking the pill and antibiotics? http://bit.ly/bt7vXv,1
14391106887,Can you really get pregnant taking the pill and antibiotics? http://bit.ly/bt7vXv,1
14375462717,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/bKYf9F",1
14373184913,Possibility of being pregnant if I take antibiotics a few days after sex? pregnancy preg http://www.linkati.com/q/index.php?i=155414,1
14329247341,Anyone get pregnant on antibiotics and birth control pills? http://bit.ly/d3pj2l,1
14327784895,For those who got pregnant on BCP and antibiotics...? http://bit.ly/bD66KE,1
14317105063,"Antibiotics,weird symptoms,pregnant possibly? http://bit.ly/9iQaOk",1
14303907882,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/ctg8CG",1
14284321647,Has anyone gotton pregnant on antibiotics? http://bit.ly/chywFX,1
14278422563,Can I get pregnant while on antibiotics and birth control? http://bit.ly/cZCPWS,1
14277356297,What is a safe antibiotics when pregnant? http://bit.ly/9FHGeg,1
14274360130,"Anyone get pregnant while taking the pill?? antibiotics, seasonique & ortho novum users? http://bit.ly/ds1Enk",1
14272411630,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/c1Xd58",1
14221362819,Can I get pregnant while on antibiotics and birth control? http://bit.ly/dhfw7H,1
14170992572,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/d7u4W3",1
14117202065,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/btLWQz,1
14109436668,Can you really get pregnant taking the pill and antibiotics? http://bit.ly/9fRbi8,1
14108778223,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/a51gGQ",1
13992650274,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/cRE0K5",1
13929679390,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/aqx30A",1
13908999258,Can I get pregnant while on antibiotics and birth control? http://bit.ly/avIinN,1
13849929507,"deeayy I can have sex, if i dont mind getting pregnant... Got antibiotics!! lol",1
13804083792,"Antibiotics,weird symptoms,pregnant possibly? http://bit.ly/bcub1y",1
13802151050,Anyone have good natural remedies for strep or sinus infection for 3yo & pregnant mom?  GISRocks wants to avoid antibiotics if possible,1
13791115246,Question can your dentist/doctor get you pregnant?  Yes if they give you antibiotics it can interfer with your birth control with the Pill,1
13785644097,"If u have sinus problems, I really reccomend 'NeilMed' sinus rinse. Pricey but amazing, especially if yr pregnant or don't like antibiotics.",1
13730670572,Just found out that my BC does not work as well when I take antibiotics so its either get pregnant or have bad skin. Its a lose lose,1
13720044924,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/b9VKlj",1
13708786006,"Anyone get pregnant while taking the pill?? antibiotics, seasonique & ortho novum users? http://bit.ly/bQWaBq",1
13702696304,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/d9XP1f,1
13669918008,For those who got pregnant on BCP and antibiotics...? http://bit.ly/bZwngY,1
13589446302,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/dy7sQA",1
13573576766,What is a safe antibiotics when pregnant? http://bit.ly/al2uYR,1
13571110177,"Pregnant and Pained: She was admitted to her local hospital in Cape Cod, and she started on antibiotics. But she ... http://nyti.ms/cQSi4t",1
13528759828,The antibiotics make me feel like what mother always described being pregnant as...,1
13517725770,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/91zMuJ",1
13463061865,Can I get pregnant while on antibiotics and birth control? http://bit.ly/aT3Ypq,1
13381149921,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/9qKYiC",1
13328145340,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/dv0UJk",1
13296763121,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/aoN95n,1
13293970711,Can you really get pregnant taking the pill and antibiotics? http://bit.ly/cG6zyJ,1
13261220099,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/a9RTPj",1
13249352878,"Antibiotics,weird symptoms,pregnant possibly? http://bit.ly/94uoCy",1
13224082426,Has anyone gotton pregnant on antibiotics? http://bit.ly/dvymA1,1
13212588272,"Anyone get pregnant while taking the pill?? antibiotics, seasonique & ortho novum users? http://bit.ly/9nse8i",1
13186463840,Can I get pregnant while on antibiotics and birth control? http://bit.ly/90ZDQX,1
13173329543,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/aFV5dy",1
13155391902, Safe Take Antibiotics While Pregnant  Buy Antibiotics Online ...: signs genital herpes. rays). You just can't ... http://bit.ly/bbWI7w,1
13139668455,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/bUHAap",1
13138246176, Safe Take Antibiotics While Pregnant  Buy Antibiotics Online ...: signs genital herpes. rays). You just can't ... http://bit.ly/9uHBAh,1
13137338541,For those who got pregnant on BCP and antibiotics...? http://bit.ly/9STQAm,1
13085964968,What is a safe antibiotics when pregnant? http://bit.ly/cpZAoy,1
13084906973,"4 things that may get u pregnant on birthcontrol pills: antibiotics, missing or taking pills   diffrnt times, ur period week >7 days. RT!",1
13077315399,Can you really get pregnant taking the pill and antibiotics? http://bit.ly/cy2R8P,1
13064120003,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/b485KB",1
13034982063,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/bKZyYR",1
13029348942,pregnancy on birth control pills and anti-biotics?: can you really get pregnant when taking antibiotics on birth c... http://bit.ly/a15Lnw,1
13023045242,Can I get pregnant while on antibiotics and birth control?: I just finished a 14 day course of Levaquin (antibioti... http://bit.ly/c2tCCd,1
13000043820,Either I'm pregnant or antibiotics are messing with me.  Swinging between wildly euphoric to tears & then drowsy. Perhaps should sign off :/,1
12961849061,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/9pXyq8",1
12932079774,"Antibiotics,weird symptoms,pregnant possibly? http://bit.ly/aXBT1W",1
12902731967,Has anyone gotton pregnant on antibiotics? http://bit.ly/9Lifqj,1
12864330691,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/9j1Xhr",1
12861879714,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/9g6zDo,1
12856758223,Can you really get pregnant taking the pill and antibiotics? http://bit.ly/9lR4PO,1
12849781004,i can't wait to get off of these double strength antibiotics so my energy level won't be that of an 80 y/o pregnant man anymore,1
12829763027,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/9bvvN4",1
12766655997,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/asoqQs",1
12764966054,"mum's gonna bring lexie to the groomer 2mr to clean her ear infection. Apparantly, when u r pregnant, u cant have antibiotics",1
12756885577,For those who got pregnant on BCP and antibiotics...? http://bit.ly/drmkOD,1
12755782577,"18 weeks and 5 days pregnant, and was taking antibiotics for bacterial vaginosis, and just stopped and now im? http://bit.ly/cRKdfY",1
12753244174,Can I get pregnant while on antibiotics and birth control? http://bit.ly/95wsUv,1
12742515340,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/bNvoZ7",1
12679095674,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/9dTXzu",1
12651185690,Can you really get pregnant taking the pill and antibiotics? http://bit.ly/cXArXV,1
12643276099,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/9KQDs2",1
12632150182,"Antibiotics,weird symptoms,pregnant possibly? http://bit.ly/clbtvG",1
12592794153,"Anyone get pregnant while taking the pill?? antibiotics, seasonique & ortho novum users? http://bit.ly/cC2ceC",1
12578711046,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/azbD2V",1
12553600751,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/dvqpx8",1
12548119269,Can I get pregnant while on antibiotics and birth control? http://bit.ly/9gHOMT,1
12486932134,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/d1LWiI",1
12464993637,Can you get pregnant on birth control if you are taking antibiotics? pregnancy birthcont http://www.linkati.com/q/index.php?i=222774,1
12440190088,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/acYVBe,1
12430693197,Can you really get pregnant taking the pill and antibiotics? http://bit.ly/9sSR0G,1
12388619550,For those who got pregnant on BCP and antibiotics...? http://bit.ly/bto6xK,1
12384358651,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/cT8Upv",1
12356524195,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/9PY3sN",1
12346870304,What is a safe antibiotics when pregnant? http://bit.ly/cLaPjA,1
12334133224,Can I get pregnant while on antibiotics and birth control? http://bit.ly/ds7eqU,1
12332920776,"Antibiotics,weird symptoms,pregnant possibly? http://bit.ly/bv7Q0G",1
12310295646,Has anyone gotton pregnant on antibiotics? http://bit.ly/9T0jSI,1
12300183575,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/drjDmv",1
12296372298,"Anyone get pregnant while taking the pill?? antibiotics, seasonique & ortho novum users? http://bit.ly/ajO6bU",1
12270280777,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/b1e17h",1
12241743300,I'm on the birth control pill and i was on antibiotics bwtn 10/2 and 10/13. could i be pregnant? http://bit.ly/cDW7e3,1
12204662872,"Currently on the pill, was on antibiotics last month...could I be pregnant? http://bit.ly/9D6nJn",1
12201224652,RebeccaKaz I know someone who was on the pill and she took antibiotics and they weakened the pill and she got pregnant.,1
12168015718,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/bsJ3Og",1
12165007745,Day 2 of Clomid....day 1 of antibiotics.....they took bloodwork again this morning to make sure I'm not pregnant so my HSG will be tomorrow.,1
12132282784,Can I get pregnant while on antibiotics and birth control? http://bit.ly/aDVS3i,1
12082316957,"Im taking Antibiotics (Biaxin XL 500ML Tab) to treat my tonsillitis, If i accidently get pregnant...? http://bit.ly/abQcNW",1
12046091734,For those who got pregnant on BCP and antibiotics...? http://bit.ly/bPwGyp,1
36103683045326848,"Feb 8 - Pregnant Woman Mistakenly Given Abortion Drug, Instead Of Antibiotics http://slumz.boxden.com/f5/feb-8-pregnant-woman-mistakenly-given-abortion-drug-instead-antibiotics-1492312/",1
35986713222316032,"BBEnews  Feb 8 - Pregnant Woman Mistakenly Given Abortion Drug, Instead Of Antibiotics  http://bit.ly/fVWX5L RT",1
35982450433720320,Pharmacy gives pregnant woman abortion drug instead of antibiotics http://bit.ly/eivSpq What's worse: pharmacist's mistake or woman's?,1
35922218475065344,"RT itsBX Feb 8 - Pregnant Woman Mistakenly Given Abortion Drug, Instead Of Antibiotics - http://bit.ly/egLIi6 < Damn that's some bullshit!",1
35921996831264768,"Feb 8 - Pregnant Woman Mistakenly Given Abortion Drug, Instead Of Antibiotics - http://bit.ly/egLIi6",1
35661736891654144,Please Help Me: What Are The Chances That Im Pregnant?: im 17 and ive been taking antibiotics for my skin sin... http://bit.ly/dH0kfF,1
35600291978027008,Colorado pharmacy gave a pregnant woman a miscarriage medication instead of antibiotics. They said two ppl have same last name.,1
35573272900804608,Strung out over my vaporizer with a ear infection and sinus infection... I'm 10 wk pregnant and on antibiotics good life get any better? Ha,1
35551528718696450,"Pregnant woman given abortion pill instead of antibiotics.  
http://bit.ly/hz8WxS",1
35548249473417216,OMG just heard a pregnant woman went to the pharmacy for antibiotics and they gave me a pill to miscarriage. :O,1
