tweet_id,tweet,class
4086117985,Antiretroviral Therapy Is Effective In HIV Positive Women During Pregnancy: A recent study shows that pregnant w.. http://bit.ly/4dpCAQ,1
3245043373,"RT keithellison Kisumu-in 05 Kenyans, w/ donor help, tested 19550 for PMTCT. 4320 pregnant women rec'd antiretroviral prophylaxis treatment",1
3241389687,"RT keithellison: Kisumu: in 05 Kenyans, w/ donor help, tested 19,550 for PMTCT. 4,320 pregnant women rec'd antiretroviral prophylaxis t ...",1
3241318332,"Kisumu: in 05 Kenyans, w/ donor help, tested 19,550 for PMTCT. 4,320 pregnant women rec'd antiretroviral prophylaxis treatment.",1
2836656674,"WHO Reviews Antiretroviral Recommendations For Pregnant, Breastfeeding Women With HIV - http://tinyurl.com/mde7pk",1
2836653993,"WHO Reviews Antiretroviral Recommendations For Pregnant, Breastfeeding Women With HIV - http://tinyurl.com/kjhdma",1
2822899181,"RT ReliefNews:WHO Reviews Antiretroviral Recommendations For Pregnant, Breastfeeding Women With HIV - http://is.gd/1KA8Z",1
2822597841,"WHO Reviews Antiretroviral Recommendations For Pregnant, Breastfeeding Women With HIV (source: Medical News Today) http://bit.ly/17laYZ",1
2822435831,"RT  ayeshahalamWHO Reviews Antiretroviral Recommendations For Pregnant, Breastfeeding Women With HIV - http://is.gd/1KA8Z - Medical News..",1
2822416697,"WHO Reviews Antiretroviral Recommendations For Pregnant, Breastfeeding Women With HIV - http://is.gd/1KA8Z - Medical News Today",1
2821642326,"Monavie Money WHO Reviews Antiretroviral Recommendations For Pregnant, Breastfeeding Women With HIV.. http://bit.ly/1akfcY",1
2821522544,"WHO Reviews Antiretroviral Recommendations For Pregnant, Breastfeeding Women With HIV (source: Medical News Toda.. http://bit.ly/17laYZ",1
2821514516,"Vemma Nutrition WHO Reviews Antiretroviral Recommendations For Pregnant, Breastfeeding Women With.. http://bit.ly/1akfcY",1
2821364092,"Join Vemma WHO Reviews Antiretroviral Recommendations For Pregnant, Breastfeeding Women With HIV: The .. http://bit.ly/1akfcY",1
2821293884,"Pharmacy Guide WHO Reviews Antiretroviral Recommendations For Pregnant, Breastfeeding Women With H.. http://bit.ly/1akfcY",1
