tweet_id,tweet,class
780636903,"So I think I have appendicitis.  Positive rebound tenderness, slight nausea (recently...) and such.

And no, I am not pregnant.",1
780636903,"So I think I have appendicitis.  Positive rebound tenderness, slight nausea (recently...) and such.

And no, I am not pregnant.",1
874283817,"Okay, okay. Dreams of Paris are, well, better than okay. As long as you don't have appendicitis or are pregnant, that is. Long story.",1
874283817,"Okay, okay. Dreams of Paris are, well, better than okay. As long as you don't have appendicitis or are pregnant, that is. Long story.",1
13201988279,"appendicitis is? If you had sex, you have a chance your pregnant, deal with it.",1
11812180176,"zhiweee ooh that means you are most likely not pregnant, and don't have appendicitis? :D",1
10298155852,i went to the er monday thinking i had appendicitis well turns out the doctor told me i was pregnant but had low H...  http://bit.ly/aVsrSf,1
10290435109,"Evolution and healthcare safety, yay. Appendicitis diagnosis while pregnant? MRI may be safer than CT. http://bit.ly/94mHY6 ScienceDaily",1
10246015377,"So, Web MD told me that I either have a tumor, cancer or am pregnant. I guess you're only good at determining appendicitis. Thanks Web MD.",1
9674137941,"Yesterday, I operated on a pregnant patient with Acute appendicitis, today another preggy with hidradenitis suppurativa, what's next?",1
8698077213,"I either have an ulcer, appendicitis, or am pregnant with THE DESTROYER! HA HA HA HA Ha... or something I ate.",1
6072001269,"Please pray for Erin Warmbier, pregnant with appendicitis, and her unborn child. fb",1
5785736628,"GI: Suspected Appendicitis in the Pregnant Patient: Journal of Obstetric, Gynecologic, and Neonatal Nursing http://bit.ly/4mm3iM",1
5756179358,ItsCooperChad appendicitis! Or she's going into labor! Wait...you already said she's not pregnant.,1
4687430852,According to the internet I'm: constipated or gassy or have ovarian cysts or double appendicitis or pregnant with twins or need new hips.,1
4616424831,cakewrecks Medical City is great! They took care of my 4 year old son when I showed up with appendicitis 20 wks pregnant &husband was gone.,1
13201988279,"appendicitis is? If you had sex, you have a chance your pregnant, deal with it.",1
11812180176,"zhiweee ooh that means you are most likely not pregnant, and don't have appendicitis? :D",1
10298155852,i went to the er monday thinking i had appendicitis well turns out the doctor told me i was pregnant but had low H...  http://bit.ly/aVsrSf,1
10290435109,"Evolution and healthcare safety, yay. Appendicitis diagnosis while pregnant? MRI may be safer than CT. http://bit.ly/94mHY6 ScienceDaily",1
10246015377,"So, Web MD told me that I either have a tumor, cancer or am pregnant. I guess you're only good at determining appendicitis. Thanks Web MD.",1
9674137941,"Yesterday, I operated on a pregnant patient with Acute appendicitis, today another preggy with hidradenitis suppurativa, what's next?",1
8698077213,"I either have an ulcer, appendicitis, or am pregnant with THE DESTROYER! HA HA HA HA Ha... or something I ate.",1
6072001269,"Please pray for Erin Warmbier, pregnant with appendicitis, and her unborn child. fb",1
