tweet_id,tweet,class
5387872825,New biomarker:-) RT christineottery: dophins can also sense if a woman is pregnant even before she knows http://tinyurl.com/2maymd,1
5387872825,New biomarker:-) RT christineottery: dophins can also sense if a woman is pregnant even before she knows http://tinyurl.com/2maymd,1
25227928389,Metabolic Test May Predict Pregnant Women at Risk for Preeclampsia | Biomarker Commons http://bit.ly/b4XcfW,1
25227928389,Metabolic Test May Predict Pregnant Women at Risk for Preeclampsia | Biomarker Commons http://bit.ly/b4XcfW,1
255683129732395008,DrGDH We need proper clinical/biomarker criteria in pregnancy - repeated irradiation of pregnant boobs = bad esp now NICE has CTPA 1st line,1
255683129732395008,DrGDH We need proper clinical/biomarker criteria in pregnancy - repeated irradiation of pregnant boobs = bad esp now NICE has CTPA 1st line,1
217210708197249025,"Experts call for CV biomarker profiling in pregnant women with preeclampsia, diabetes to predict future cardiac risk http://bit.ly/LL08tY",1
149534595950456832,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers Decrease Good Cholesterol i... - http://itun.es/iLp3m6 iTunes",1
217210708197249025,"Experts call for CV biomarker profiling in pregnant women with preeclampsia, diabetes to predict future cardiac risk http://bit.ly/LL08tY",1
149534595950456832,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers Decrease Good Cholesterol i... - http://itun.es/iLp3m6 iTunes",1
579256237256273920,Promising biomarker test may reduce death in pregnant women http://viewer.zmags.com/publication/b8e4842a/b8e4842a/117 Cardiology EMJreviewspic.twitter.com/1C7zXtU82o,1
560367985479909376,Promising biomarker test may reduce death in pregnant women http://viewer.zmags.com/publication/b8e4842a/b8e4842a/117 Cardiology EMJreviewspic.twitter.com/TqzOuEdKU4,1
532172929950580737,Promising biomarker test may reduce death in pregnant women http://viewer.zmags.com/publication/b8e4842a/b8e4842a/117 Cardiology EMJreviewspic.twitter.com/IQeCxpvqeb,1
505833298564612096,Biomarker linked to poor outcomes in pregnant lupuspatients http://wp.me/p4E2ez-Fc,1
505833286628016128,Biomarker linked to poor outcomes in pregnant lupus patients http://wp.me/p4E2ez-Fc http://fb.me/3eea8mQuG,1
579256237256273920,Promising biomarker test may reduce death in pregnant women http://viewer.zmags.com/publication/b8e4842a/b8e4842a/117 Cardiology EMJreviewspic.twitter.com/1C7zXtU82o,1
560367985479909376,Promising biomarker test may reduce death in pregnant women http://viewer.zmags.com/publication/b8e4842a/b8e4842a/117 Cardiology EMJreviewspic.twitter.com/TqzOuEdKU4,1
532172929950580737,Promising biomarker test may reduce death in pregnant women http://viewer.zmags.com/publication/b8e4842a/b8e4842a/117 Cardiology EMJreviewspic.twitter.com/IQeCxpvqeb,1
505833298564612096,Biomarker linked to poor outcomes in pregnant lupuspatients http://wp.me/p4E2ez-Fc,1
505833286628016128,Biomarker linked to poor outcomes in pregnant lupus patients http://wp.me/p4E2ez-Fc http://fb.me/3eea8mQuG,1
667774784730759169,StoneHearthNews Amazing game-changer 4 pregnant mother & baby health Preeclampsia detectable 6 weeks into pregnancy with new biomarker/,1
667768887652429824,New biomarker predicts development of preeclampsia at six weeks of being pregnant - http://buzzbry.com/new-biomarker-predicts-development-of-preeclampsia-at-six-weeks-of-being-pregnant/,1
663802414814748672,ACR15 JS: In SLE pregnant women: elevated Bb OR 0.37 and in pts with aPL+ OR 1.66 for adverse pregnancy outcomes. Good biomarker!,1
642677016337219584,Promising biomarker test may reduce death in pregnant women http://viewer.zmags.com/publication/b8e4842a/b8e4842a/117 Cardiology Health EMJreviewspic.twitter.com/tSzWIGrnSd,1
607208146344509441,"Promising biomarker test may reduce death in pregnant women
http://viewer.zmags.com/publication/b8e4842a/b8e4842a/117
Cardiology Health EMJreviewspic.twitter.com/7pPp0lWtTM",1
667774784730759169,StoneHearthNews Amazing game-changer 4 pregnant mother & baby health Preeclampsia detectable 6 weeks into pregnancy with new biomarker/,1
667768887652429824,New biomarker predicts development of preeclampsia at six weeks of being pregnant - http://buzzbry.com/new-biomarker-predicts-development-of-preeclampsia-at-six-weeks-of-being-pregnant/,1
663802414814748672,ACR15 JS: In SLE pregnant women: elevated Bb OR 0.37 and in pts with aPL+ OR 1.66 for adverse pregnancy outcomes. Good biomarker!,1
642677016337219584,Promising biomarker test may reduce death in pregnant women http://viewer.zmags.com/publication/b8e4842a/b8e4842a/117 Cardiology Health EMJreviewspic.twitter.com/tSzWIGrnSd,1
607208146344509441,"Promising biomarker test may reduce death in pregnant women
http://viewer.zmags.com/publication/b8e4842a/b8e4842a/117
Cardiology Health EMJreviewspic.twitter.com/7pPp0lWtTM",1
85192515992555520,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers Decrease Good http://bit.ly/jx2dDY",1
85130341798510593,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers ...: Studying over 400 children si... http://bit.ly/krFjOu",1
85117008760414208,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers ...: From Germany - A new report p... http://bit.ly/iZPzdS",1
85114078816768001,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers Decrease Good Cholesterol in Offspring: http://bit.ly/ipOf20",1
85113010158440450,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers ...: From Australia - Smoking whil... http://bit.ly/lnBqh8",1
85112753794199552,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers ... http://bit.ly/lXljMv",1
85108255226994688,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers ...: From Germany - A new report p... http://bit.ly/mFA1L2",1
85098469915770880,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers ...: ... finding that measuring th... http://bit.ly/kaPSVx",1
85192515992555520,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers Decrease Good http://bit.ly/jx2dDY",1
85130341798510593,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers ...: Studying over 400 children si... http://bit.ly/krFjOu",1
85117008760414208,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers ...: From Germany - A new report p... http://bit.ly/iZPzdS",1
85114078816768001,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers Decrease Good Cholesterol in Offspring: http://bit.ly/ipOf20",1
85113010158440450,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers ...: From Australia - Smoking whil... http://bit.ly/lnBqh8",1
85112753794199552,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers ... http://bit.ly/lXljMv",1
85108255226994688,"Biomarker May Enable Early Detection of Alzheimer's Disease, Pregnant Smokers ...: From Germany - A new report p... http://bit.ly/mFA1L2",1
