tweet_id,tweet,class
789720950,wtf? how is it possible so many young celebrities are getting pregnant?!  do they not know how to use birth control?,1
789048964,how do these young celebs keep getting pregnant? it's not like they can't afford birth control.,1
787982042,"homytoad i took birth control placebo, and i'm not pregnant!  the moral of the story is that we have a lot in common.",1
775019317,It's National Don't Get Pregnant Weekend! Lol You'd think so w all the birth control i'm selling!,1
774960525,"You CAN get pregnant while breastfeeding. Don't rely on breastfeeding or the absence of your period for birth control, or maybe... surprise!",1
774428388,i love babies. i really do. but if i hear about one more of my friends who is pregnant I may try to OD on my birth control.,1
773946949,it will prolly take me that long to get pregnant- when i got off of birth control i didnt have my period 4 5 months so the doc had 2 give me,1
765924364,and ur pregnant AGAIN? how come ur not on birth control [...] can you give this kid up for adoption or let it be raised by badgers?~loveline,1
708128752,laurennmcc Are you pregnant or switching birth control or something?  Or do you have boob barometers?,1
700202262,"Found out my sister is pregnant. They have 5 year &  5 month old girls, and she was on birth control. They are surprised but happy about it.",1
512857072,dear gods Jamie Lynn Spears is pregnant. Someone please introduce the Spears clan to birth control,1
419857242,sitting in dr office waiting & wondering why there are pregnant teenage girls in this day with all the birthcontrol options out there,1
363099592,"bus ride was like The View. Young pregnant black woman, old white lady, & middle-aged Thai woman discussing hip hop fashion/birth control.",1
267444442,What's a birth control pill? The other thing a coed can put in her mouth to keep from getting pregnant.,1
267436222,What's a birth control pill? The other thing a coed cam put in her mouth to keep from getting pregnant.,1
789720950,wtf? how is it possible so many young celebrities are getting pregnant?!  do they not know how to use birth control?,1
789048964,how do these young celebs keep getting pregnant? it's not like they can't afford birth control.,1
787982042,"homytoad i took birth control placebo, and i'm not pregnant!  the moral of the story is that we have a lot in common.",1
775019317,It's National Don't Get Pregnant Weekend! Lol You'd think so w all the birth control i'm selling!,1
774960525,"You CAN get pregnant while breastfeeding. Don't rely on breastfeeding or the absence of your period for birth control, or maybe... surprise!",1
774428388,i love babies. i really do. but if i hear about one more of my friends who is pregnant I may try to OD on my birth control.,1
773946949,it will prolly take me that long to get pregnant- when i got off of birth control i didnt have my period 4 5 months so the doc had 2 give me,1
765924364,and ur pregnant AGAIN? how come ur not on birth control [...] can you give this kid up for adoption or let it be raised by badgers?~loveline,1
