tweet_id,tweet,class
748309072,"If you're pregnant, make sure to get enough protein, calcium and vitamins B12 and D. Hey vegetarians, this means you, too!",1
748309072,"If you're pregnant, make sure to get enough protein, calcium and vitamins B12 and D. Hey vegetarians, this means you, too!",1
48730272,sarahgilbert: aren't Tums okay for pregnant women? and they have calcium too!,1
48730272,sarahgilbert: aren't Tums okay for pregnant women? and they have calcium too!,1
999433145,"Pregnant chicks need extra protein and calcium. Ergo, chocolate peanut butter ice cream is actually a nutritional supplement. Yummers!",1
965652951,turns out being pregnant can rob your teeth of calcium. today was part 2 of 3 for fixing the damage. my face hurts. not like that.,1
999433145,"Pregnant chicks need extra protein and calcium. Ergo, chocolate peanut butter ice cream is actually a nutritional supplement. Yummers!",1
965652951,turns out being pregnant can rob your teeth of calcium. today was part 2 of 3 for fixing the damage. my face hurts. not like that.,1
4034544634,Is 1230mg of calcium too much if you're pregnant?,1
3860247192,"Pregnant women should have at least 3 servings of calcium-rich foods like cottage cheese, milk and yogurt.",1
3842411111,DKY Billy can help pregnant women B.Well? Sample Pasteurized Goat Cheese today...a great source of protein & calcium and safe for your baby!,1
3640617387,The Best Calcium To Take While Pregnant? http://bit.ly/UsNXJ,1
3583804008,"Pregnant women R told to eat an extra 300 calories a day & to focus on foods that contain essential nutrients like protein, calcium & iron.",1
3526220050,All I want lately is grilled cheese. If I'm pregnant at least my baby will have a shit-ton of calcium.,1
3524457718,RT CMXIV: ITs_JaiAsh it's the baby. i had a bad one when i was pregnant -worst than normal. my ob said the baby was stealing my calcium.,1
3524190128,ITs_JaiAsh it's the baby. i had a bad one when i was pregnant -worst than normal. my obgyn said the baby was stealing my calcium.,1
3317018534,"4 servings of calcium rich foods are recommended by pregnant women to help build the baby's bones, or it will take away from the mother.",1
3154527102,It is important for pregnant women to eat lots of calcium and to avoid empty calorie foods like sweets. Moderation is the key.,1
3088803439,Today's Tip: Pregnant women need additional calcium - milk products/cheese/calcium fortified juices/broccoli/spinach are good sources.,1
3070892378,"msrib Hehe, and you're not even pregnant. Ouch. Well, I guess it's time to make sure you've got enough calcium, magnesium, and potassium.",1
3069515923,"did you know, that if you were pregnant & you didnt have enough calcium for your baby, your baby would suck it out of your bones, true fact.",1
2900024948,Chia seed contains 4 times more calcium than milk. Great for pregnant women!!!,1
2889942180,"Heart food HEALTHINESS: Tips - Eating Right When Pregnant: Calcium also allows blood to clot normally,.. http://bit.ly/h8cG2",1
2813815031,"[Womens Health]FIND OUT REASON Y U R NOT GETTING REGULAR PERIODS
1.DUE TO ANEMIA
2.DUE TO THYROID PROBLEM
3.WHETHER PREGNANT
4.CALCIUM D",1
2796684997,"-walking- How Much Calcium? : Blisstree - Family, Health, Home and Lifestyles: Pregnant and lactating w.. http://bit.ly/2VEyVk",1
2791750432,SnickersIceCrm how bout a little Snickers love for the pregnant ladies. You know the baby needs calcium!!,1
2791675217,"Paulidwgirl oh ya i got them when i was pregnant all the time. someone once told me its lack of calcium, what do you think?",1
2771459910,"VictoriaArya Here you go:  http://bit.ly/JRjcx
 You're pregnant, right? Just think of it as extra calcium! ;)",1
4034544634,Is 1230mg of calcium too much if you're pregnant?,1
3860247192,"Pregnant women should have at least 3 servings of calcium-rich foods like cottage cheese, milk and yogurt.",1
3842411111,DKY Billy can help pregnant women B.Well? Sample Pasteurized Goat Cheese today...a great source of protein & calcium and safe for your baby!,1
3640617387,The Best Calcium To Take While Pregnant? http://bit.ly/UsNXJ,1
3583804008,"Pregnant women R told to eat an extra 300 calories a day & to focus on foods that contain essential nutrients like protein, calcium & iron.",1
3526220050,All I want lately is grilled cheese. If I'm pregnant at least my baby will have a shit-ton of calcium.,1
3524457718,RT CMXIV: ITs_JaiAsh it's the baby. i had a bad one when i was pregnant -worst than normal. my ob said the baby was stealing my calcium.,1
3524190128,ITs_JaiAsh it's the baby. i had a bad one when i was pregnant -worst than normal. my obgyn said the baby was stealing my calcium.,1
3317018534,"4 servings of calcium rich foods are recommended by pregnant women to help build the baby's bones, or it will take away from the mother.",1
3154527102,It is important for pregnant women to eat lots of calcium and to avoid empty calorie foods like sweets. Moderation is the key.,1
3088803439,Today's Tip: Pregnant women need additional calcium - milk products/cheese/calcium fortified juices/broccoli/spinach are good sources.,1
3070892378,"msrib Hehe, and you're not even pregnant. Ouch. Well, I guess it's time to make sure you've got enough calcium, magnesium, and potassium.",1
3069515923,"did you know, that if you were pregnant & you didnt have enough calcium for your baby, your baby would suck it out of your bones, true fact.",1
2900024948,Chia seed contains 4 times more calcium than milk. Great for pregnant women!!!,1
2889942180,"Heart food HEALTHINESS: Tips - Eating Right When Pregnant: Calcium also allows blood to clot normally,.. http://bit.ly/h8cG2",1
2813815031,"[Womens Health]FIND OUT REASON Y U R NOT GETTING REGULAR PERIODS
1.DUE TO ANEMIA
2.DUE TO THYROID PROBLEM
3.WHETHER PREGNANT
4.CALCIUM D",1
2796684997,"-walking- How Much Calcium? : Blisstree - Family, Health, Home and Lifestyles: Pregnant and lactating w.. http://bit.ly/2VEyVk",1
2791750432,SnickersIceCrm how bout a little Snickers love for the pregnant ladies. You know the baby needs calcium!!,1
2791675217,"Paulidwgirl oh ya i got them when i was pregnant all the time. someone once told me its lack of calcium, what do you think?",1
2771459910,"VictoriaArya Here you go:  http://bit.ly/JRjcx
 You're pregnant, right? Just think of it as extra calcium! ;)",1
2684075957,Healthy Eating During Pregnancy - Diet For Pregnant Women - Foods ...: Calcium rich food is absolutely necessary.. http://bit.ly/vcZOL,1
2680573645,andrealoper I went thru a Costco size of Tums while I was pregnant.  It was awful!  But I got my calcium though!,1
2331474169,renaedeliz Nice. I wanted nothing but chocolate milk when I was pregnant last. Then I had calcium kidney stones! :o,1
2198259900,"Dr. Amy Lanou:  Milk, cheese and calcium supplements actually block the absorption of calcium by the bones.  Pregnant moms: eat greens.",1
2182283669,"pregnant ? Make sure your calcium intake is where it should be (1,000 mg/day).",1
2128776073,AbVegan found it. Raw contains oxalic acid which hinders calcium & iron absorbtion (hence avoid when pregnant) & too much -> kidney stones,1
2054974880,recommended calcium daily intake: 800-1000mg and should be increased to 1500mg in pregnant women.important to prevent osteoporosis....,1
1969543397,"Tyler_was_here Listen, it's your fault i'm not pregnant right now. Now I gotta wait for MSB, Dome, or Calcium....FUCK",1
1924783072,"Deathlolita Pregnant women lost a lot of calcium; you should take a supplement to make up, that happened to Isa too",1
1924005486,"Twitchy legs and pregnant? Awful  night. Get more calcium, magnesium, iron. I'm adding chicken broth for CA, ground liver pills for iron.",1
1923983721,"Twitchy legs and pregnant? Awful night. Get more calcium, magnesium, iron. I'm drinking chicken broth, taking ground liver pills for iron.",1
1790647024,"Ehooper02 Small Oreo or M&M, either is fine. While pregnant, I NEED the large for the calcium, you know.",1
1783507099,curveballmami Haha u pregnant lmao!! either that or ya body is short on protien and  calcium xx,1
1738753405,"for pregnant/ lactating women over age 24, calcium intake should be 1200mg/day; under age 24 is 1200 -1500 mg/day day for a healthy baby",1
1726005712,"One bad thing about working with a pregnant lady, you know that custard is a good source of calcium. YUM",1
1614048596,dougpmd Most med advice = pregnant wmn needs 1 slice bread (carb)+1yogurt (calcium/prot) addl food-NOT MORE! Not 2x reg intake. Agree/No?,1
1589412837,"BambooGirl My doc told me that milkshakes are a healthy option when you're pregnant! The protein, fat and calcium are all good things.",1
1556056813,RelevantMom Calcium.  Pregnant women need calcium!,1
1416054198,poppycatsaffron When I was pregnant my dr. said it was lack of calcium.,1
1304365532,"itsonlywords yes, they've plagued me ever since i was pregnant w/my daughter. calcium all that...doc sez, walk it off. :)",1
1281115131,"juliecottle Funny. Some research says that pregnant women crave the calcium in ice cream, which is good for the baby. Now that's karma!",1
1144129004,"like calcium, Lead is stored in bones. pregnant & nursing women taking calcium can have less Lead in blood & breast milk http://is.gd/h0E2",1
1143216782,"lead, like calcium, is stored in bones. pregnant & nursing women taking calcium can have less lead in blood & breast milk http://is.gd/h0E2",1
1107477405,bleard yikes. becky bruning wrote and told me it's probably a calcium deficiency. she had them when she was pregnant too. interesting.,1
15202647415,Pregnancy news & art-  Can Calcium Increase Your Chances of Getting Pregnant? Find Out the Answer Here http://url4.eu/3whYk,1
15199086068,Pregnancy news & art-  Can Calcium Increase Your Chances of Getting Pregnant? Find Out the Answer Here http://url4.eu/3wdop,1
15188200830,Fresh on small business checking: What calcium supplement should I take while pregnant? Has your doctor recomm... http://tinyurl.com/39zclz7,1
15178546493,From the blog: What calcium supplement should I take while pregnant? Has your doctor recommended any supplemen... http://tinyurl.com/234k2st,1
15013435372,Fresh on online money market accounts: What calcium supplement should I take while pregnant? Has your doctor r... http://tinyurl.com/2chxl3y,1
14880757796,JenZenator I got rid of foot and leg cramps by taking extra calcium (when I was pregnant).  Maybe that would help?,1
14874459093,"Congratzzz....RT racheloctavia: Rach,, are you pregnant? RT RachSutanto: Breakfast with Hubby, start with milk for my baby calcium...",1
14874331371,"Rach,, are you pregnant? RT RachSutanto: Breakfast with Hubby, start with milk for my baby calcium...",1
14867958322,www.sooou.org.ru/What pregnant women show a lack of calcium has - http://u.boy.im/m0x performance Pregnant women the lack of -,1
14835203249,Fresh on on line checking accounts: What calcium supplement should I take while pregnant? Has your doctor reco... http://tinyurl.com/3yhukhx,1
14759945980,"Pregnancy: A healthy and balanced diet with adequate intake of iron, folic acid and calcium can help you get pregnant. http://bit.ly/d05Qre",1
14747510488,getting free calcium shots for your pregnant belly = feeling like Jamie Lynn Spears.,1
14466831532,From the blog: What calcium supplement should I take while pregnant? Has your doctor recommended any supplemen... http://tinyurl.com/2et9468,1
14450753111,"iluvmy2boys09 LUNA bars were created to give us more of the nutrients that we need, pregnant or not: folic acid, calcium, iron, protein...",1
14423046437,"Dear onlykayla , BOTH your titties look pregnant. 7 month progress boobs. So much calcium",1
14326099609,thedesigngirl Magnesium is supposed to help you sleep. I took it with calcium when I was pregnant and having trouble sleeping.,1
14268614115,"No one  told me that when pregnant a baby will not only suck up ur energy & ur iron, but ur calcium too. My teeth & bones are killing me.",1
