tweet_id,tweet,class
13994871080,"Bout to pop this ""after my birth"" codine pill for my wisdom tooth......God bless the pregnant bitches. Whew!!",1
9145673735,Shesouldeep Tylenol doesn't do jack for me... unless it's got codine in it. I'm so boned when I get pregnant lol,1
8360185145,Mr_CreativeRec Not only was she in the club but she was licking a codine laced cigarette. If she wasn't pregnant I would slap her to death.,1
13994871080,"Bout to pop this ""after my birth"" codine pill for my wisdom tooth......God bless the pregnant bitches. Whew!!",1
9145673735,Shesouldeep Tylenol doesn't do jack for me... unless it's got codine in it. I'm so boned when I get pregnant lol,1
8360185145,Mr_CreativeRec Not only was she in the club but she was licking a codine laced cigarette. If she wasn't pregnant I would slap her to death.,1
1053976190183186433,Feeling a bit crampy now so take paracetamol and a good whack of codine. Normally I avoid taking pain killers. Especially while breastfeeding and pregnant. But toddler is 300 miles away and baby doesnt have a brain so won't be affected by the codine brutaltruth,1
1053976190183186433,Feeling a bit crampy now so take paracetamol and a good whack of codine. Normally I avoid taking pain killers. Especially while breastfeeding and pregnant. But toddler is 300 miles away and baby doesnt have a brain so won't be affected by the codine brutaltruth,1
846419869360832513,"Got a cousin hooked on codine . He slurs like a drunk, got a pregnant belly & shits himself if he can't get his fix . zero sympathy",1
844793670905741312,Everybody & They Mama Pregnant ,1
779684065347788800,Buying codine in Boots & guy asks if I'm pregnant or breastfeeding in front of the massive queue. Nah fam just hungover af gimme my drugs ,1
846419869360832513,"Got a cousin hooked on codine . He slurs like a drunk, got a pregnant belly & shits himself if he can't get his fix . zero sympathy",1
844793670905741312,Everybody & They Mama Pregnant ,1
779684065347788800,Buying codine in Boots & guy asks if I'm pregnant or breastfeeding in front of the massive queue. Nah fam just hungover af gimme my drugs ,1
562755676343377920,*pictures Codine pregnant*,1
506567442760740864,Somebody Asked Me Was I'm Pregnant Today ,1
501224668490366977,RT THE CODINE OF TRUTH OR YOU GET BUTT PREGNANT BY THE UGLY GOD.,1
562755676343377920,*pictures Codine pregnant*,1
506567442760740864,Somebody Asked Me Was I'm Pregnant Today ,1
501224668490366977,RT THE CODINE OF TRUTH OR YOU GET BUTT PREGNANT BY THE UGLY GOD.,1
1230145434405859329,Yall be sipping promethazine with no codine? What does that do for yall? They prescribe me that when I was pregnant for my nausea lol,1
1195009957537763328,idk what kinda water yall drinking but i cant afford to get pregnant so im strictly drinking codine now,1
1189299938351550465,I took codine when pregnant. Didnt particularly like doing it but sometimes gotta make yourself better for babas sake too,1
1170361525640581122,They only know the codes of developing sites. Hindu doctors are bad. A hindu doctor in Houston gave Pancriatic desease. We don;t go to hindu doctors. They are dumb. My wife was pregnant with the first child and the hindu doTctor gave her Tylonol Codine and she had miscarriage.,1
1230145434405859329,Yall be sipping promethazine with no codine? What does that do for yall? They prescribe me that when I was pregnant for my nausea lol,1
1195009957537763328,idk what kinda water yall drinking but i cant afford to get pregnant so im strictly drinking codine now,1
1189299938351550465,I took codine when pregnant. Didnt particularly like doing it but sometimes gotta make yourself better for babas sake too,1
1170361525640581122,They only know the codes of developing sites. Hindu doctors are bad. A hindu doctor in Houston gave Pancriatic desease. We don;t go to hindu doctors. They are dumb. My wife was pregnant with the first child and the hindu doTctor gave her Tylonol Codine and she had miscarriage.,1
33267777779408896,LMFAO RT Pure_CODIne: The mentally handicapped lady with a speech impediment in shriver is pregnant with twins.....somebody is sick,1
29342485742354432,Pure_CODIne daaaang u pregnant bruh,1
33267777779408896,LMFAO RT Pure_CODIne: The mentally handicapped lady with a speech impediment in shriver is pregnant with twins.....somebody is sick,1
29342485742354432,Pure_CODIne daaaang u pregnant bruh,1
219178129225297921,"YummyMumi_becki taking paracetamol when I really need too, can have codine but don't want it, don't like taking anything when pregnant x",1
203595028319318016,Mokesy70 little bit better just I look pregnant! Stomach is swollen! Living on codine haha! Still in pain but ill be ok soon! U ok?,1
202721380989534209,"o.d on codine, that should stop the coughing, but not the way I spit like my bars got pregnant!",1
189161853937664002,"If You Got a Whore pregnant , face it & Man up !",1
166942440157229057,Ima get on my bike & fly thru time to be with you. I promise walls kickin like they 6 months pregnant. Codine cups paint a picture so vivid.,1
219178129225297921,"YummyMumi_becki taking paracetamol when I really need too, can have codine but don't want it, don't like taking anything when pregnant x",1
203595028319318016,Mokesy70 little bit better just I look pregnant! Stomach is swollen! Living on codine haha! Still in pain but ill be ok soon! U ok?,1
202721380989534209,"o.d on codine, that should stop the coughing, but not the way I spit like my bars got pregnant!",1
189161853937664002,"If You Got a Whore pregnant , face it & Man up !",1
166942440157229057,Ima get on my bike & fly thru time to be with you. I promise walls kickin like they 6 months pregnant. Codine cups paint a picture so vivid.,1
768482719600959488,"What !!! I take codine,  why you taking that as your pregnant hun xx",1
748765490181320704,Brah Why Somebody Done Asked Me Was I'm 4 Months Pregnant ,1
739337056690798592,"Bitches fav activities Gossip, suck Dick, smoke weed, take codine and Getting Pregnant..",1
738784013834424320,I Look Pregnant On That Picture Fr,1
715554328468008960,My unborn probably gone be laid back and cool af because I was gone off that codine when I got my babymama pregnant. ,1
710177730743111681,Still stuck on how this random pregnant lady had me chasing her disrespectful ass daughter on my coffee break,1
768482719600959488,"What !!! I take codine,  why you taking that as your pregnant hun xx",1
748765490181320704,Brah Why Somebody Done Asked Me Was I'm 4 Months Pregnant ,1
739337056690798592,"Bitches fav activities Gossip, suck Dick, smoke weed, take codine and Getting Pregnant..",1
738784013834424320,I Look Pregnant On That Picture Fr,1
715554328468008960,My unborn probably gone be laid back and cool af because I was gone off that codine when I got my babymama pregnant. ,1
710177730743111681,Still stuck on how this random pregnant lady had me chasing her disrespectful ass daughter on my coffee break,1
959278695616716800,"My dr prescribed me codine and I still dont take it. Idc how much pain Im in. Idc how much she tells me its safe, I refuse to take anything crazy like that while pregnant.",1
957814552053370880,I'd be done too if my nigga gave me a std in my pussy while I was pregnant with his son.  Mine was the throught you've had an actual std in your vagina. Yo baby should've died. I mean could've my bad.,1
957813200694718465,Nawl botch I seen the messages.  Alexus Nick gave me a std while I'm pregnant. Lmfao,1
957812403869188096,Bitch You Cant Even Spell  Go Back Too School & Quit Getting Pregnant By Niggas Who Gone Keep Going Back Too Jail ,1
957808143622377472,Cuz She Sound Like A Fool I Dont Give Not One Fucks About No Baby  Talk That Shit While You Pregnant You Can Get Hit  & Bitch Think Im Stupid Too Pull Up Too Somebody House ? ,1
957805891323088897,First Off Baby Youre Not So Cute Yourself So I Wouldnt Be Calling Nobody Ugly While Im Pregnant. & Yeen Even Have Too Say Nothing Too Her Tweet If She Was Left Yesterday ,1
920248634830213120,Ordinary codine they need to ask if ur wife is pregnant.. https://twitter.com/MannoakgotlaM/status/920248329908445184,1
880456704193957889,Why Every Time I Say Guess Who Pregnant They Say Alize ,1
878395776677928960,You Gone Be Tired  Cause I Know I Sleep Like I'm Pregnant Everyday When I Work,1
959278695616716800,"My dr prescribed me codine and I still dont take it. Idc how much pain Im in. Idc how much she tells me its safe, I refuse to take anything crazy like that while pregnant.",1
957814552053370880,I'd be done too if my nigga gave me a std in my pussy while I was pregnant with his son.  Mine was the throught you've had an actual std in your vagina. Yo baby should've died. I mean could've my bad.,1
957813200694718465,Nawl botch I seen the messages.  Alexus Nick gave me a std while I'm pregnant. Lmfao,1
957812403869188096,Bitch You Cant Even Spell  Go Back Too School & Quit Getting Pregnant By Niggas Who Gone Keep Going Back Too Jail ,1
957808143622377472,Cuz She Sound Like A Fool I Dont Give Not One Fucks About No Baby  Talk That Shit While You Pregnant You Can Get Hit  & Bitch Think Im Stupid Too Pull Up Too Somebody House ? ,1
957805891323088897,First Off Baby Youre Not So Cute Yourself So I Wouldnt Be Calling Nobody Ugly While Im Pregnant. & Yeen Even Have Too Say Nothing Too Her Tweet If She Was Left Yesterday ,1
920248634830213120,Ordinary codine they need to ask if ur wife is pregnant.. https://twitter.com/MannoakgotlaM/status/920248329908445184,1
880456704193957889,Why Every Time I Say Guess Who Pregnant They Say Alize ,1
