tweet_id,tweet,class
967647065,Still sick and wishing pregnant women could use Nyquil. Or Dayquil. Or whiskey.,1
924610133,Cold Medicine while pregnant: I am three weeks pregnant and have a cold. Is it okay to take Dayquil .. http://tinyurl.com/6gwqt4,1
967647065,Still sick and wishing pregnant women could use Nyquil. Or Dayquil. Or whiskey.,1
924610133,Cold Medicine while pregnant: I am three weeks pregnant and have a cold. Is it okay to take Dayquil .. http://tinyurl.com/6gwqt4,1
11201283888,"Dayquil with vitamin c, apple cider vinegar *yuck*, a pot of red tea to drink, cereal, and 16 and pregnant for the win. Eff you sickness.",1
4602646139,Pregnant + Sick = Uuuuurgh... I can't wait to be able to take Nyquil and Dayquil again.,1
11201283888,"Dayquil with vitamin c, apple cider vinegar *yuck*, a pot of red tea to drink, cereal, and 16 and pregnant for the win. Eff you sickness.",1
4602646139,Pregnant + Sick = Uuuuurgh... I can't wait to be able to take Nyquil and Dayquil again.,1
35709820657078272,YoonSPark I can't take the dayquil and things like that being pregnant :( i'm trying the salty water now,1
16139230019330048,http://bit.ly/hUk3Aq :O Is it ok to take Dayquil while pregnant for flu symptoms? flu symptoms,1
16139192971034624,Is it ok to take Dayquil while pregnant for flu symptoms? :O flu symptoms http://bit.ly/hUk3Aq,1
15529321665929216,hoosiernik Oh my goodness. That sounds awful. I am very very glad I'm not pregnant this year. Need my Dayquil!,1
12270543948480512,TemerityJane http://bit.ly/7ZKRJh List of ingredients safe for pregnant women. Dayquil is a maybe due to phenylephrine.,1
9281297822253056,Guess U got the flu. You need dayquil or nyquil.RT solangeknowles: Still nauseous.   Not pregnant.,1
26021205821,I'm 27 1/2 weeks pregnant and I have a pretty bad cold. I'm all stuffy and and a minor cough. I have some DayQuil ...  http://bit.ly/aVsrSf,1
35709820657078272,YoonSPark I can't take the dayquil and things like that being pregnant :( i'm trying the salty water now,1
16139230019330048,http://bit.ly/hUk3Aq :O Is it ok to take Dayquil while pregnant for flu symptoms? flu symptoms,1
16139192971034624,Is it ok to take Dayquil while pregnant for flu symptoms? :O flu symptoms http://bit.ly/hUk3Aq,1
15529321665929216,hoosiernik Oh my goodness. That sounds awful. I am very very glad I'm not pregnant this year. Need my Dayquil!,1
12270543948480512,TemerityJane http://bit.ly/7ZKRJh List of ingredients safe for pregnant women. Dayquil is a maybe due to phenylephrine.,1
9281297822253056,Guess U got the flu. You need dayquil or nyquil.RT solangeknowles: Still nauseous.   Not pregnant.,1
26021205821,I'm 27 1/2 weeks pregnant and I have a pretty bad cold. I'm all stuffy and and a minor cough. I have some DayQuil ...  http://bit.ly/aVsrSf,1
2065337055,"The 1 thing I miss while being pregnant? Dayquil. Ugh, I'm miserable.",1
1181256172,i love dayquil so much i'm gunna take it out behind the middle school and get it pregnant,1
2065337055,"The 1 thing I miss while being pregnant? Dayquil. Ugh, I'm miserable.",1
1181256172,i love dayquil so much i'm gunna take it out behind the middle school and get it pregnant,1
454347947920986112,"Weird how DayQuil doesn't mention ""impaired judgment that leads you to watch that film where Cameron Diaz is pregnant"" amongst side effects.",1
447743419339649024,Pregnant with a cold - if I can't take dayquil what can I do to ease the stabbing knives in my throat?,1
437595521499152384,LIL_Tony22 DayQuil? and im pregnant that's why I'm asking lbs,1
428886249835728896,No one truly appreciates DayQuil or NighQuil or really any of the Quils until your pregnant and miserably sick and you can't take them...,1
419266636344856576,"Fan question:

Please most.but leave my name out. Can you take vicks dayquil while being pregnant?

and if you do what may happen

RP: Sam",1
