tweet_id,tweet,class
1616168914,needs to figure out what decongestant she can take for a cold while pregnant.  badly.,1
1224010097,"cjyohe i found them to be completely useless. and alas, the pregnant woman's only decongestant option...",1
1616168914,needs to figure out what decongestant she can take for a cold while pregnant.  badly.,1
1224010097,"cjyohe i found them to be completely useless. and alas, the pregnant woman's only decongestant option...",1
12905622333,[talking about decongestant pills] Me: Why won't you just take the pill? Dustin: What if I WANT to get pregnant?,1
12115124244,Grant Holt's urine is used as a decongestant for pregnant women in certain shanty towns in Liverpool. grantholtfacts,1
4943990190,domesticdays anything with a decongestant is BAD while pregnant,1
12905622333,[talking about decongestant pills] Me: Why won't you just take the pill? Dustin: What if I WANT to get pregnant?,1
12115124244,Grant Holt's urine is used as a decongestant for pregnant women in certain shanty towns in Liverpool. grantholtfacts,1
4943990190,domesticdays anything with a decongestant is BAD while pregnant,1
684259104848769024,the_only_abi I've had a cold since Boxing Day. It's horrible!! And being pregnant I can't take any decongestant ,1
666513117644500992,"Fq: Can you post please. 
Any mommy's on here used a nasal decongestant spray while pregnant? I'm 24 weeks and can't breathe! ):
*emma*",1
658533767171039233,Being sick and pregnant is awful. The list of medications you can take is tiny. I just want a good decongestant ,1
657977373158166530,NicolaOBBeauty I've had one all week compounded by the fact you can't take decongestant when your pregnant! Hope you feel better soon!,1
601505140126982144,BUSPH study observes link between decongestant use in pregnant women and... http://ift.tt/1R81thb,1
594956757664976897,Being pregnant and unable to take a decongestant is killing me. Please remove my sinuses. Thank you in advance.,1
684259104848769024,the_only_abi I've had a cold since Boxing Day. It's horrible!! And being pregnant I can't take any decongestant ,1
666513117644500992,"Fq: Can you post please. 
Any mommy's on here used a nasal decongestant spray while pregnant? I'm 24 weeks and can't breathe! ):
*emma*",1
658533767171039233,Being sick and pregnant is awful. The list of medications you can take is tiny. I just want a good decongestant ,1
657977373158166530,NicolaOBBeauty I've had one all week compounded by the fact you can't take decongestant when your pregnant! Hope you feel better soon!,1
601505140126982144,BUSPH study observes link between decongestant use in pregnant women and... http://ift.tt/1R81thb,1
594956757664976897,Being pregnant and unable to take a decongestant is killing me. Please remove my sinuses. Thank you in advance.,1
114357285756747776,"hpstrawberries You just need to knock back some decongestant and a couple Tylenol. Oh wait, you're pregnant. Right. (You may now smack me.)",1
112687603031089152,ANYBODY WANT TO ANSWEYLR MY QUESTION?! can you use nasal decongestant spray if you're pregnant?,1
112681079466504193,Can you have nasal decongestant spray if you're pregnant?,1
72296567272521728,pregnancy stuff: Decongestant use in pregnant women linked to lower risk of preterm birth: A new stud... http://bit.ly/iBdsQy pregnancy,1
54717032175898624,Why hasn't someone invented an effective decongestant for pregnant women?! :(,1
53370565599313920,Decongestant Use in Pregnant Women Linked to Lower Risk of Preterm Birth http://goo.gl/fb/jnz0x,1
45809029800398848,kuyakim_atienza. Im 4mo and 2 wks pregnant. Am i allowed to use nasal decongestant spray and strepsils? pls need advice..,1
39502439212265472,sidenote: doesn't it seem odd that the only decongestant that's ok for pregnant ladies is also the one that's awesome for meth? O_o,1
114357285756747776,"hpstrawberries You just need to knock back some decongestant and a couple Tylenol. Oh wait, you're pregnant. Right. (You may now smack me.)",1
112687603031089152,ANYBODY WANT TO ANSWEYLR MY QUESTION?! can you use nasal decongestant spray if you're pregnant?,1
112681079466504193,Can you have nasal decongestant spray if you're pregnant?,1
72296567272521728,pregnancy stuff: Decongestant use in pregnant women linked to lower risk of preterm birth: A new stud... http://bit.ly/iBdsQy pregnancy,1
54717032175898624,Why hasn't someone invented an effective decongestant for pregnant women?! :(,1
53370565599313920,Decongestant Use in Pregnant Women Linked to Lower Risk of Preterm Birth http://goo.gl/fb/jnz0x,1
45809029800398848,kuyakim_atienza. Im 4mo and 2 wks pregnant. Am i allowed to use nasal decongestant spray and strepsils? pls need advice..,1
39502439212265472,sidenote: doesn't it seem odd that the only decongestant that's ok for pregnant ladies is also the one that's awesome for meth? O_o,1
478808884383973376,"Also, stupid pharmacist who asks ""don't you want to take a decongestant?"" while I'm obviously 8 months pregnant -- get a brain!!",1
473649329559715840,Is cutting my head off considered a natural nasal decongestant? headcold pregnant,1
452761163278073856,EdwardsKatie you can't have the decongestant in it when pregnant x,1
449987849459601408,SpringerSaint Boots have their own brand decongestant that doesn't contain paracetamol. The only thing I could take when I was pregnant x,1
449881136596926464,Being pregnant and sick is miserable. I would pay big bucks to someone who invented a decongestant safe to take during pregnancy.,1
444354142828367872,"Sooo sleepy. Being sick while pregnant is rough. No medicine, just toughin it all out. I need some serious kleenex and nasal decongestant ",1
428997808918892544,"Xandara Thanks. I hope so, but doubt it. No decongestant allowed for pregnant gnomes.",1
424675628533555200,"really Otrivin? same price for SALT WATER as for an ACTUAL decongestant, b/c its approved for use while pregnant?",1
478808884383973376,"Also, stupid pharmacist who asks ""don't you want to take a decongestant?"" while I'm obviously 8 months pregnant -- get a brain!!",1
473649329559715840,Is cutting my head off considered a natural nasal decongestant? headcold pregnant,1
452761163278073856,EdwardsKatie you can't have the decongestant in it when pregnant x,1
449987849459601408,SpringerSaint Boots have their own brand decongestant that doesn't contain paracetamol. The only thing I could take when I was pregnant x,1
449881136596926464,Being pregnant and sick is miserable. I would pay big bucks to someone who invented a decongestant safe to take during pregnancy.,1
444354142828367872,"Sooo sleepy. Being sick while pregnant is rough. No medicine, just toughin it all out. I need some serious kleenex and nasal decongestant ",1
428997808918892544,"Xandara Thanks. I hope so, but doubt it. No decongestant allowed for pregnant gnomes.",1
424675628533555200,"really Otrivin? same price for SALT WATER as for an ACTUAL decongestant, b/c its approved for use while pregnant?",1
705859182004707328,Having a cold when you're pregnant is the worst I just wanna take a decongestant ,1
699750977524666368,{Mom Question} What is a safe decongestant to take while pregnant?,1
705859182004707328,Having a cold when you're pregnant is the worst I just wanna take a decongestant ,1
699750977524666368,{Mom Question} What is a safe decongestant to take while pregnant?,1
1112736315584532482,DID YOU KNOW....when youre pregnant your sinuses swell thanks to extra blood flow so youre stuffed up a lot....and in the middle of allergy season its real bad...BUT you cant take anything with a decongestant in it...... now you know.,1
1065098284463779840,"Decongestant, lots of water and do have your wife beat on your back, ribs and chest to help loosen.  Water to flush, works in your lungs too.  Had to do this for congestion when pregnant.  It worked.",1
