tweet_id,tweet,class
959115058759413760,Did you know Acupuncture can help pregnant women who suffer from morning sickness? Needling body & ear points makes acupuncture a safe alternative to Diclectin  pic.twitter.com/6JkCZhuHdV,1
956630296237084674,"Diclectin , popular anti-nausea drug for pregnant women, not effective: researcher http://ctv.news/QwYRwYI",1
956313068010553344,"Done with Diclectin? What are you telling your pregnant patients? Morning sickness drug doesn't work, confidential industry documents reviewed by doctor show http://www.cbc.ca/news/health/diclectin-pregnancy-nausea-vomiting-persaud-duchesnay-confidential-industry-documents-health-canada-1.4491300",1
954173775112622080,"How disappointing that the original research wasn't reported transparently - Diclectin, popular anti-nausea drug for pregnant women, not effective: researcher http://ctv.news/QwYRwYI",1
954011776579973121,"If you're pregnant and taking Diclectin for morning sickness, chances are it may not be doing much more than a placebo http://ow.ly/3slU30hQIFn via CTVNewspic.twitter.com/HlV5E2HoWN",1
953980306008301569,"Research by family physician NavPersaud questions the effectiveness of Diclectin, the go-to anti-nausea drug for pregnant women: https://buff.ly/2DK5atG via CTVNewspic.twitter.com/8TWJkoOLPv",1
953838779432886272,"jesse_mclean DavidBruser please pursue this story. Someone needs to be held accountable. Diclectin has negligible efficacy and they knew it, and peddled it to pregnant women anyway for 40 years? Shameful display of greed. morningsickness pregnancy https://www.thestar.com/amp/news/canada/2018/01/17/popular-morning-sickness-drug-is-not-effective-new-research-finds.html",1
953825618407256065,.DrJenGunter Diclectin is time release---that's the difference and no generic company wanted to make a version because there have been decades of threatened lawsuits for anyone who dared give any drug to pregnant women,1
953821813204799488,"Diclectin, popular anti-nausea drugfor pregnant women, not effective: researcher https://www.ctvnews.ca/health/popular-morning-sickness-drug-not-effective-review-of-years-old-data-suggests-1.3763838",1
953789400135041024,ctvcalgary diclectin was sooo effective for me. Without it I would have been completely and utterly useless when I was pregnant.,1
953750780367880192,"Have you been pregnant? I have. I had violent nausea during my first trimester and it wasnt until I took diclectin that I was able to feel somewhat better. Sorry, but I think a lot of women will agree.",1
953741486495092738,"New study by NavPersaud demonstrates that Diclectin, the only prescription drug authorized to treat nausea and vomiting in pregnant women, is not clinically effective http://ctv.news/QwYRwYI",1
