tweet_id,tweet,class
2087784901,"alphonse3hines says: Do not use doxycycline if you are pregnant. It could cause harm to the unborn baby, inclu... http://i.sitesays.com/2g2h",1
2087784901,"alphonse3hines says: Do not use doxycycline if you are pregnant. It could cause harm to the unborn baby, inclu... http://i.sitesays.com/2g2h",1
472534452569010176,"Anti-malarials and pregnant!: Please advise, I assume that doxycycline is not advisable ? what to use for Nepa... http://bit.ly/SZQYDX",1
471581508160225280,"Doxycycline should not b taken by pregnant women or by children younger than 10 years, since it can interfere with growing teeth and bones.",1
459757707226935296,"If you're pregnant, avoid malarone doxycycline primaquine and use chloroquine or mefloquine instead antimalariahttp://wp.me/p3d3I6-iG",1
452802956438429696,"Whoever invented doxycycline can go to hell, I hate feeling like I'm going to throw up every morning. I'm not pregnant. Do not want.",1
450373103743688706,"dont forget that Tetracyclins contarindicated to pregnant, breast feeding, child <8y and renaly impared patiant>>exc. doxycycline.",1
430550496927940609,Doxycycline is the ORAL drug of choice for LYME except when age < 9 yrs and pregnant. In that case give Amoxicillin. Usmle,1
472534452569010176,"Anti-malarials and pregnant!: Please advise, I assume that doxycycline is not advisable ? what to use for Nepa... http://bit.ly/SZQYDX",1
471581508160225280,"Doxycycline should not b taken by pregnant women or by children younger than 10 years, since it can interfere with growing teeth and bones.",1
459757707226935296,"If you're pregnant, avoid malarone doxycycline primaquine and use chloroquine or mefloquine instead antimalariahttp://wp.me/p3d3I6-iG",1
452802956438429696,"Whoever invented doxycycline can go to hell, I hate feeling like I'm going to throw up every morning. I'm not pregnant. Do not want.",1
450373103743688706,"dont forget that Tetracyclins contarindicated to pregnant, breast feeding, child <8y and renaly impared patiant>>exc. doxycycline.",1
430550496927940609,Doxycycline is the ORAL drug of choice for LYME except when age < 9 yrs and pregnant. In that case give Amoxicillin. Usmle,1
201708610382864384,"Question1:
The drug of choice for treating cholera in a pregnant women is ? 

a. tetracycline 
b. doxycycline 
c.... http://fb.me/1KVZg14V6",1
201611413276471296,"Question1:
The drug of choice for treating cholera in a pregnant women is ? 

a. tetracycline 
b. doxycycline 
c.... http://fb.me/26k6piupc",1
185407162208628737,doxycycline and pregnant women http://doxycycline-and-pregnant-women.cheapillsshop.com,1
143790687173881856,could i be pregnant or is it because of the doxycycline? we used a condom but it split. please help :(  http://bit.ly/aVsrSf,1
141568428866670592,Rocky mountain spotted fever treatment in pregnant ladies is chloromphenicol otherwise treat with doxycycline,1
136225327834869760,"Doxycycline Info
. Dangerous Acne Treatments For Pregnant Women nbsp http://bit.ly/tqNIK8",1
201708610382864384,"Question1:
The drug of choice for treating cholera in a pregnant women is ? 

a. tetracycline 
b. doxycycline 
c.... http://fb.me/1KVZg14V6",1
201611413276471296,"Question1:
The drug of choice for treating cholera in a pregnant women is ? 

a. tetracycline 
b. doxycycline 
c.... http://fb.me/26k6piupc",1
185407162208628737,doxycycline and pregnant women http://doxycycline-and-pregnant-women.cheapillsshop.com,1
143790687173881856,could i be pregnant or is it because of the doxycycline? we used a condom but it split. please help :(  http://bit.ly/aVsrSf,1
141568428866670592,Rocky mountain spotted fever treatment in pregnant ladies is chloromphenicol otherwise treat with doxycycline,1
136225327834869760,"Doxycycline Info
. Dangerous Acne Treatments For Pregnant Women nbsp http://bit.ly/tqNIK8",1
591205578837483520,doxycycline and becoming pregnant http://bit.ly/1EuPYOy,1
573354850202726401,"In pregnant ladies, doxycycline/quinidine are given as treatment for malaria !",1
552880982907695104,"If you take doxycycline monohydrate while pregnant or under the age of 8, it permanently discolors your teeth. TheMoreYouKnow",1
533550363169665025,"(3) 
Treatment 
-Doxycycline: adults & children >8 years.
-Amoxicillin or Cefuroxime: younger children and pregnant or breast feeding women.",1
512912665107132417,"Leptospirosis: Do not give Doxycycline in pregnant, breastfeeding, children 8 years and below.  Consult MD first. philippinestar",1
512791731096387584,"Doxycycline is contraindicated for pregnant, breastfeeding moms and children <8 y/o. Do not self-medicate leptoalert MarioPH",1
504142595799678976,Amoxicillin is the preferred ttt for pregnant or lactating pts and children with early localized Lyme disease (Doxycycline is C/I) 2CKnotes,1
