tweet_id,tweet,class
5643011,Former boyfriend says Smith on drugs while pregnant http://slink.in/958,1
1756083,sinus infection.....thank goodness.....not mono....not bronchitis....no pneumonia....and I'm not pregnant!!  Don't know WHY I'm so tired!!!!!!  Got Drugs!,1
5643011,Former boyfriend says Smith on drugs while pregnant http://slink.in/958,1
1756083,sinus infection.....thank goodness.....not mono....not bronchitis....no pneumonia....and I'm not pregnant!!  Don't know WHY I'm so tired!!!!!!  Got Drugs!,1
795929119,r pharmacists & doctors mad? dishing out boozy medicine to 19 month old kids + drugs labelled unsuitable for the pregnant to pregnant wives,1
789166568,"I don't ""do"" drugs. I did once, but the drug claimed I got it pregnant. Still paying for that one. (I swear, that DNA result is WRONG!)",1
787408353,Former NFL player Shawn King says he failed an NFL drug test because woman whose urine he used to hide marijuana use was pregnant. WTF!?,1
782483677,"l'm sick of the junk about the ""Pregnant Man"". SHE'S NOT A MAN!!! she's a woman on drugs...",1
774810801,"Dads to be blamed for pregnant mums not quitting cigarettes, drugs ... - Thaindian.com..",1
774805143,"thaindian: Dads to be blamed for pregnant mums not quitting cigarettes, drugs, alcohol - http://n.thaindian.com/29716",1
771840783,"In Alabama, a Crackdown on Pregnant Drug Users http://tinyurl.com/388ec2",1
771840779,"In Alabama, a Crackdown on Pregnant Drug Users http://tinyurl.com/3y6xar",1
768018621,"Hey tweeps, sorry I wasn't clear with my last tweet. It should read LET'S DRUG OUR PREGNANT WOMEN http://www.naturalnews.com/022789.html",1
765912966,Kerry Katona Pregnant and doing drugs http://tinyurl.com/2jaf7z,1
581809222,Text: Woman Charged After Unborn Baby Dies: A pregnant woman's drug addiction may have led to her child'.. http://tinyurl.com/2zqwba,1
563057872,"Now Playing: ""It's God's fault I drink and drug while pregnant for the 3rd time."" Next Up: ""I Won't Leave the Man Who Brutally Raped Me.""",1
560982362,also hates having a cold while pregnant.  Please to be giving me drugs!,1
557794382,Pregnant woman slain in drug house: A 28-year-old pregnant woman was fatally shot in the upper body at a kn.. http://tinyurl.com/37ojsc,1
456732632,"and being pregnant I can't take any ""good"" drugs! A little motrin can't ""kill""the baby...right? I gotta ""google"" why I can't take that stuff",1
313738052,Drugs blamed in mom's killing: The supposedly drug-crazed killer of a pregnant Edmonton teen was upset the .. http://tinyurl.com/2zlxz6,1
246370192,ashpreggo hope you feel better soon! being pregnant with a cold does suck cause you can't take all the great cold drugs to feel better.,1
795929119,r pharmacists & doctors mad? dishing out boozy medicine to 19 month old kids + drugs labelled unsuitable for the pregnant to pregnant wives,1
789166568,"I don't ""do"" drugs. I did once, but the drug claimed I got it pregnant. Still paying for that one. (I swear, that DNA result is WRONG!)",1
787408353,Former NFL player Shawn King says he failed an NFL drug test because woman whose urine he used to hide marijuana use was pregnant. WTF!?,1
782483677,"l'm sick of the junk about the ""Pregnant Man"". SHE'S NOT A MAN!!! she's a woman on drugs...",1
774810801,"Dads to be blamed for pregnant mums not quitting cigarettes, drugs ... - Thaindian.com..",1
774805143,"thaindian: Dads to be blamed for pregnant mums not quitting cigarettes, drugs, alcohol - http://n.thaindian.com/29716",1
771840783,"In Alabama, a Crackdown on Pregnant Drug Users http://tinyurl.com/388ec2",1
771840779,"In Alabama, a Crackdown on Pregnant Drug Users http://tinyurl.com/3y6xar",1
768018621,"Hey tweeps, sorry I wasn't clear with my last tweet. It should read LET'S DRUG OUR PREGNANT WOMEN http://www.naturalnews.com/022789.html",1
765912966,Kerry Katona Pregnant and doing drugs http://tinyurl.com/2jaf7z,1
581809222,Text: Woman Charged After Unborn Baby Dies: A pregnant woman's drug addiction may have led to her child'.. http://tinyurl.com/2zqwba,1
563057872,"Now Playing: ""It's God's fault I drink and drug while pregnant for the 3rd time."" Next Up: ""I Won't Leave the Man Who Brutally Raped Me.""",1
560982362,also hates having a cold while pregnant.  Please to be giving me drugs!,1
557794382,Pregnant woman slain in drug house: A 28-year-old pregnant woman was fatally shot in the upper body at a kn.. http://tinyurl.com/37ojsc,1
456732632,"and being pregnant I can't take any ""good"" drugs! A little motrin can't ""kill""the baby...right? I gotta ""google"" why I can't take that stuff",1
313738052,Drugs blamed in mom's killing: The supposedly drug-crazed killer of a pregnant Edmonton teen was upset the .. http://tinyurl.com/2zlxz6,1
246370192,ashpreggo hope you feel better soon! being pregnant with a cold does suck cause you can't take all the great cold drugs to feel better.,1
1096290218,"sockgirl Well, this drug withdrawl does feel like I'd imagine being pregnant with 12 babies would feel.  Hee hee.",1
1094446168,"AMAZING DEGRASSI WIKI EXCERPT: When JT learned she was pregnant, he did everything to earn money. Unfortunately, he turned to selling drugs.",1
1092446485,Bookfoolery I could never do that -- not even when I was pregnant. It's definitely like a drug for me!,1
1091121618,"jf are y'all pregnant? (If so, yay!) Agreed:American med system is anti-natural childbirth, probably b/c you don't need their drugs for it!",1
1075405425,Pregnant wife = being drug to look at all things baby.,1
1071626926,skye820 Better ganja than meth;-P Funny SarahPalin is giving away  pregnant high school dropout daughter 2 a family of drug dealers TCOT,1
1071476741,disability : Epilepsy Drug Taken When Pregnant May Increase Risk Of Autism In Children http://tinyurl.com/9ok6cp http://tinyurl.com/6usbyk,1
1071400462,Epilepsy Drug Taken When Pregnant May Increase Risk Of Autism In Children http://tinyurl.com/9ok6cp,1
1070729027,The future mother-in-law of Sarah Palin's pregnant daughter Bristol has been seized in a drugs bust,1
