tweet_id,tweet,class
3845863112,RTdabreakradiowheniwaslittle I used to eat dirt patties<--Me too...and when I was pregnant I used to crave dirt & gravel~lol,1
2230029995,Got ginger Gravol today on the advice of the pharm. only to come home and read DO NOT TAKE IF YOU ARE PREGNANT on the back. Piss!!,1
3845863112,RTdabreakradiowheniwaslittle I used to eat dirt patties<--Me too...and when I was pregnant I used to crave dirt & gravel~lol,1
2230029995,Got ginger Gravol today on the advice of the pharm. only to come home and read DO NOT TAKE IF YOU ARE PREGNANT on the back. Piss!!,1
13141805100,KelliZink I was terrified about PICA while I was pregnant. I kept waiting to crave gravel and cigarette butts.,1
12135284655,gigiphotography I used to take gravol as a kid and it would put me right to sleep for a car ride. can you take it while you're pregnant?,1
4893304744,"under clouds low and pregnant
the cracks of tires impressed on gravel 
pulling slowly waiting expectant",1
4161752918,"billyhwang I dunno, I'm tempted to get pregnant again just so I can hand that job off. Not much worse than a box of gravel and poop.",1
13141805100,KelliZink I was terrified about PICA while I was pregnant. I kept waiting to crave gravel and cigarette butts.,1
12135284655,gigiphotography I used to take gravol as a kid and it would put me right to sleep for a car ride. can you take it while you're pregnant?,1
4893304744,"under clouds low and pregnant
the cracks of tires impressed on gravel 
pulling slowly waiting expectant",1
4161752918,"billyhwang I dunno, I'm tempted to get pregnant again just so I can hand that job off. Not much worse than a box of gravel and poop.",1
121238969450102784,Pretty sure at 8 months pregnant I prob shouldn't be vacuuming the stairs. But it feels like someone dumped a bag of gravel on them. fb,1
118790336356155392,Can someone let me know why you can't take ginger tablets (gravol ginger) while pregnant? They're organic,1
116768484599406592,Free Canvas painting session kidsunlimited01 wilmslow Gravel Lane on Mon 3rd for young babies and pregnant mums.  Starts at 2pm.,1
111090150783717377,kacieemiller I am pretty sure my left hand is pregnant with gravel because the pavement definitely f-ed it when I crashed my bicycle,1
109328286957580288,"Lady I seen on lunch looked like a 80yr old pregnant midget, w/ donkey tits, a gravel ass, & a voice like Barry White. AlcoholismItsBest",1
101488854913134592,ivyleague1908 ooooool pregnant ass! Lmao,1
96576234309427201,I was admitted into the hospital at 7 weeks pregnant for severe dehydration. They gave me morphine and gravol mi...  http://bit.ly/aVsrSf,1
80440264082210816,TinyTangerines did you go to the drs? Is Bowie okay? I slipped on gravel and fell in a parking lot when I was pregnant. Not fun.,1
79669181389344768,thatawkwardmoment when you find out selena gomez is pregnant.,1
59280390510215169,Listening to Adele in bed and waiting for the gravol to kick in. I wasn't this nauseous when I was pregnant.,1
56026289026502656,made it to the midwife and back...gonna try some gravol and toast...wish me luck flu pregnant,1
52686625112723456,"Pink I fell repeatedly while pregnant too, once on a gravel driveway. Skinned shins are dead sexy when you're a beachball.",1
52604974118600704,"Pink dude, I tripped and did an army roll down my gravel driveway when I was 9 months pregnant",1
52347942811615232,BanyBoy38 why would u? Its just as much ur resp as it is hers. If u were the pregnant one would u want someone to walk out on u?,1
51176980384718848,Lmao doing a 100 on the snowy gravel roads. My pregnant sister and gamma freaking out in the back seat. He's coming!,1
47387937607909376,Gravel works and alot of liquids..c a dr tooRT Pink: ok my sweet-tweets.... what does a pregnant mama do for the flu without antibiotics?,1
36882912217407489,"This fool just said, ""let me get you pregnant. You can tell the baby she/he aint got no daddy...Call him Jesus."" Uuuuh WTF?????",1
121238969450102784,Pretty sure at 8 months pregnant I prob shouldn't be vacuuming the stairs. But it feels like someone dumped a bag of gravel on them. fb,1
118790336356155392,Can someone let me know why you can't take ginger tablets (gravol ginger) while pregnant? They're organic,1
116768484599406592,Free Canvas painting session kidsunlimited01 wilmslow Gravel Lane on Mon 3rd for young babies and pregnant mums.  Starts at 2pm.,1
111090150783717377,kacieemiller I am pretty sure my left hand is pregnant with gravel because the pavement definitely f-ed it when I crashed my bicycle,1
109328286957580288,"Lady I seen on lunch looked like a 80yr old pregnant midget, w/ donkey tits, a gravel ass, & a voice like Barry White. AlcoholismItsBest",1
101488854913134592,ivyleague1908 ooooool pregnant ass! Lmao,1
96576234309427201,I was admitted into the hospital at 7 weeks pregnant for severe dehydration. They gave me morphine and gravol mi...  http://bit.ly/aVsrSf,1
80440264082210816,TinyTangerines did you go to the drs? Is Bowie okay? I slipped on gravel and fell in a parking lot when I was pregnant. Not fun.,1
79669181389344768,thatawkwardmoment when you find out selena gomez is pregnant.,1
59280390510215169,Listening to Adele in bed and waiting for the gravol to kick in. I wasn't this nauseous when I was pregnant.,1
56026289026502656,made it to the midwife and back...gonna try some gravol and toast...wish me luck flu pregnant,1
52686625112723456,"Pink I fell repeatedly while pregnant too, once on a gravel driveway. Skinned shins are dead sexy when you're a beachball.",1
52604974118600704,"Pink dude, I tripped and did an army roll down my gravel driveway when I was 9 months pregnant",1
52347942811615232,BanyBoy38 why would u? Its just as much ur resp as it is hers. If u were the pregnant one would u want someone to walk out on u?,1
51176980384718848,Lmao doing a 100 on the snowy gravel roads. My pregnant sister and gamma freaking out in the back seat. He's coming!,1
47387937607909376,Gravel works and alot of liquids..c a dr tooRT Pink: ok my sweet-tweets.... what does a pregnant mama do for the flu without antibiotics?,1
36882912217407489,"This fool just said, ""let me get you pregnant. You can tell the baby she/he aint got no daddy...Call him Jesus."" Uuuuh WTF?????",1
