tweet_id,tweet,class
1011621871,"To answer everyone at once, the no-med headache cures are for pregnant women who can't take headache meds; still need a few more thanks",1
1011621871,"To answer everyone at once, the no-med headache cures are for pregnant women who can't take headache meds; still need a few more thanks",1
765900923042406405,I wonder if these means more pregnant women are turning to Tylenol and other acetaminophen meds for headaches http://www.inquisitr.com/3422985/acetaminophen-and-adhd-new-study-suggests-taking-the-drug-during-pregnancy-can-increase-adhd-in-kids-video/,1
761447515883442176,I probably have my meds still. I took them for a lil before I got pregnant and I'm headache free. U know how often I got em,1
761028636480708608,"This headache won't quit , and I don't like to take meds when I'm pregnant ...",1
710286729203335170,FYI: Vick's and a cool magic bag are major headache savers while pregnant and unable to take prescription meds,1
707802649501024258,Headache while pregnant with no meds,1
695840321993728000,sinus headache while pregnant is literally the worst... no meds ,1
765900923042406405,I wonder if these means more pregnant women are turning to Tylenol and other acetaminophen meds for headaches http://www.inquisitr.com/3422985/acetaminophen-and-adhd-new-study-suggests-taking-the-drug-during-pregnancy-can-increase-adhd-in-kids-video/,1
761447515883442176,I probably have my meds still. I took them for a lil before I got pregnant and I'm headache free. U know how often I got em,1
761028636480708608,"This headache won't quit , and I don't like to take meds when I'm pregnant ...",1
710286729203335170,FYI: Vick's and a cool magic bag are major headache savers while pregnant and unable to take prescription meds,1
707802649501024258,Headache while pregnant with no meds,1
695840321993728000,sinus headache while pregnant is literally the worst... no meds ,1
3617611117,"My cough has turned into watery eyes, sneezing, congestion, headache AND cough. Good news is, I know I'm not pregnant, so I can take meds.",1
2550478954,askjillian I got headaches with my pregnancy to. The doc prescribed some meds where on the bottle said do not take if pregnant. Go figure!,1
1970735561,a nine year old slumber party tonight....looking into what headache meds i can take while pregnant......,1
1622039799,Poor thing! I know what it is like to be pregnant and can't take any meds for allerges and headaches. feel better RTnicolerichie,1
3617611117,"My cough has turned into watery eyes, sneezing, congestion, headache AND cough. Good news is, I know I'm not pregnant, so I can take meds.",1
2550478954,askjillian I got headaches with my pregnancy to. The doc prescribed some meds where on the bottle said do not take if pregnant. Go figure!,1
1970735561,a nine year old slumber party tonight....looking into what headache meds i can take while pregnant......,1
1622039799,Poor thing! I know what it is like to be pregnant and can't take any meds for allerges and headaches. feel better RTnicolerichie,1
6785895873118208,Rhian0000 *snort* Srsly. Ever since I was pregnant with G my migraines and headaches are much worse. My meds aren't workin ange_de_laube,1
2439040796196864,bigredthebeast not unless im pregnant in my sinus'. i cant breath and the headache that accompanies this problem is outrageous i need meds!,1
29624087627,RobynsWorld No. It's high. Not as high this week as last week. OB doubled my bp meds. Said to call if headache didn't go away. pregnant,1
15352893572,"tylenol is the only headache/ pain meds pregnant women can take, right?",1
6785895873118208,Rhian0000 *snort* Srsly. Ever since I was pregnant with G my migraines and headaches are much worse. My meds aren't workin ange_de_laube,1
2439040796196864,bigredthebeast not unless im pregnant in my sinus'. i cant breath and the headache that accompanies this problem is outrageous i need meds!,1
29624087627,RobynsWorld No. It's high. Not as high this week as last week. OB doubled my bp meds. Said to call if headache didn't go away. pregnant,1
15352893572,"tylenol is the only headache/ pain meds pregnant women can take, right?",1
591382655834304512,"Dear mother nature: I am pregnant, and can't take my usual headache pills, or level of pain meds I need. Please ease off on the rain now",1
582558888404340736,I got the worst got dang headache & I despise taking any kind of meds while I'm pregnant,1
574558967000600577,"I ask for headache meds. Flight attendant asks if I'm pregnant. I say ""no,"" random male passenger asks ""are you sure?"" Happy Women's Day.",1
552419194030284800,"Up cause of this stupid headache, and can't take no meds cause I'm pregnant WTF!!! Lol thestruggle",1
533251930974203904,"Being sick and pregnant isn't a good thing at all. I need meds asap before I go crazy. Stuffy nose, headache, eyes hurting and sore throat",1
508726504847843328,"jillmdillard JessaSeewald since Jill is pregnant & Jessa is next, if you get a headache a banana peel will take it away! Better than meds!",1
507599523070226434,"when you pregnant you have a thousand issues my back hurt , my sugar low , I can't take my meds for my headaches like omg ",1
591382655834304512,"Dear mother nature: I am pregnant, and can't take my usual headache pills, or level of pain meds I need. Please ease off on the rain now",1
582558888404340736,I got the worst got dang headache & I despise taking any kind of meds while I'm pregnant,1
574558967000600577,"I ask for headache meds. Flight attendant asks if I'm pregnant. I say ""no,"" random male passenger asks ""are you sure?"" Happy Women's Day.",1
552419194030284800,"Up cause of this stupid headache, and can't take no meds cause I'm pregnant WTF!!! Lol thestruggle",1
533251930974203904,"Being sick and pregnant isn't a good thing at all. I need meds asap before I go crazy. Stuffy nose, headache, eyes hurting and sore throat",1
508726504847843328,"jillmdillard JessaSeewald since Jill is pregnant & Jessa is next, if you get a headache a banana peel will take it away! Better than meds!",1
507599523070226434,"when you pregnant you have a thousand issues my back hurt , my sugar low , I can't take my meds for my headaches like omg ",1
619958902931783680,MrsRWood Ali said she had headaches rang & nurse said take 2 paracetamol and rest you can only take meds that are safe when yr pregnant,1
619958902931783680,MrsRWood Ali said she had headaches rang & nurse said take 2 paracetamol and rest you can only take meds that are safe when yr pregnant,1
217031245975134211,"ughhh, why cant pregnant people take sinus meds... i have a sinus headache =/ fml",1
212382390025334785,"my ear hurts , body sore , sneezing ,vomiting , exclusive bad headaches & being pregnant makes it no bettr cause you can't take alot of meds",1
212025658681987072,One more thing I hate about being pregnant; absolutely NO MEDS ! This headache is loving that ish =/ KillMeNow,1
192728566797049856,Plus I have a headache that's kicking my ass but no meds for the pregnant girl,1
191183159335976960,"Started new BP meds. Let's see.. fat, headaches, have to pee all the time. It's like being pregnant with no payoff and no end in sight.",1
190629512055242754,my headache is gone... Thanks to prayer cause I refuse to take any meds while im pregnant,1
178670818505666561,Is there any kind of meds you can take for a headache when pregnant??????,1
175062680992890881,TiaraSoBoojie omg my headaches wen i was pregnant were migrains i hated it no meds for it :( imma pray for it to go away,1
171825928400412672,"I can't take meds in pregnant ""ChucksNRayBans: *grabs medicine* RT LabelMePrettie: Serious headache",1
169046497369919488,Killer headache feeling like crap getting sick while being pregnant is not a good combo no meds aloud ugh fml.. ,1
152987038629638146,"Feel like my head pregnant, I need headache meds asap, but yall don't care.",1
152245896699056129,McRiddlahPants my sinuses were horrible while I was pregnant. Migraine headaches from it. Sucks not being able to take most meds.,1
217031245975134211,"ughhh, why cant pregnant people take sinus meds... i have a sinus headache =/ fml",1
212382390025334785,"my ear hurts , body sore , sneezing ,vomiting , exclusive bad headaches & being pregnant makes it no bettr cause you can't take alot of meds",1
212025658681987072,One more thing I hate about being pregnant; absolutely NO MEDS ! This headache is loving that ish =/ KillMeNow,1
192728566797049856,Plus I have a headache that's kicking my ass but no meds for the pregnant girl,1
191183159335976960,"Started new BP meds. Let's see.. fat, headaches, have to pee all the time. It's like being pregnant with no payoff and no end in sight.",1
