tweet_id,tweet,class
560346290274328577,Hydrocodone And Pregnant http://bit.ly/1yvcZXV,1
551124879013974016,I wiped the fuck out on my icy back porch steps. Chiropractor on Monday. Glad my wife has a script for hydrocodone she can't take. Pregnant,1
560346290274328577,Hydrocodone And Pregnant http://bit.ly/1yvcZXV,1
551124879013974016,I wiped the fuck out on my icy back porch steps. Chiropractor on Monday. Glad my wife has a script for hydrocodone she can't take. Pregnant,1
401929721853657088,"Kendo3914 because I'm pregnant, jkjk I'm taking hydrocodone for my arm and it's making me ill ",1
370533539315740672,New post: Using hydrocodone while pregnant http://geo-rx.us/archives/1336/using-hydrocodone-while-pregnant/,1
361497454744567808,thankfully you can get hydrocodone prescribed while you're pregnant. and I got to hear my sweet baby's heartbeat :),1
357242671766577154,"Watching ""my teen is pregnant and so am i"", high off hydrocodone, and eating puddin",1
344220635335106560,A pregnant lady came in who has had oxycodone and two regiments of hydrocodone and was picking up more meds. I could barely hold my tongue,1
401929721853657088,"Kendo3914 because I'm pregnant, jkjk I'm taking hydrocodone for my arm and it's making me ill ",1
370533539315740672,New post: Using hydrocodone while pregnant http://geo-rx.us/archives/1336/using-hydrocodone-while-pregnant/,1
361497454744567808,thankfully you can get hydrocodone prescribed while you're pregnant. and I got to hear my sweet baby's heartbeat :),1
357242671766577154,"Watching ""my teen is pregnant and so am i"", high off hydrocodone, and eating puddin",1
344220635335106560,A pregnant lady came in who has had oxycodone and two regiments of hydrocodone and was picking up more meds. I could barely hold my tongue,1
733067874785431552,Pregnant woman had 29 entrance and exit gunshot wounds and had cocaine and hydrocodone in her blood system http://s.al.com/IOTErIE,1
727945020070891520,"hydrocodone-acetaminophen is an opiate yet safe 4 pregnant women to take? Prince was NOT a drug addict, he was ill. https://twitter.com/foxnewsradio/status/727939689722826752",1
692378018937966592,"Kevin Grady, 58,driver who severely injured man, pregnant woman, kid, while on hydrocodone/Xanax, gets 6 months in jail, 5 years probation.",1
733067874785431552,Pregnant woman had 29 entrance and exit gunshot wounds and had cocaine and hydrocodone in her blood system http://s.al.com/IOTErIE,1
727945020070891520,"hydrocodone-acetaminophen is an opiate yet safe 4 pregnant women to take? Prince was NOT a drug addict, he was ill. https://twitter.com/foxnewsradio/status/727939689722826752",1
692378018937966592,"Kevin Grady, 58,driver who severely injured man, pregnant woman, kid, while on hydrocodone/Xanax, gets 6 months in jail, 5 years probation.",1
11867715019,Taking Hydrocodone While Pregnant http://medikatekka.ru/taking-hydrocodone-while-pregnant,1
10203867954,Okay Im 36 weeks pregnant and I was curious if I could take  hydrocodone just for tonight for pain and to help me ...  http://bit.ly/aVsrSf,1
11867715019,Taking Hydrocodone While Pregnant http://medikatekka.ru/taking-hydrocodone-while-pregnant,1
10203867954,Okay Im 36 weeks pregnant and I was curious if I could take  hydrocodone just for tonight for pain and to help me ...  http://bit.ly/aVsrSf,1
15676727552,Tapering off of hydrocodone: What is a safe way to taper off of Lorcet 10/650's while pregnant.  I don't want to c... http://bit.ly/9K2lZ7,1
15676727552,Tapering off of hydrocodone: What is a safe way to taper off of Lorcet 10/650's while pregnant.  I don't want to c... http://bit.ly/9K2lZ7,1
667212378250059776,"tromano EndoWhatFilm Actually, I was on hydrocodone for most of 2012. Then, I had surgery and got pregnant five months later.",1
651764862096310272,82% of pregnant women receive one  or more prescribed drug. 42% class D or X med. Codeine and hydrocodone most common D rxThink twicejwatch,1
594199844660609024,"112,000 pregnant women in TN, almost 28% used at least one Rx opioid, such as hydrocodone or oxycodone. http://ow.ly/3xOwh6",1
667212378250059776,"tromano EndoWhatFilm Actually, I was on hydrocodone for most of 2012. Then, I had surgery and got pregnant five months later.",1
651764862096310272,82% of pregnant women receive one  or more prescribed drug. 42% class D or X med. Codeine and hydrocodone most common D rxThink twicejwatch,1
594199844660609024,"112,000 pregnant women in TN, almost 28% used at least one Rx opioid, such as hydrocodone or oxycodone. http://ow.ly/3xOwh6",1
129251004326748161,painydays I've already got liver damage from liver failure while pregnant. It's a matter of has it gotten worse w/ 7 1/2 hydrocodone/4hrs,1
124246505224798209,Is Hydrocodone and antibiotics such as amox safe to take while pregnant? http://p.ost.im/p/e6EJwj,1
123219000154013696,About to pop a hydrocodone & go night night. The guys left Yada pregnant self alone & I don't want it to rub off on me. Lmao. Yeah right,1
