tweet_id,tweet,class
124725061168013313,Was/is your pregnancy smooth and easy or rough and difficult? When we first fall pregnant we have expectations of... http://fb.me/185h2xljG,1
124725061168013313,Was/is your pregnancy smooth and easy or rough and difficult? When we first fall pregnant we have expectations of... http://fb.me/185h2xljG,1
897045075288616961,The comments all pregnant women are tired of hearing! PregnancyProblems http://bit.ly/2tYpYbEpic.twitter.com/9hvN5rw9Xm,1
897045075288616961,The comments all pregnant women are tired of hearing! PregnancyProblems http://bit.ly/2tYpYbEpic.twitter.com/9hvN5rw9Xm,1
861868455175360513,Pregnant and stressed about staying cool in Summer? Here are some survival tips ;-)  http://bit.ly/2nSB7H9pic.twitter.com/RPvydRQDdS,1
819490412125704192,So this is the ThirdTrimester week by week! Thanks pregbirthbaby! Pregnant http://bit.ly/2gc5I2Zpic.twitter.com/OsxOP1Lz8G,1
816968329143451648,MumsToBe! We can now confirm your new LO is going to arrive in 2017! Pregnant Overdue HappyNewYearpic.twitter.com/Z4i0LOO5KW,1
778238668649684992,Helpful! What not to say to a pregnant lady! ;-) http://bit.ly/1JfQRXupic.twitter.com/JhokmyJ71c,1
861868455175360513,Pregnant and stressed about staying cool in Summer? Here are some survival tips ;-)  http://bit.ly/2nSB7H9pic.twitter.com/RPvydRQDdS,1
819490412125704192,So this is the ThirdTrimester week by week! Thanks pregbirthbaby! Pregnant http://bit.ly/2gc5I2Zpic.twitter.com/OsxOP1Lz8G,1
816968329143451648,MumsToBe! We can now confirm your new LO is going to arrive in 2017! Pregnant Overdue HappyNewYearpic.twitter.com/Z4i0LOO5KW,1
778238668649684992,Helpful! What not to say to a pregnant lady! ;-) http://bit.ly/1JfQRXupic.twitter.com/JhokmyJ71c,1
453479178466115584,Infacol & the Colic Clinic http://carsonsmummy.blogspot.com/2014/04/infacol-colic-clinic.html?spref=tw pregnant pbloggers baby,1
453479178466115584,Infacol & the Colic Clinic http://carsonsmummy.blogspot.com/2014/04/infacol-colic-clinic.html?spref=tw pregnant pbloggers baby,1
1136197242883366912,"Back pain while pregnant is fairly common, and usually nothing to worry about. Here are the facts. https://www.infacol.co.uk/blog/back-pain-in-early-pregnancy-what-you-need-to-know/",1
1132270180707524608,"Did you know that newborns are likely to remember what they tasted in the womb? For example, if a pregnant mother eats a lot of garlic in her food, theres a good chance that her baby will be drawn to garlicky foods as they grow older! pic.twitter.com/qGOA6jcPOl",1
1136197242883366912,"Back pain while pregnant is fairly common, and usually nothing to worry about. Here are the facts. https://www.infacol.co.uk/blog/back-pain-in-early-pregnancy-what-you-need-to-know/",1
1132270180707524608,"Did you know that newborns are likely to remember what they tasted in the womb? For example, if a pregnant mother eats a lot of garlic in her food, theres a good chance that her baby will be drawn to garlicky foods as they grow older! pic.twitter.com/qGOA6jcPOl",1
1232734898403893252,"Restless nights are all too familiar for many pregnant women and can start from very early on. As your body changes, it can often cause issues when it comes to getting a good nights sleep during pregnancy. https://www.infacol.co.uk/blog/tips-for-getting-a-good-nights-sleep-during-pregnancy/",1
1162356608514572294,Being pregnant for the first time is wildly exciting and pretty scary all at the same time. Well-meaning friends and family are quick to offer their advice and wisdom on everything. What are some of the funniest myths you've heard? https://www.infacol.co.uk/blog/funny-myths-about-pregnancy/,1
1159381743645933568,"Depending on your level of fitness and your exercise regime before you became pregnant, exercise during pregnancy can help you stay in shape, lift your mood and prepare your body for labour. https://www.infacol.co.uk/blog/fitness-and-exercise-during-pregnancy/",1
1232734898403893252,"Restless nights are all too familiar for many pregnant women and can start from very early on. As your body changes, it can often cause issues when it comes to getting a good nights sleep during pregnancy. https://www.infacol.co.uk/blog/tips-for-getting-a-good-nights-sleep-during-pregnancy/",1
1162356608514572294,Being pregnant for the first time is wildly exciting and pretty scary all at the same time. Well-meaning friends and family are quick to offer their advice and wisdom on everything. What are some of the funniest myths you've heard? https://www.infacol.co.uk/blog/funny-myths-about-pregnancy/,1
1159381743645933568,"Depending on your level of fitness and your exercise regime before you became pregnant, exercise during pregnancy can help you stay in shape, lift your mood and prepare your body for labour. https://www.infacol.co.uk/blog/fitness-and-exercise-during-pregnancy/",1
