tweet_id,tweet,class
3897766914,drdrew do you have any info on the effects of intravenous iron on a fetus? My wife is pregnant and severely anemic. Please pass on any info,1
1421238825,Shady shit to report from the Midwest ... Saw a pregnant lady smoking a cigarette outside of a hospital. Still hooked up to her intravenous.,1
3897766914,drdrew do you have any info on the effects of intravenous iron on a fetus? My wife is pregnant and severely anemic. Please pass on any info,1
1421238825,Shady shit to report from the Midwest ... Saw a pregnant lady smoking a cigarette outside of a hospital. Still hooked up to her intravenous.,1
576577406649131008,Pulmonary edema has been reported in pregnant patients receiving intravenous albuterol. http://bit.ly/1EauBON,1
547167694286368768,The use of intravenous magnesium in non-preeclamptic pregnant women: Fetal/neonatal neuroprotection MDLinx http://www.mdlinx.com/obstetrics-gynecology/news-article.cfm/5803630/preterm-birth-cerebral-palsy-magnesium-neuroprotection/news-article.cfm/5803630,1
543183690663075840,The use of intravenous magnesium in non-preeclamptic pregnant women: fetal/neonatal neuroprotection,1
543174701451722752,The use of intravenous magnesium in non-preeclamptic pregnant women: fetal/neonatal neuroprotection: Conclusio... http://bit.ly/1zDbnA2,1
543153388397948928,The use of intravenous magnesium in non-preeclamptic pregnant women: fetal/neonatal neuroprotection (Med Worm)... http://bit.ly/1zCH8t8,1
509379206254723073,Pregnant women who acquire the AIDS virus through intravenous drug use pass the virus to their infant.,1
576577406649131008,Pulmonary edema has been reported in pregnant patients receiving intravenous albuterol. http://bit.ly/1EauBON,1
547167694286368768,The use of intravenous magnesium in non-preeclamptic pregnant women: Fetal/neonatal neuroprotection MDLinx http://www.mdlinx.com/obstetrics-gynecology/news-article.cfm/5803630/preterm-birth-cerebral-palsy-magnesium-neuroprotection/news-article.cfm/5803630,1
543183690663075840,The use of intravenous magnesium in non-preeclamptic pregnant women: fetal/neonatal neuroprotection,1
543174701451722752,The use of intravenous magnesium in non-preeclamptic pregnant women: fetal/neonatal neuroprotection: Conclusio... http://bit.ly/1zDbnA2,1
543153388397948928,The use of intravenous magnesium in non-preeclamptic pregnant women: fetal/neonatal neuroprotection (Med Worm)... http://bit.ly/1zCH8t8,1
509379206254723073,Pregnant women who acquire the AIDS virus through intravenous drug use pass the virus to their infant.,1
493648170358812672,Jammu doctor confuses one patient with the other. Gives abortion pills to 8-month pregnant woman who came to get intravenous glucose,1
491230118203760640,"Pregnant? Nutrient deficient? Try intravenous nutrient therapy. Safe, effective and all natural. If you have... http://fb.me/2MXCnejsA",1
446625009562570752,Immunology: Intravenous Immunoglobulin G Modulates Peripheral Blood Th17 and Foxp3+ Regulatory T Cells in Pregnant... http://ow.ly/2ESD97,1
437653282496864256,"You should also give alcohol to infants and do intravenous drugs while pregnant, it's super healthy",1
410578775793876992,maldamkar pregnant with intravenous drip standing outside maternity. Not even joking.,1
493648170358812672,Jammu doctor confuses one patient with the other. Gives abortion pills to 8-month pregnant woman who came to get intravenous glucose,1
491230118203760640,"Pregnant? Nutrient deficient? Try intravenous nutrient therapy. Safe, effective and all natural. If you have... http://fb.me/2MXCnejsA",1
446625009562570752,Immunology: Intravenous Immunoglobulin G Modulates Peripheral Blood Th17 and Foxp3+ Regulatory T Cells in Pregnant... http://ow.ly/2ESD97,1
437653282496864256,"You should also give alcohol to infants and do intravenous drugs while pregnant, it's super healthy",1
410578775793876992,maldamkar pregnant with intravenous drip standing outside maternity. Not even joking.,1
27286672166,"Pregnant women with dehydration should receive intravenous fluid replacement with multivitamins, especially thiamine",1
27286672166,"Pregnant women with dehydration should receive intravenous fluid replacement with multivitamins, especially thiamine",1
181330124669599744,Treatment troubles: Federal guidelines require pregnant women and intravenous drug users to get priority in gove... http://bit.ly/FPLXVe,1
131485067053760512,"Niall, I'm pregnant. - reaction:HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAHAAHAHAHAH epic http://tumblr.com/ZaqC2yBNoWsI",1
131484462847504384,"Niall, I'm pregnant. - reaction:  epicHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAHAAHAHAHAH epic http://tumblr.com/ZaqC2yBNo79N",1
181330124669599744,Treatment troubles: Federal guidelines require pregnant women and intravenous drug users to get priority in gove... http://bit.ly/FPLXVe,1
131485067053760512,"Niall, I'm pregnant. - reaction:HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAHAAHAHAHAH epic http://tumblr.com/ZaqC2yBNoWsI",1
131484462847504384,"Niall, I'm pregnant. - reaction:  epicHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAHAAHAHAHAH epic http://tumblr.com/ZaqC2yBNo79N",1
942897981967208449,"Things I ideally need to sleep at 38 weeks pregnant: 

1. One of those adjustable beds where you can sit upright
2. A personal masseuse to sort out my restless legs
3. Intravenous gaviscon",1
942028221377155074,"Pregnant women who go to the doctor are treated like this, and peddled intravenous fluid bags, fetal monitors, ultrasound (radiation for a vulnerable baby), a host of drugs, the totally unnecessary episiotomy, and  to top it all off  the Caesarean delivery!",1
936573811939520512,"^5 Best prevention...do not have sexual relations with ANYONE that hasn't been tested for HIV...NO to multiple sexual partners, NO to intravenous drug use..period!!! DO NOT BECOME PREGNANT UNLESS YOU ARE IN MONOGAMOUS RELATIONSHIP..I.E STRONG MARRIAGE",1
877578557643309057,Bee Courtois of CHCSBC says women who are pregnant and using intravenous drugs are bumped to top of list for treatment.,1
942897981967208449,"Things I ideally need to sleep at 38 weeks pregnant: 

1. One of those adjustable beds where you can sit upright
2. A personal masseuse to sort out my restless legs
3. Intravenous gaviscon",1
942028221377155074,"Pregnant women who go to the doctor are treated like this, and peddled intravenous fluid bags, fetal monitors, ultrasound (radiation for a vulnerable baby), a host of drugs, the totally unnecessary episiotomy, and  to top it all off  the Caesarean delivery!",1
936573811939520512,"^5 Best prevention...do not have sexual relations with ANYONE that hasn't been tested for HIV...NO to multiple sexual partners, NO to intravenous drug use..period!!! DO NOT BECOME PREGNANT UNLESS YOU ARE IN MONOGAMOUS RELATIONSHIP..I.E STRONG MARRIAGE",1
877578557643309057,Bee Courtois of CHCSBC says women who are pregnant and using intravenous drugs are bumped to top of list for treatment.,1
674355427866447872,4th call pregnant pt vomiting & dehydrated. Given Intravenous fluids and anti sickness. Taken to ED maternity,1
634152138977873920,Open-label study of the efficacy and safety of intravenous ferric carboxymaltose in pregnant women with restle... http://bit.ly/1J5maqH,1
628553415870820352,The use of intravenous magnesium in non-preeclamptic pregnant women: fetal/neonatal neuroprotection. http://www.ncbi.nlm.nih.gov/pubmed/?term=25501980,1
628509462999908356,New NNTThe use of intravenous magnesium in non-preeclamptic pregnant women: fetal/neonatal neuroprotection. http://1.usa.gov/1IDbJr1,1
626518471782887424,How could you possibly be an intravenous drug user whilst pregnant?! It's beyond sick,1
621726122074509312,Pregnant women may need to receive intravenous (IV) antibiotics to treat PID http://goo.gl/tAV7iX,1
598133944756744194,Avoid transient hypotension by preloading the pregnant patient with intravenous fluid before the insertion of an epidural,1
674355427866447872,4th call pregnant pt vomiting & dehydrated. Given Intravenous fluids and anti sickness. Taken to ED maternity,1
634152138977873920,Open-label study of the efficacy and safety of intravenous ferric carboxymaltose in pregnant women with restle... http://bit.ly/1J5maqH,1
628553415870820352,The use of intravenous magnesium in non-preeclamptic pregnant women: fetal/neonatal neuroprotection. http://www.ncbi.nlm.nih.gov/pubmed/?term=25501980,1
628509462999908356,New NNTThe use of intravenous magnesium in non-preeclamptic pregnant women: fetal/neonatal neuroprotection. http://1.usa.gov/1IDbJr1,1
626518471782887424,How could you possibly be an intravenous drug user whilst pregnant?! It's beyond sick,1
