tweet_id,tweet,class
547402000955367424,AndyKroll coz men don't get pregnant.   The same reason that a mammogram squeezes the sh! t out your breast. Men don't get mammograms. 1/2,1
518486538628259840,"mammograms save lives but, AMA moms, I prefer not when pregnant or breastfeeding.",1
514065568815919104,Deuce919 fatheromalley1 My mammograms were already covered and I can buy my own birth control & my hubby will never get pregnant,1
547402000955367424,AndyKroll coz men don't get pregnant.   The same reason that a mammogram squeezes the sh! t out your breast. Men don't get mammograms. 1/2,1
518486538628259840,"mammograms save lives but, AMA moms, I prefer not when pregnant or breastfeeding.",1
514065568815919104,Deuce919 fatheromalley1 My mammograms were already covered and I can buy my own birth control & my hubby will never get pregnant,1
29256407310,"Pregnant? avoid tests like X-rays and mammograms while pregnant, which can be dangerous http://tinyurl.com/2fccfs5",1
29115355250,"Free mammograms at Health Ctr today. Requirements: over 40, not have had mammogram in a year, not pregnant, not breastfeeding. I'm on my way",1
26778445890,"""I'm getting a mammogram on Monday"" ""You're pregnant?!"" ""Mammograms are for breasts"" I am ashamed to not know this",1
16970571319,"catvalente My sister was mostly a B until her late 30's, is now well into D. Never been pregnant, mammograms normal, no idea. *shrug*",1
29256407310,"Pregnant? avoid tests like X-rays and mammograms while pregnant, which can be dangerous http://tinyurl.com/2fccfs5",1
29115355250,"Free mammograms at Health Ctr today. Requirements: over 40, not have had mammogram in a year, not pregnant, not breastfeeding. I'm on my way",1
26778445890,"""I'm getting a mammogram on Monday"" ""You're pregnant?!"" ""Mammograms are for breasts"" I am ashamed to not know this",1
16970571319,"catvalente My sister was mostly a B until her late 30's, is now well into D. Never been pregnant, mammograms normal, no idea. *shrug*",1
6617089080,RT BeeRob504: Men should get mammograms too! random--- and paps and periods and pregnant and etc.... lol,1
5922893513,Did Gillibrand just to the bills support for mammograms and Pap Smears...but at last you can wait until pregnant to buy insurance. tcot,1
5898156322,"Mammograms, pap smears....what's next? Drinking while pregnant? http://su.pr/34BXSS",1
5889758058,"First it was mammograms, now it's cervical exams. What's next - telling women they shouldn't get pregnant after the age of 30?",1
5777382119,"OK. No folic acid when pregnant, skip the mammogram. Got it! // RT nytimes: In Reversal, U.S. Guidelines Urge Mammograms at 50, Not 40",1
6617089080,RT BeeRob504: Men should get mammograms too! random--- and paps and periods and pregnant and etc.... lol,1
5922893513,Did Gillibrand just to the bills support for mammograms and Pap Smears...but at last you can wait until pregnant to buy insurance. tcot,1
5898156322,"Mammograms, pap smears....what's next? Drinking while pregnant? http://su.pr/34BXSS",1
5889758058,"First it was mammograms, now it's cervical exams. What's next - telling women they shouldn't get pregnant after the age of 30?",1
5777382119,"OK. No folic acid when pregnant, skip the mammogram. Got it! // RT nytimes: In Reversal, U.S. Guidelines Urge Mammograms at 50, Not 40",1
455243680128200704,Breast Cancer: Mammograms do not work well for pregnant women and women who ar breastfeeding. Since it's  not usually done in pregnant women,1
440922024257392640,planned parenthoods aren't only for abortions...goodness gracious. Pregnant women go there to get check-ups...mammograms...etc. ignorance,1
439982922674630656,"""I know she's pregnant. I know. I seen the mammograms."" ",1
455243680128200704,Breast Cancer: Mammograms do not work well for pregnant women and women who ar breastfeeding. Since it's  not usually done in pregnant women,1
440922024257392640,planned parenthoods aren't only for abortions...goodness gracious. Pregnant women go there to get check-ups...mammograms...etc. ignorance,1
439982922674630656,"""I know she's pregnant. I know. I seen the mammograms."" ",1
217685276095553538,Planned Parenthood does not offer any mammograms to women http://bit.ly/oGHYjK prolife abortion pregnant StevenErtelt,1
213408268461150208,"Interesting point: Women get regular check ups (pap smear/ mammograms, etc.) & when they're pregnant, go to... http://fb.me/23vfpLWiq",1
199590170218078208,91% of Pregnant Women Planned Parenthood Sees Get Abortions http://shar.es/2jFXS plannedparenthood thought u said Mammograms were! tcot,1
182876100165242881,Smitty_F Yall get pregnant and have periods nshit? Yall have to get mammograms nshit? Yall have to worry bout havin a fat ass?,1
172020266841554944,"RT IAmJoelWest: If men got pregnant, needed mammograms and got pap smears then Planned Parenthood would be enshrined in the constitution.",1
166297137980776448,"Based on my health insurance, it would be cheaper for me to get pregnant and have a baby than to get mammograms and contraceptives. SMDH",1
165489179432722433,Why are so many teenage pregnant women getting mammograms? Komen,1
165158113572421633,".Pregnant women don't have mammograms, komenforthecure, so you accomplished nothing.  You saved no one",1
165155620738179072,".Pregnant women don't have mammograms, komenforthecure, so you accomplished nothing except made a ton of people hate you  You saved no one",1
137326985209856001,RT sarabeand: expand coverage of preventative screenings such as mammograms and support services for pregnant women.,1
137326721073557505,.OFA_NH expand coverage of preventative screenings such as mammograms and support services for pregnant women.,1
217685276095553538,Planned Parenthood does not offer any mammograms to women http://bit.ly/oGHYjK prolife abortion pregnant StevenErtelt,1
213408268461150208,"Interesting point: Women get regular check ups (pap smear/ mammograms, etc.) & when they're pregnant, go to... http://fb.me/23vfpLWiq",1
199590170218078208,91% of Pregnant Women Planned Parenthood Sees Get Abortions http://shar.es/2jFXS plannedparenthood thought u said Mammograms were! tcot,1
182876100165242881,Smitty_F Yall get pregnant and have periods nshit? Yall have to get mammograms nshit? Yall have to worry bout havin a fat ass?,1
172020266841554944,"RT IAmJoelWest: If men got pregnant, needed mammograms and got pap smears then Planned Parenthood would be enshrined in the constitution.",1
166297137980776448,"Based on my health insurance, it would be cheaper for me to get pregnant and have a baby than to get mammograms and contraceptives. SMDH",1
165489179432722433,Why are so many teenage pregnant women getting mammograms? Komen,1
165158113572421633,".Pregnant women don't have mammograms, komenforthecure, so you accomplished nothing.  You saved no one",1
165155620738179072,".Pregnant women don't have mammograms, komenforthecure, so you accomplished nothing except made a ton of people hate you  You saved no one",1
137326985209856001,RT sarabeand: expand coverage of preventative screenings such as mammograms and support services for pregnant women.,1
137326721073557505,.OFA_NH expand coverage of preventative screenings such as mammograms and support services for pregnant women.,1
401499091429249024,"Thank God .Now I can get free mammograms & birth control.Since I'm a male, if I ever get pregnant, I can now abort free. It's better now...",1
384013073352511488,"The system will give you mammograms checks, but won't give pregnant women a test to make sure their baby isn't in harms way??",1
368445733990436865,"JamieColbyFN 3% of planned parenthood ""services"" are abortion, but 91% of their pregnant clients get an abortion & they don't do mammograms",1
359888811808919552,I wish guys got periods...annual papsmears...mammograms...got pregnant...everything a woman goes through..f that lil prostate test yall do,1
354681860896468995,"WOMENS CLINICS do a *lot* more than abortion! cancer screenings, help pregnant women, Mammograms AND MORE  StandWithWomen help us live!",1
334092231478743042,"Lmao RT""PriMenoe: Lol ur pregnant my guy RT Tiiwe: Lol, doesn't Hatmed do mammograms? RT""KgotsoBops: I have a lump in my breast FML""""",1
334091947276902401,"Lol ur pregnant my guy RT Tiiwe: Lol, doesn't Hatmed do mammograms? RT""KgotsoBops: I have a lump in my breast FML""",1
329012456800264192,"UnwontedSilly I have a dentist appt next month, can I tell'em I might be pregnant?:)  btw, I've had two mammograms..",1
401499091429249024,"Thank God .Now I can get free mammograms & birth control.Since I'm a male, if I ever get pregnant, I can now abort free. It's better now...",1
384013073352511488,"The system will give you mammograms checks, but won't give pregnant women a test to make sure their baby isn't in harms way??",1
368445733990436865,"JamieColbyFN 3% of planned parenthood ""services"" are abortion, but 91% of their pregnant clients get an abortion & they don't do mammograms",1
359888811808919552,I wish guys got periods...annual papsmears...mammograms...got pregnant...everything a woman goes through..f that lil prostate test yall do,1
354681860896468995,"WOMENS CLINICS do a *lot* more than abortion! cancer screenings, help pregnant women, Mammograms AND MORE  StandWithWomen help us live!",1
334092231478743042,"Lmao RT""PriMenoe: Lol ur pregnant my guy RT Tiiwe: Lol, doesn't Hatmed do mammograms? RT""KgotsoBops: I have a lump in my breast FML""""",1
334091947276902401,"Lol ur pregnant my guy RT Tiiwe: Lol, doesn't Hatmed do mammograms? RT""KgotsoBops: I have a lump in my breast FML""",1
329012456800264192,"UnwontedSilly I have a dentist appt next month, can I tell'em I might be pregnant?:)  btw, I've had two mammograms..",1
774348897330135043,"Jamestoupin H_Lev TWICE as many pregnant women have DIED for lack of care PP offers.Deaths will grow w/No Pap, mammograms, etc",1
768099676130279424,ThePinkDrive Hi guys. Quick question. Can pregnant or breastfeeding moms have mammograms or breast exams done? Very interested to know.,1
746964997784244225,"No Need for Pregnant Women to Forego Mammograms, Researchers Say (Lewisville Flower Mound) http://dlvr.it/LfZHdW",1
714683130100187136,Free mammograms are only for Malaysians age 35 to 69. Cannot be done for pregnant ladies and previous mammogram  done within 1 year.,1
707808064418783232,Rob thought women get mammograms to see their baby when they're pregnant.,1
774348897330135043,"Jamestoupin H_Lev TWICE as many pregnant women have DIED for lack of care PP offers.Deaths will grow w/No Pap, mammograms, etc",1
768099676130279424,ThePinkDrive Hi guys. Quick question. Can pregnant or breastfeeding moms have mammograms or breast exams done? Very interested to know.,1
746964997784244225,"No Need for Pregnant Women to Forego Mammograms, Researchers Say (Lewisville Flower Mound) http://dlvr.it/LfZHdW",1
714683130100187136,Free mammograms are only for Malaysians age 35 to 69. Cannot be done for pregnant ladies and previous mammogram  done within 1 year.,1
707808064418783232,Rob thought women get mammograms to see their baby when they're pregnant.,1
682151688422191104,Ultrasound screenings sometimes can replace mammograms for women who are pregnant or who have disabilities.,1
664591152130236417,"Bioethics Bulletin: This Week - CRISPR Thicket, Science Sexism, Mammograms, Money, Transplants, Pregnant Brain, ++ http://eepurl.com/bFuBFr",1
661292722834284544,"Cancer treatment, OncotypeDX, Breast cancer, Radiation for Pregnant Women, Mammograms, DARPA,... http://fb.me/7vZYVqz8n",1
657945341048696833,"Can pregnant women drink alcohol?: No alcohol is safe for baby, some experts say, and new guidelines are set for mammograms",1
657011863042039808,No wine while pregnant. Later & fewer mammograms. Bad week for women. I'm guessing the recommenders are primarily male. savethetatas,1
655516332717268992,hockeyschtick1 Coffee & eggs are fine. You don't need so many Pap smears or mammograms. Pregnant women can enjoy the occasional (1/2),1
651732963554537472,"Dear Whoopi - PlannedParenthood doesn't do mammograms + when you are pregnant you have brought a ""child into the world"" prolife abortion",1
