tweet_id,tweet,class
455258432,"Five ways to avoid medication mistakes : When Dr. Albert Wu's wife, Diana Sugg, was pregnant with their .. http://tinyurl.com/27squ8",1
455258432,"Five ways to avoid medication mistakes : When Dr. Albert Wu's wife, Diana Sugg, was pregnant with their .. http://tinyurl.com/27squ8",1
1065828215,"My new acne medication requires me to not be pregnant, register in a national database, and go for an appointment every 30 days. Sweet.",1
1052638335,JackieMacD I'll go with medication.  I was only able to meditate while pregnant!,1
1033975888,"What medication helps a pregnant girl with a bad cold?  My nose is stuffy/runny, my throats bothered & my head throbs.  HELP!",1
1030821985,"If you are taking an antidepressant and find that you are pregnant, do not stop taking your medication without first talking to your doctor.",1
1021096304,"gambuzino I'm overweight yeah, but not pregnant :P just a mix of medication and lack of added to early rise and lack of the sacred 8 hours",1
1003595341,"MEDICATION AND PREGNANCY: MY WIFE IS 3 MONTHS PREGNANT AND HAS A HEAD COLD, WHAT CAN SHE TAKE TO REL.. http://tinyurl.com/65wv72",1
875209211,"Having a super grouchy, tired, pissed at the world sort of pregnant day.  They don't make medication for that do they????",1
862840585,"A twitter on behalf of maggienajera: Thanks goodness for my pregnant friend who had bladder medication, and medicated me.",1
859963732,"""Anti-malaria medication available free to children and pregnant women in the Republic of Congo."" (BBC) More ppl should follow this lead!",1
831554242,"Pregnant Laila Ali: I'm Having a ""Natural Birth"" With ""No Medication"" (Lindsay Powers/Us Weekly) http://tinyurl.com/5b2fpq",1
831538703,"US Mag: Pregnant Laila Ali: I'm Having a ""Natural Birth"" With ""No Medication"": She tells <b.. http://tinyurl.com/5gjl6h",1
831518413,"US Mag: Pregnant Laila Ali: I'm Having a ""Natural Birth"" With ""No Medication"": She tells <b.. http://tinyurl.com/5gjl6h",1
831476184,"US Mag: Pregnant Laila Ali: Having a ""Natural Birth"" With ""No Medication"": She tells <b>.. http://tinyurl.com/5gjl6h",1
813686953,"'I am not pregnant - it is just my medication that makes me bloated', says Britney http://tinyurl.com/5jp27e",1
813610180,"'I am not pregnant - it is just my medication that makes me bloated', says Britney (Daily Mail) http://tinyurl.com/6dgsw9",1
1065828215,"My new acne medication requires me to not be pregnant, register in a national database, and go for an appointment every 30 days. Sweet.",1
1052638335,JackieMacD I'll go with medication.  I was only able to meditate while pregnant!,1
1033975888,"What medication helps a pregnant girl with a bad cold?  My nose is stuffy/runny, my throats bothered & my head throbs.  HELP!",1
1030821985,"If you are taking an antidepressant and find that you are pregnant, do not stop taking your medication without first talking to your doctor.",1
1021096304,"gambuzino I'm overweight yeah, but not pregnant :P just a mix of medication and lack of added to early rise and lack of the sacred 8 hours",1
1003595341,"MEDICATION AND PREGNANCY: MY WIFE IS 3 MONTHS PREGNANT AND HAS A HEAD COLD, WHAT CAN SHE TAKE TO REL.. http://tinyurl.com/65wv72",1
875209211,"Having a super grouchy, tired, pissed at the world sort of pregnant day.  They don't make medication for that do they????",1
862840585,"A twitter on behalf of maggienajera: Thanks goodness for my pregnant friend who had bladder medication, and medicated me.",1
859963732,"""Anti-malaria medication available free to children and pregnant women in the Republic of Congo."" (BBC) More ppl should follow this lead!",1
831554242,"Pregnant Laila Ali: I'm Having a ""Natural Birth"" With ""No Medication"" (Lindsay Powers/Us Weekly) http://tinyurl.com/5b2fpq",1
831538703,"US Mag: Pregnant Laila Ali: I'm Having a ""Natural Birth"" With ""No Medication"": She tells <b.. http://tinyurl.com/5gjl6h",1
831518413,"US Mag: Pregnant Laila Ali: I'm Having a ""Natural Birth"" With ""No Medication"": She tells <b.. http://tinyurl.com/5gjl6h",1
831476184,"US Mag: Pregnant Laila Ali: Having a ""Natural Birth"" With ""No Medication"": She tells <b>.. http://tinyurl.com/5gjl6h",1
813686953,"'I am not pregnant - it is just my medication that makes me bloated', says Britney http://tinyurl.com/5jp27e",1
813610180,"'I am not pregnant - it is just my medication that makes me bloated', says Britney (Daily Mail) http://tinyurl.com/6dgsw9",1
15162554080,Pregnant and taking medication? http://bit.ly/aJ9Lk4,1
15127806379,"What is the best skin care medication for acne while pregnant ...: Also, I heard on the radio yesterday also that ... http://bit.ly/cYuLzP",1
15075506369,Pregnant and taking medication? http://bit.ly/a4c77V,1
15003530798,Pregnant and taking medication? http://bit.ly/aSnLee,1
14979653760,Acne Medication - Be Careful When Pregnant - http://bit.ly/bl35pe,1
14961591539,I'm pregnant & feeling  quite blue. What can I do besides take medication to help me out of my funk? http://bit.ly/dqCBok,1
14957261947,RT 6MILEMARLO: Fellas if you offer a girl a drink in the club and she turns it down she pregnant or she on medication cause she burning,1
14957172485,Fellas if you offer a girl a drink in the club and she turns it down she pregnant or she on medication cause she burning,1
14937649758,RT OTISPregnancy: Pregnant? Breastfeeding?Worried about medication?u have questions.We have answers: (866) 626-6847. http://bit.ly/bK4rns,1
14936137126,Pregnant? Breastfeeding? Worried about medication? Hair dye? You have questions. We have answers: (866) 626-6847.... http://bit.ly/bK4rns,1
14936137024,Pregnant? Breastfeeding? Worried about medication? Hair dye? You have questions. We have answers: (866) 626-6847. otispregnancy.org,1
14936136546,Pregnant? Breastfeeding? Worried about medication? Hair dye? You have questions. We have answers: (800) 532-3749. ctispregnancy.org,1
14830635344,Pregnant and taking medication? http://bit.ly/bDyWrS,1
14776990477,has anyone been less than 12 weeks pregnant and used the medication metronidazole? If so can you tell me your expe...  http://bit.ly/aVsrSf,1
14735703746,Medication weaning: don't take this osteoporosis medication if you are pregnant. Aren't osteoporosis and pregnancy mutually exclusive?,1
14699640897,Pregnant and taking medication? http://bit.ly/cD19bn,1
14679443476,"New Question: why am I not pregnant, for over two yrs now i'v taken medication prescribed by my dr.: Thks, l'v bee... http://bit.ly/cvtYBJ",1
14673029347,New blog post: What is the best skin care medication for acne while pregnant? http://skin-care.springbeauty.info/?p=75,1
14667937034,Is there a natural anxiety medication for pregnant women that will not harm the fetus? http://2.ly/be2z,1
14666388514,Exercise and Pregnancy | Hot News And Top Tips For Your Life: Prescribing a medication for pregnant women is a com... http://bit.ly/aKQOzF,1
15162554080,Pregnant and taking medication? http://bit.ly/aJ9Lk4,1
15127806379,"What is the best skin care medication for acne while pregnant ...: Also, I heard on the radio yesterday also that ... http://bit.ly/cYuLzP",1
15075506369,Pregnant and taking medication? http://bit.ly/a4c77V,1
15003530798,Pregnant and taking medication? http://bit.ly/aSnLee,1
14979653760,Acne Medication - Be Careful When Pregnant - http://bit.ly/bl35pe,1
14961591539,I'm pregnant & feeling  quite blue. What can I do besides take medication to help me out of my funk? http://bit.ly/dqCBok,1
14957261947,RT 6MILEMARLO: Fellas if you offer a girl a drink in the club and she turns it down she pregnant or she on medication cause she burning,1
14957172485,Fellas if you offer a girl a drink in the club and she turns it down she pregnant or she on medication cause she burning,1
14937649758,RT OTISPregnancy: Pregnant? Breastfeeding?Worried about medication?u have questions.We have answers: (866) 626-6847. http://bit.ly/bK4rns,1
14936137126,Pregnant? Breastfeeding? Worried about medication? Hair dye? You have questions. We have answers: (866) 626-6847.... http://bit.ly/bK4rns,1
14936137024,Pregnant? Breastfeeding? Worried about medication? Hair dye? You have questions. We have answers: (866) 626-6847. otispregnancy.org,1
14936136546,Pregnant? Breastfeeding? Worried about medication? Hair dye? You have questions. We have answers: (800) 532-3749. ctispregnancy.org,1
14830635344,Pregnant and taking medication? http://bit.ly/bDyWrS,1
14776990477,has anyone been less than 12 weeks pregnant and used the medication metronidazole? If so can you tell me your expe...  http://bit.ly/aVsrSf,1
14735703746,Medication weaning: don't take this osteoporosis medication if you are pregnant. Aren't osteoporosis and pregnancy mutually exclusive?,1
14699640897,Pregnant and taking medication? http://bit.ly/cD19bn,1
14679443476,"New Question: why am I not pregnant, for over two yrs now i'v taken medication prescribed by my dr.: Thks, l'v bee... http://bit.ly/cvtYBJ",1
14673029347,New blog post: What is the best skin care medication for acne while pregnant? http://skin-care.springbeauty.info/?p=75,1
14667937034,Is there a natural anxiety medication for pregnant women that will not harm the fetus? http://2.ly/be2z,1
14666388514,Exercise and Pregnancy | Hot News And Top Tips For Your Life: Prescribing a medication for pregnant women is a com... http://bit.ly/aKQOzF,1
14647633131,A Proven Eastern Medication for Infertility: Getting pregnant can be a big problem for a lot of couples. Some of t... http://bit.ly/dinTKS,1
14638783703,Pregnant and taking medication? http://bit.ly/9ztTlA,1
14634281921,When I am Pregnant Will I Need To Exercise: Prescribing a medication for pregnant women is a complex process... http://tinyurl.com/34kv4vb,1
14579931961,"Performing Exercises and Pregnancy: Prescribing a medication for pregnant women is a complex process. 
Before obst... http://bit.ly/alGzdX",1
14571647299,"Performing Exercises and Pregnancy: Prescribing a medication for pregnant women is a complex process. 
Before obst... http://bit.ly/bhBMHE",1
14570554749,http://bit.ly/a2WCvK Acne Acne Help and Safe Acne Medication For Pregnant Women .,1
14565444205,News: What anti anxiety medication can you take while pregnant? http://bit.ly/bFomQc,1
14562682963,Performing Exercises and Pregnancy: Performing Exercises and Pregnancy. Prescribing a medication for pregnant http://url4.eu/3gCn0,1
14562625775,Performing Exercises and Pregnancy: Performing Exercises and Pregnancy. Prescribing a medication for pregnant http://url4.eu/3gCkc,1
14562040894,Performing Exercises and Pregnancy: Performing Exercises and Pregnancy. Prescribing a medication for pregnant http://url4.eu/3gCFL,1
14539567294,"posielove It started well before I got pregnant because of going off medication to get pregnant, then through my pregnancy because I was...",1
14445782694,"Pharmacy FYI: Premarin, an estrogen medication, is isolated from PREgnant MARe uRINe. See, horsies help cure your hot flashes.",1
14420466065,Has anyone been on this medication and if so how did you go? I am 6 weeks pregnant and the doctor has me on 5 MG f...  http://bit.ly/aVsrSf,1
14335433601,Kelly Preston pregnant with reincarnation of ancient alien spirit. Hopefully child doesn't require medication to live. http://huff.to/dABHoH,1
14246081495,"It cracks me up that some medication for women reads, Dont take if you may b/c pregnant. So only virgins and lesbians can take it?",1
