tweet_id,tweet,class
57156682,LynetteRadio: Now I feel guilty for whining about my one day ache! Are there allergy meds safe for a pregnant lady anywhere?,1
57156682,LynetteRadio: Now I feel guilty for whining about my one day ache! Are there allergy meds safe for a pregnant lady anywhere?,1
789706208,just took some cold/cough meds that are allegedly safe for pregnant women.,1
786037612,"dr. visit - $20, meds - $34, lab work by a 9 months pregnant lab tech who's water broke while taking my blood - priceless(ly disgusting).",1
780263190,"Never take someone else's meds even if she is pregnant. I know you would never, but I have to say it anyway.",1
777127817,"SavvyAuntie actually had my wisdom tooth pulled out while pregnant - without any meds. That was bad, but hey, didn't want to hurt the baby.",1
516499182,"3 days to Santa Fe, great city, kinda interesting (BORING) night life.  and my pregnant wife is puking... looking for anti-puke meds",1
442931202,Picked up some meds and juice for the sick little pregnant girl at home.,1
396010642,"If you are taking any meds, tell your doctor you are pregnant and ask her what to do.",1
271127182,Roar So crummy feeling sick when you're pregnant. Not many options for meds. Glad you're feeling better.,1
261889622,"bc I think that's the problem, I've been off the ADD meds since pregnant, you can tell by looking at my desk!",1
789706208,just took some cold/cough meds that are allegedly safe for pregnant women.,1
786037612,"dr. visit - $20, meds - $34, lab work by a 9 months pregnant lab tech who's water broke while taking my blood - priceless(ly disgusting).",1
780263190,"Never take someone else's meds even if she is pregnant. I know you would never, but I have to say it anyway.",1
777127817,"SavvyAuntie actually had my wisdom tooth pulled out while pregnant - without any meds. That was bad, but hey, didn't want to hurt the baby.",1
516499182,"3 days to Santa Fe, great city, kinda interesting (BORING) night life.  and my pregnant wife is puking... looking for anti-puke meds",1
442931202,Picked up some meds and juice for the sick little pregnant girl at home.,1
396010642,"If you are taking any meds, tell your doctor you are pregnant and ask her what to do.",1
271127182,Roar So crummy feeling sick when you're pregnant. Not many options for meds. Glad you're feeling better.,1
261889622,"bc I think that's the problem, I've been off the ADD meds since pregnant, you can tell by looking at my desk!",1
1081016213,Pregnant mamas - important to watch what u consume during pregnancy. Pls also research effects of epidurals & meds on  u & baby. Be informed,1
1076430164,"drvono I had restless arm syndrom once, the result of taking the wrong meds while pregnant...not fun!",1
1075204821,My very pregnant friend is cheeking the meds the nurses are giving her to stop labor. Cheeking anti-labor meds and hiding them in a box.,1
1064215178,Not pregnant *eye roll* duh.. no uti.. got meds for a yeast infection i also don't have.. and told if it gets worse to head to the er..,1
1053370648,markremarks I second the pregnant diagnosis. Unless you've got some meds you're reacting to?,1
1051830111,COLD MEDs=CRAZY DREAMs dreamed I was pregnant! Crying because I would be 50yr when it started kindergarten! Scared to go back to sleep!! ;),1
1050042767,sheilawalsh Pleurisy is SO painful! I had it while pregnant 24 yrs/ago. Our youngest (19now) had it last year. Pain meds will help... rest.,1
1044623452,panicking about taking anti-anxiety meds while pregnant.  OH THE IRONY.,1
1044393214,"My SIL says she is on Femara to try to get pregnant.  I looked it up, its breast cancer meds.  Confused.",1
1043058769,migraines = yuck. migranes when you're pregnant and can't take migrane meds = even worse.  Off to bed to try to sleep it off....,1
1020560585,2:36 AM and up with this cough. Reading articles on safe meds for pregnant moms: http://bit.ly/oOPq,1
1020192448,Updating a blog post on the effects of ADHD medications on pregnancy and the risks of birth defects.  Are ADHD meds safe for pregnant women?,1
1011621871,"To answer everyone at once, the no-med headache cures are for pregnant women who can't take headache meds; still need a few more thanks",1
1006742763,"Didi it at home. No RE, dildo cams or meds. Even after testosterone for 8 years! AND HE STILL GOT PREGNANT. I must be doing stuff wrong here",1
991880305,"WOW AMAZING...4+ years, thousands of $ on docs & fertility meds, operation on the ""boys""  and dozens of pregnancy test - My wife is pregnant",1
935089444,No one in my life has given me any shit about taking meds while pregnant with the exception of MY MOTHER.,1
922632994,"Doc put me on new meds today and said ""don't get pregnant, this would be really bad for the baby.""  Uh, thanks?",1
1081016213,Pregnant mamas - important to watch what u consume during pregnancy. Pls also research effects of epidurals & meds on  u & baby. Be informed,1
1076430164,"drvono I had restless arm syndrom once, the result of taking the wrong meds while pregnant...not fun!",1
1075204821,My very pregnant friend is cheeking the meds the nurses are giving her to stop labor. Cheeking anti-labor meds and hiding them in a box.,1
1064215178,Not pregnant *eye roll* duh.. no uti.. got meds for a yeast infection i also don't have.. and told if it gets worse to head to the er..,1
1053370648,markremarks I second the pregnant diagnosis. Unless you've got some meds you're reacting to?,1
1051830111,COLD MEDs=CRAZY DREAMs dreamed I was pregnant! Crying because I would be 50yr when it started kindergarten! Scared to go back to sleep!! ;),1
1050042767,sheilawalsh Pleurisy is SO painful! I had it while pregnant 24 yrs/ago. Our youngest (19now) had it last year. Pain meds will help... rest.,1
1044623452,panicking about taking anti-anxiety meds while pregnant.  OH THE IRONY.,1
1044393214,"My SIL says she is on Femara to try to get pregnant.  I looked it up, its breast cancer meds.  Confused.",1
1043058769,migraines = yuck. migranes when you're pregnant and can't take migrane meds = even worse.  Off to bed to try to sleep it off....,1
1020560585,2:36 AM and up with this cough. Reading articles on safe meds for pregnant moms: http://bit.ly/oOPq,1
1020192448,Updating a blog post on the effects of ADHD medications on pregnancy and the risks of birth defects.  Are ADHD meds safe for pregnant women?,1
1011621871,"To answer everyone at once, the no-med headache cures are for pregnant women who can't take headache meds; still need a few more thanks",1
1006742763,"Didi it at home. No RE, dildo cams or meds. Even after testosterone for 8 years! AND HE STILL GOT PREGNANT. I must be doing stuff wrong here",1
991880305,"WOW AMAZING...4+ years, thousands of $ on docs & fertility meds, operation on the ""boys""  and dozens of pregnancy test - My wife is pregnant",1
935089444,No one in my life has given me any shit about taking meds while pregnant with the exception of MY MOTHER.,1
922632994,"Doc put me on new meds today and said ""don't get pregnant, this would be really bad for the baby.""  Uh, thanks?",1
916635115,"vivienfrance: I got sick (cold, flu, etc) more when I was pregnant than I ever have before. Or I noticed more b/c I couldn't take any meds.",1
899537154,"Barely able to keep eyes open between pregnant, drugs, and meds.  Rainy weather doesn't help either. Still feeling sick despite drugs :(",1
898394476,you haven't known annoyance until you have a terrific head-cold & you're 8 months pregnant (which means the good meds are out). craptacular.,1
896242024,We've confirmed she's not pregnant. Going to draw blood and give IV pain meds.,1
886422784,Too sick today to catch up on Tweets.  Wish pregnant ladies could take more meds to get rid of head colds.,1
886256461,Pregnant can't have meds except for gas and tylonol,1
