tweet_id,tweet,class
1457990183,robinmarty I haven't actually taken melatonin in 4 yrs since getting pregnant & having daughter; too much continued night waking.,1
1457990183,robinmarty I haven't actually taken melatonin in 4 yrs since getting pregnant & having daughter; too much continued night waking.,1
591089863287439362,"If I could, I'd take a melatonin right now but I'm pregnant so I can't. ",1
582721816763981824,"Over the past few nights I've dreamt I was pregnant, dropped my phone off a balcony, & was rldriving the wrong way down 8th, yay melatonin!",1
581840756136132608,"Pregnant Women Benefit From Less Nighttime Light; Melatonin Plays Key Role In Fertility, Fetal Development  http://www.medicaldaily.com/pregnant-women-benefit-less-nighttime-light-melatonin-plays-key-role-fertility-fetal-development",1
579498597999202304,itsLexyBitches You should check out Unisom. Or melatonin. If you can take either of those things while pregnant anyway. They both rock.,1
576934558320488448,Melatonin will stop my thoughts...I bet yall think I'm cray. No I'm just pregnant  never thought I'd see the day,1
568785564671066113,"Pregnant Women Benefit From Less Nighttime Light; Melatonin Plays Key Role In Fertility, Fetal Development http://ow.ly/JnUvt",1
568499032512987136,"Know the facts! Pregnant Women Benefit From Less Nighttime Light; Melatonin Plays Key Role In Fertility, Fetal Development...",1
559944442811928576,Is it ok to drink tea with melatonin in it while pregnant?,1
557369605552099329,"Reading up on melatonin: ""High doses of this medicine may affect ovulation,"" *GASP* ""making it difficult for you to get pregnant."" *PHEWF*",1
555733462217277441,melatonin taken before i became pregnant http://dlvr.it/86b5mD ebook,1
552062844926455808,JimStoppani melatonin as a sleep aid? My wife has trouble falling asleep but hoping to get pregnant this yr. Worry about what she takes,1
543617678980960256,I seriously wanna know if I can take melatonin while pregnant,1
533894927751462912,lifewithricky but i always wake up feeling hung over. I use to take 3 bendryl and 3 melatonin before i found out I was pregnant lol.,1
518586222667898880,Can you take melatonin while pregnant? help question iwanttosleep,1
511777165466402816,NickieSpring ever since I was pregnant I became an insomniac. It sucks! Bad. Not even Melatonin works for me. Perks of motherhood.,1
591089863287439362,"If I could, I'd take a melatonin right now but I'm pregnant so I can't. ",1
582721816763981824,"Over the past few nights I've dreamt I was pregnant, dropped my phone off a balcony, & was rldriving the wrong way down 8th, yay melatonin!",1
581840756136132608,"Pregnant Women Benefit From Less Nighttime Light; Melatonin Plays Key Role In Fertility, Fetal Development  http://www.medicaldaily.com/pregnant-women-benefit-less-nighttime-light-melatonin-plays-key-role-fertility-fetal-development",1
579498597999202304,itsLexyBitches You should check out Unisom. Or melatonin. If you can take either of those things while pregnant anyway. They both rock.,1
576934558320488448,Melatonin will stop my thoughts...I bet yall think I'm cray. No I'm just pregnant  never thought I'd see the day,1
568785564671066113,"Pregnant Women Benefit From Less Nighttime Light; Melatonin Plays Key Role In Fertility, Fetal Development http://ow.ly/JnUvt",1
568499032512987136,"Know the facts! Pregnant Women Benefit From Less Nighttime Light; Melatonin Plays Key Role In Fertility, Fetal Development...",1
559944442811928576,Is it ok to drink tea with melatonin in it while pregnant?,1
557369605552099329,"Reading up on melatonin: ""High doses of this medicine may affect ovulation,"" *GASP* ""making it difficult for you to get pregnant."" *PHEWF*",1
555733462217277441,melatonin taken before i became pregnant http://dlvr.it/86b5mD ebook,1
552062844926455808,JimStoppani melatonin as a sleep aid? My wife has trouble falling asleep but hoping to get pregnant this yr. Worry about what she takes,1
543617678980960256,I seriously wanna know if I can take melatonin while pregnant,1
533894927751462912,lifewithricky but i always wake up feeling hung over. I use to take 3 bendryl and 3 melatonin before i found out I was pregnant lol.,1
518586222667898880,Can you take melatonin while pregnant? help question iwanttosleep,1
511777165466402816,NickieSpring ever since I was pregnant I became an insomniac. It sucks! Bad. Not even Melatonin works for me. Perks of motherhood.,1
25597641177956352,Unrelated: was I pregnant in my dream last night? The Melatonin I take as a sleep aid gives me the most vivid dreams. No nightmares yet.,1
22807564450267136,SCREWb EvrElgantErica Go to Walmart and get some Melatonin. Its very safe and natural. I took it while I was pregnant. You'll sleep great!,1
17521934442962944,"Can't sleep. Made a crafty new t-shirt, popped a melatonin, and now hoping ""I'm pregnant..AND a hoarder"" puts me 2 sleep. Yeah right.",1
15232868137574400,Can you take melatonin if you are pregnant? healthchat,1
5379579812253696,melatonin deficiency has been linked to infertility - worth investigating if you have chronic insomnia and arent getting pregnant....,1
28892990736,"maybe me & melatonin need to go on a break, because i did not like dreaming i was pregnant, only to be rushed to deliver these babies (cont)",1
27577120714,"6 months pregnant, can I take melatonin for my insomnia? http://health-sleep.info/?p=5599",1
26720458086,"tvgirl_ In small doses, yes you can take Melatonin while pregnant.",1
23225237283,I am 28 weeks pregnant and I can't sleep.. I used to take melatonin in the past and it did wonders for me. Is it s...  http://bit.ly/aVsrSf,1
18576478988,"PaperCakes take melatonin. It's natural, inexpensive & safe while pregnant. I take the 1mg sublingual from GNC when I can't sleep.",1
17449407395,mandisaofficial I used to use melatonin all the time before I got pregnant. It always seemed to help me. Haven't used it in years.,1
25597641177956352,Unrelated: was I pregnant in my dream last night? The Melatonin I take as a sleep aid gives me the most vivid dreams. No nightmares yet.,1
22807564450267136,SCREWb EvrElgantErica Go to Walmart and get some Melatonin. Its very safe and natural. I took it while I was pregnant. You'll sleep great!,1
17521934442962944,"Can't sleep. Made a crafty new t-shirt, popped a melatonin, and now hoping ""I'm pregnant..AND a hoarder"" puts me 2 sleep. Yeah right.",1
15232868137574400,Can you take melatonin if you are pregnant? healthchat,1
5379579812253696,melatonin deficiency has been linked to infertility - worth investigating if you have chronic insomnia and arent getting pregnant....,1
28892990736,"maybe me & melatonin need to go on a break, because i did not like dreaming i was pregnant, only to be rushed to deliver these babies (cont)",1
27577120714,"6 months pregnant, can I take melatonin for my insomnia? http://health-sleep.info/?p=5599",1
26720458086,"tvgirl_ In small doses, yes you can take Melatonin while pregnant.",1
23225237283,I am 28 weeks pregnant and I can't sleep.. I used to take melatonin in the past and it did wonders for me. Is it s...  http://bit.ly/aVsrSf,1
18576478988,"PaperCakes take melatonin. It's natural, inexpensive & safe while pregnant. I take the 1mg sublingual from GNC when I can't sleep.",1
17449407395,mandisaofficial I used to use melatonin all the time before I got pregnant. It always seemed to help me. Haven't used it in years.,1
13959168457,"On nights I can't sleep, I wish I was allowed to take melatonin.  Being pregnant has so many trials.",1
13406275646,nitwhit13 I used Melatonin everynight (until I found out I'm pregnant) &it really works for me. But I second AKSiiri's weird dream comment,1
12859828212,I'm not pregnant so I can take melatonin again....THANK GOD!,1
12668281339,Is Chamomile or Sleepytime tea ok to drink while pregnant? I can't sleep at night and won't take Melatonin anymore. But I need something.,1
11949726143,Is it okay to take Melatonin while pregnant?: I take melatonin that's supposed to be all natural to help me sleep ... http://bit.ly/a8x5wd,1
10668333311,SaraJOY Is it safe to take melatonin while pregnant? That may help,1
7441872440,Lagniappe315 u cant have melatonin while pregnant? Its all natural though?? Hmmm,1
5381378124,Is it safe to take melatonin while pregnant?,1
5054625843,"I was just reminded that I had a dream last night that I was pregnant & considering an abortion. Never again, Melatonin.",1
4100217211,ambranykol are you allowed to take melatonin when you're pregnant?,1
13959168457,"On nights I can't sleep, I wish I was allowed to take melatonin.  Being pregnant has so many trials.",1
13406275646,nitwhit13 I used Melatonin everynight (until I found out I'm pregnant) &it really works for me. But I second AKSiiri's weird dream comment,1
12859828212,I'm not pregnant so I can take melatonin again....THANK GOD!,1
12668281339,Is Chamomile or Sleepytime tea ok to drink while pregnant? I can't sleep at night and won't take Melatonin anymore. But I need something.,1
11949726143,Is it okay to take Melatonin while pregnant?: I take melatonin that's supposed to be all natural to help me sleep ... http://bit.ly/a8x5wd,1
10668333311,SaraJOY Is it safe to take melatonin while pregnant? That may help,1
7441872440,Lagniappe315 u cant have melatonin while pregnant? Its all natural though?? Hmmm,1
5381378124,Is it safe to take melatonin while pregnant?,1
5054625843,"I was just reminded that I had a dream last night that I was pregnant & considering an abortion. Never again, Melatonin.",1
4100217211,ambranykol are you allowed to take melatonin when you're pregnant?,1
866726426631974917,"I believe you can take melatonin, I know your pregnant but I think you can.",1
866694231678758913,"https://awccanadianpharmacy.com/blog/melatonin-for-pregnant-women/
Is melatonin is a risk-free hormone for pregnant women?",1
865099657508270080,Bitch you can't kill a baby by taking a melatonin I don't think bitch bye this that pregnant shit talking for you,1
859404237385682944,Can You Take Melatonin While Pregnant?  How To Sleep Better https://giantmommy.com/can-you-take-melatonin-while-pregnant/,1
859384654713016322,Can You Take Melatonin While Pregnant?  How To SleepBetter https://giantmommy.com/can-you-take-melatonin-while-pregnant/pic.twitter.com/FNQg2utqug,1
852141617754648577,Had a dream last night that I was pregnant and the father was a family friend. Nvm that sounds like a nightmare. Thanks a lot melatonin ,1
844594163245035521,DrunkenGobbler OMG. I just remembered something. Last night I had a dream I was pregnant with your baby. Blame it on the melatonin.,1
822092826104229890,"haha I definitely relate, can you take melatonin pregnant?",1
821398705173655555,"Melatonin makes me have the same dream every time I take it, I'm tired of dreaming I'm pregnant and I kill the baby at the end ",1
819910505922002945,I popped some melatonin last night and things got so wild that I blacked out while watching 16 and Pregnant.,1
819377039346167814,Can I take melatonin while pregnant? ReplyTweet Help ,1
811258887257067520,Can You Take Melatonin While Pregnant? Important things you need to know. Find out here! melatonin https://dragplus.com/post/id/38898064,1
805461790062706689,Can You Take Melatonin While Pregnant? Important things you need to know. Find outhere! http://shrewdmommy.com/can-you-take-melatonin-while-pregnant/,1
788198740960182272,"...unconstitutionally enslave millions of women who dont want to be pregnant, give birth, and raise children for 18+ years? ...",1
787855816288112641,It's either you're pregnant or just abnormal melatonin distribution,1
866726426631974917,"I believe you can take melatonin, I know your pregnant but I think you can.",1
866694231678758913,"https://awccanadianpharmacy.com/blog/melatonin-for-pregnant-women/
Is melatonin is a risk-free hormone for pregnant women?",1
865099657508270080,Bitch you can't kill a baby by taking a melatonin I don't think bitch bye this that pregnant shit talking for you,1
859404237385682944,Can You Take Melatonin While Pregnant?  How To Sleep Better https://giantmommy.com/can-you-take-melatonin-while-pregnant/,1
859384654713016322,Can You Take Melatonin While Pregnant?  How To SleepBetter https://giantmommy.com/can-you-take-melatonin-while-pregnant/pic.twitter.com/FNQg2utqug,1
852141617754648577,Had a dream last night that I was pregnant and the father was a family friend. Nvm that sounds like a nightmare. Thanks a lot melatonin ,1
844594163245035521,DrunkenGobbler OMG. I just remembered something. Last night I had a dream I was pregnant with your baby. Blame it on the melatonin.,1
822092826104229890,"haha I definitely relate, can you take melatonin pregnant?",1
821398705173655555,"Melatonin makes me have the same dream every time I take it, I'm tired of dreaming I'm pregnant and I kill the baby at the end ",1
819910505922002945,I popped some melatonin last night and things got so wild that I blacked out while watching 16 and Pregnant.,1
819377039346167814,Can I take melatonin while pregnant? ReplyTweet Help ,1
811258887257067520,Can You Take Melatonin While Pregnant? Important things you need to know. Find out here! melatonin https://dragplus.com/post/id/38898064,1
805461790062706689,Can You Take Melatonin While Pregnant? Important things you need to know. Find outhere! http://shrewdmommy.com/can-you-take-melatonin-while-pregnant/,1
788198740960182272,"...unconstitutionally enslave millions of women who dont want to be pregnant, give birth, and raise children for 18+ years? ...",1
787855816288112641,It's either you're pregnant or just abnormal melatonin distribution,1
768404881119948800,I hate it! Do you ever try melatonin? I do it when I have trouble not pregnant but not supposed to take pregnant. ,1
768143109305856000,Can You Take Melatonin While Pregnant? http://ln.is/pocket.co/HQefc,1
768089541978624001,"try those natural sleeping pills, melatonin. they knocked me out when i was pregnant and couldn't smoke.",1
767883137678467072,Try Natrol Melatonin Strawberry flavor (take 5 mg 20 min before going to bed). OK if pregnant. Hope it helps! ,1
767474514766815232,melatonin...though not sure if you can take it while pregnant,1
758478742591270913,Melatonin and chamomile tea has this pregnant lady ready for sleep. Maybe I won't wake up every hour tonight ,1
751234273210806273,try melatonin it works!! And I've heard you can take it while pregnant.,1
750909978878377984,"girl I understand, when I was pregnant I took unisom or melatonin every night just so I could sleep. It suuucked.",1
743781939300151296,adding my lol! This guy is delusional. He'd keep women barefoot and pregnant and the LGBT+ community in the closet,1
740532491224817664,msstate research finds melatonin for pregnant cows adds blood flow to calves. http://mafes.msstate.edu/discovers/article.asp?id=56 cowfirstpic.twitter.com/k6GcCVEYvC,1
736888004820754432,"what is it they give to pregnant people for nausea? Unisom, I think. Have you tried that? I call bs on melatonin, doesnt work 4 me",1
721180863543816196,Melatonin muffins are my secret to dating success,1
715998158367682560,"I dreamed that I got ADAMDEVINE pregnant with my children. Four, to be exact.
I also decided that I'm going to give Melatonin a break.",1
713278081549492224,honeybstew I should know this but can you take melatonin when you're pregnant? Or benadryl?,1
712863650059517953,LaurenSocha I'm an insomniac 2. R u able2 take liquid melatonin while pregnant? The best 4 me was indica drinkNot legal here. I miss LA ,1
710416208286380032,Salivary melatonin levels and sleep-wake rhythms in pregnant women with hypertensive and glucose metabolic disorders http://www.ncbi.nlm.nih.gov/pubmed/26853813,1
708890765766819840,kelsylwright Count. Thats what I do. Can you take melatonin while pregnant ?,1
707323611145748481,"Apparently the answer to ""can I take ___ while pregnant"" is always no. Goodbye, melatonin, it was nice to be able to sleep...",1
704903637622001665,is melatonin safe to take ? http://discussion.bloomapp.co/item?postid=0sXh0FzQ4D pregnant parent babybump preggo,1
704903636661489664,is melatonin safe to take ? http://discussion.bloomapp.co/item?postid=0sXh0FzQ4D pregnant mom parenting birthing,1
768404881119948800,I hate it! Do you ever try melatonin? I do it when I have trouble not pregnant but not supposed to take pregnant. ,1
768143109305856000,Can You Take Melatonin While Pregnant? http://ln.is/pocket.co/HQefc,1
768089541978624001,"try those natural sleeping pills, melatonin. they knocked me out when i was pregnant and couldn't smoke.",1
767883137678467072,Try Natrol Melatonin Strawberry flavor (take 5 mg 20 min before going to bed). OK if pregnant. Hope it helps! ,1
767474514766815232,melatonin...though not sure if you can take it while pregnant,1
758478742591270913,Melatonin and chamomile tea has this pregnant lady ready for sleep. Maybe I won't wake up every hour tonight ,1
751234273210806273,try melatonin it works!! And I've heard you can take it while pregnant.,1
750909978878377984,"girl I understand, when I was pregnant I took unisom or melatonin every night just so I could sleep. It suuucked.",1
743781939300151296,adding my lol! This guy is delusional. He'd keep women barefoot and pregnant and the LGBT+ community in the closet,1
740532491224817664,msstate research finds melatonin for pregnant cows adds blood flow to calves. http://mafes.msstate.edu/discovers/article.asp?id=56 cowfirstpic.twitter.com/k6GcCVEYvC,1
736888004820754432,"what is it they give to pregnant people for nausea? Unisom, I think. Have you tried that? I call bs on melatonin, doesnt work 4 me",1
721180863543816196,Melatonin muffins are my secret to dating success,1
715998158367682560,"I dreamed that I got ADAMDEVINE pregnant with my children. Four, to be exact.
I also decided that I'm going to give Melatonin a break.",1
713278081549492224,honeybstew I should know this but can you take melatonin when you're pregnant? Or benadryl?,1
712863650059517953,LaurenSocha I'm an insomniac 2. R u able2 take liquid melatonin while pregnant? The best 4 me was indica drinkNot legal here. I miss LA ,1
710416208286380032,Salivary melatonin levels and sleep-wake rhythms in pregnant women with hypertensive and glucose metabolic disorders http://www.ncbi.nlm.nih.gov/pubmed/26853813,1
708890765766819840,kelsylwright Count. Thats what I do. Can you take melatonin while pregnant ?,1
707323611145748481,"Apparently the answer to ""can I take ___ while pregnant"" is always no. Goodbye, melatonin, it was nice to be able to sleep...",1
704903637622001665,is melatonin safe to take ? http://discussion.bloomapp.co/item?postid=0sXh0FzQ4D pregnant parent babybump preggo,1
704903636661489664,is melatonin safe to take ? http://discussion.bloomapp.co/item?postid=0sXh0FzQ4D pregnant mom parenting birthing,1
702796363701100545,I take melatonin too I can't believe I'm pregnant,1
701040666684489729,"elonjames PhDKnitter I take 3 mg melatonin on occasion for ""wake up"" insomnia.  I would not recommend it for pregnant women tho.",1
697572231132614656,BioMedSci: Salivary melatonin levels and sleep-wake rhythms in pregnant women with hypertensive and glucose met... http://ht.ly/3bb3YD,1
696929332137164800,"ThereGoesTay I would recommend Melatonin. It's natural, but since your pregnant, even simple things can be a hazard.",1
695254613252034560,"Me: I had some crazy dreams last night, I think--
Mom: are you pregnant?
Me: --it's the melatonin
Mom: 
Me: wait what",1
690273139205488640,Research: Exposing pregnant women to light prevents preterm labor oxytocin melatonin preemie baby birth http://fb.me/4cMIWok20,1
689953784479535105,"I'm at Walmart gettin sum Melatonin ta help me sleep, I read the back & it says Do Not Take If You're Pregnant or Nursing. Fml",1
684810201589874688,so pleased to find out that I can take melatonin while being pregnant.,1
679986279380049920,_AyeJayAye I read you can't take melatonin while pregnant :\ but I'll definitely try grapes ,1
679477820704354304,That_Fat_Girl can you take melatonin while pregnant? I take that sometimes,1
678429372303347712,"OH SHIT. I just read the Melatonin bottle and it says ""not intended by the use of nursing or pregnant women""
WHAT THE FUCK AM I GOING TO DO?",1
676981644356636673,"*tells mom melatonin gives you weird dreams*

*calls me the next day*

""I had a dream I was pregnant with twin puppies""",1
672964748841984001,Never taking melatonin while pregnant again. I already have the weirdest dreams being pregnant ,1
668982809600663553,My friends are all evil. No one told me I could take melatonin while I'm pregnant. ,1
666152749243891712,This bitch stefaniggles won't let me take melatonin because she's convinced I'm pregnant... K,1
662329124057251841,Is there such a thing as melatonin IV drip cause I need some sleep yo. Waking up at 5a for no reason is silly. Maybe I'm pregnant? Great.,1
661696441933553664,I wonder if it's safe to take melatonin while I'm pregnant.,1
658665163596410881,Kiala can you take melatonin while pregnant?,1
