tweet_id,tweet,class
456732632,"and being pregnant I can't take any ""good"" drugs! A little motrin can't ""kill""the baby...right? I gotta ""google"" why I can't take that stuff",1
456732632,"and being pregnant I can't take any ""good"" drugs! A little motrin can't ""kill""the baby...right? I gotta ""google"" why I can't take that stuff",1
3080119853,tylenol makes the pregnant world go round when you can't have motrin and your back is on FIRE!! ahhhh sweet relief,1
2923470623,I had a fever 2day round 6 I took some motrin & it made it feel better so after I watched 3 eps. of 16 & pregnant I got up & started cleanin,1
2413524850,Just got pain medicine and motrin. My poor pregnant wife has to take care of me while pregnant.  She is the best ever,1
2338469308,"Aromatherapy  Helping Pregnant Women Ease through Their Labor, by Sharon Morin: For a live reading with Psychic.. http://bit.ly/eZK2h",1
2336895489,"Aromatherapy  Helping Pregnant Women Ease through Their Labor, by Sharon Morin: For a live reading with Psychic.. http://tinyurl.com/mza3wh",1
1903564810,dragondream can I take motrin while I'm pregnant tho?,1
1897775861,dooce Hi Heather-quick hello to wish you all the best. FYI-my wife always found Motrin to be more effective than the others when pregnant.,1
1893706265,dooce with you on that one-much needed Motrin for Pregnant women- therapeutic doses of chocolate aren't cutting it for me either (due Aug),1
1112577762,"motrin makes a stupid ad, and mom-bloggers git pissed as all hell. But a woman raisin' a pregnant teen is someone to make fun of? Mom?",1
3080119853,tylenol makes the pregnant world go round when you can't have motrin and your back is on FIRE!! ahhhh sweet relief,1
2923470623,I had a fever 2day round 6 I took some motrin & it made it feel better so after I watched 3 eps. of 16 & pregnant I got up & started cleanin,1
2413524850,Just got pain medicine and motrin. My poor pregnant wife has to take care of me while pregnant.  She is the best ever,1
2338469308,"Aromatherapy  Helping Pregnant Women Ease through Their Labor, by Sharon Morin: For a live reading with Psychic.. http://bit.ly/eZK2h",1
2336895489,"Aromatherapy  Helping Pregnant Women Ease through Their Labor, by Sharon Morin: For a live reading with Psychic.. http://tinyurl.com/mza3wh",1
1903564810,dragondream can I take motrin while I'm pregnant tho?,1
1897775861,dooce Hi Heather-quick hello to wish you all the best. FYI-my wife always found Motrin to be more effective than the others when pregnant.,1
1893706265,dooce with you on that one-much needed Motrin for Pregnant women- therapeutic doses of chocolate aren't cutting it for me either (due Aug),1
1112577762,"motrin makes a stupid ad, and mom-bloggers git pissed as all hell. But a woman raisin' a pregnant teen is someone to make fun of? Mom?",1
869734555250335744,Smh can't believe she lied about being pregnant,1
851878477548728324,"Tim McGraw, Faith Hill Help Pregnant Couple In New Orleans https://youtu.be/YISynxoFexs  YouTube",1
851248730623942656,I would never have the balls to ask a doctor or a nurse for a prescription for Tylenol/motrin while pregnant with a 3rd 4th 5th 6th kid etc,1
838043164707540992,OK PERIOD IM NOT PREGNANT YOU CAN STOP HURTING ME NOW,1
829110159662338049,I wish beyonce was pregnant with me,1
815603682326757376,She's about to be the cutest pregnant person https://twitter.com/enews/status/815596276586807296,1
814346374665924608,damon just took off his shirt I AM FUCKING PREGNANT,1
812083928626556928,Morin is pregnant whooooooop  https://twitter.com/keshiro_/status/812036398358364160,1
808976315567194112,"""You pregnant? morin_xoxo: I'm always sleepy """,1
807978037895720960,You can't take Motrin when you ... Pregnant  https://twitter.com/yakirra___/status/807977628070281217,1
802119654554484738,Did you become pregnant,1
794903571653361664,"I hate when I see post that say "" Yall pregnant I can't relate"" like okay half of y'all pop Plan B's like Motrin bitch I can't relate ",1
779386410725965824,"Fever ? Motrin 
Cold ? Motrin 
Killed Ya whole family ? 800 MG Motrin 
HIV ? Motrin
Pregnant ? Motrin https://twitter.com/_zolarmoon/status/779385711837392897",1
869734555250335744,Smh can't believe she lied about being pregnant,1
851878477548728324,"Tim McGraw, Faith Hill Help Pregnant Couple In New Orleans https://youtu.be/YISynxoFexs  YouTube",1
851248730623942656,I would never have the balls to ask a doctor or a nurse for a prescription for Tylenol/motrin while pregnant with a 3rd 4th 5th 6th kid etc,1
838043164707540992,OK PERIOD IM NOT PREGNANT YOU CAN STOP HURTING ME NOW,1
829110159662338049,I wish beyonce was pregnant with me,1
815603682326757376,She's about to be the cutest pregnant person https://twitter.com/enews/status/815596276586807296,1
814346374665924608,damon just took off his shirt I AM FUCKING PREGNANT,1
812083928626556928,Morin is pregnant whooooooop  https://twitter.com/keshiro_/status/812036398358364160,1
808976315567194112,"""You pregnant? morin_xoxo: I'm always sleepy """,1
807978037895720960,You can't take Motrin when you ... Pregnant  https://twitter.com/yakirra___/status/807977628070281217,1
802119654554484738,Did you become pregnant,1
794903571653361664,"I hate when I see post that say "" Yall pregnant I can't relate"" like okay half of y'all pop Plan B's like Motrin bitch I can't relate ",1
779386410725965824,"Fever ? Motrin 
Cold ? Motrin 
Killed Ya whole family ? 800 MG Motrin 
HIV ? Motrin
Pregnant ? Motrin https://twitter.com/_zolarmoon/status/779385711837392897",1
1012769170,tamera you should star in the new motrin campaign about pregnant women who wish they could take painkillers ;) whyI'mNotInAdvertising,1
1011311152,"I think I'm more offended by this ""pregnant man"" BS than by the Motrin commercial.",1
1010671404,Blood test outcome - Good News: I'm not pregnant. Bad News: I can't become a Motrin Mom.,1
1009153077,"briancarter I wonder if the ""pregnant man"" (he's pregnant again) is a baby wearer. Does he use Motrin?  motrinmoms",1
1007932430,"Motrin, we can't even use you as a pain reliever while we are pregnant!! Come on now Motrinmoms",1
867726010,I forgot...what can pregnant ladies take for headaches?  Tylenol or Motrin? OR???,1
1012769170,tamera you should star in the new motrin campaign about pregnant women who wish they could take painkillers ;) whyI'mNotInAdvertising,1
1011311152,"I think I'm more offended by this ""pregnant man"" BS than by the Motrin commercial.",1
1010671404,Blood test outcome - Good News: I'm not pregnant. Bad News: I can't become a Motrin Mom.,1
1009153077,"briancarter I wonder if the ""pregnant man"" (he's pregnant again) is a baby wearer. Does he use Motrin?  motrinmoms",1
1007932430,"Motrin, we can't even use you as a pain reliever while we are pregnant!! Come on now Motrinmoms",1
867726010,I forgot...what can pregnant ladies take for headaches?  Tylenol or Motrin? OR???,1
33725667250012162,"motrin and benadryl while pregnant: actos 45 mg cost , switching from tramadol to ultram buy cardura online , ox... http://bit.ly/ghr1Aa",1
33239764194820096,* talkin bout she took some motrin and it didn't work ; she ain't even know she was pregnant!,1
31725990791086080,acyclovir sodium solubility: acai weight loss free trialcan u take motrin while pregnant felodipine 10mg side ef... http://bit.ly/feJAat,1
28059175460278272,"Everley Pregnant Brothers (City Hall) Deliberate + Matt Finucaine + David Morin, Neil Webb & Ron Wright (Washington)",1
27230179143188481,_CourtneyChanel: Omgeee can pregnant people take motrin? waitttt what,1
27228751129485312,Omgeee can pregnant people take motrin?,1
27175169881546752,"motrin and benadryl while pregnant: naltrexone vs topomax , norvasc drug interaction with inderal baytril taste ... http://bit.ly/dG996R",1
24269289804537858,My teeth hurt like when I was pregnant with Clara omg MOTRIN ASAP PLEASE 800'S!!!,1
20570858661617665,"i went to the dr, not knowing i was pregnant today, and i took 800mg of motrin before i went in because i was su...  http://bit.ly/aVsrSf",1
15897634149502978,tracisteffen YES! Pregnant ladies... bring your own pain medication to the hospital. You'll save $100s. Motrin or whatever you need.,1
10232811197825024,"http://bit.ly/eqysuX  Motrin And Benadryl While Pregnant, Motrin And Benadryl While Pregnant: wow-gold-team.com",1
4508754351489024,"My back hurts soooo bad, feels like I'm in Labor and NO I'm not pregnant. It's gonna be a long day! Where's the Motrin.",1
28872639964,Bobby Morin wrote a new blog post: Women in Pregnant Over 40 http://f.ast.ly/ymPeq,1
27055648843,"scarlettreddd i dreamed that i was pregnant. And really confused, cause I hadn't had sex. ripoff",1
22302125989,Soooo Adam got me pregnant. Just sayin.,1
22131647564,"Also, if I ever get pregnant I may no longer be able to breast feed.",1
18859117756,ange_morin I KNOW RIGHT?! we can gase apon the stars and get pregnant <3,1
33725667250012162,"motrin and benadryl while pregnant: actos 45 mg cost , switching from tramadol to ultram buy cardura online , ox... http://bit.ly/ghr1Aa",1
33239764194820096,* talkin bout she took some motrin and it didn't work ; she ain't even know she was pregnant!,1
31725990791086080,acyclovir sodium solubility: acai weight loss free trialcan u take motrin while pregnant felodipine 10mg side ef... http://bit.ly/feJAat,1
28059175460278272,"Everley Pregnant Brothers (City Hall) Deliberate + Matt Finucaine + David Morin, Neil Webb & Ron Wright (Washington)",1
27230179143188481,_CourtneyChanel: Omgeee can pregnant people take motrin? waitttt what,1
27228751129485312,Omgeee can pregnant people take motrin?,1
27175169881546752,"motrin and benadryl while pregnant: naltrexone vs topomax , norvasc drug interaction with inderal baytril taste ... http://bit.ly/dG996R",1
24269289804537858,My teeth hurt like when I was pregnant with Clara omg MOTRIN ASAP PLEASE 800'S!!!,1
20570858661617665,"i went to the dr, not knowing i was pregnant today, and i took 800mg of motrin before i went in because i was su...  http://bit.ly/aVsrSf",1
15897634149502978,tracisteffen YES! Pregnant ladies... bring your own pain medication to the hospital. You'll save $100s. Motrin or whatever you need.,1
10232811197825024,"http://bit.ly/eqysuX  Motrin And Benadryl While Pregnant, Motrin And Benadryl While Pregnant: wow-gold-team.com",1
4508754351489024,"My back hurts soooo bad, feels like I'm in Labor and NO I'm not pregnant. It's gonna be a long day! Where's the Motrin.",1
28872639964,Bobby Morin wrote a new blog post: Women in Pregnant Over 40 http://f.ast.ly/ymPeq,1
27055648843,"scarlettreddd i dreamed that i was pregnant. And really confused, cause I hadn't had sex. ripoff",1
22302125989,Soooo Adam got me pregnant. Just sayin.,1
22131647564,"Also, if I ever get pregnant I may no longer be able to breast feed.",1
18859117756,ange_morin I KNOW RIGHT?! we can gase apon the stars and get pregnant <3,1
951812796739735553,Advil & Motrin users take heed- men who took ibuprofen had lower testosterone levels and may have greater difficulty getting pregnant https://www.washingtonpost.com/news/to-your-health/wp/2018/01/10/ibuprofen-appears-to-mess-with-male-hormones-should-you-be-worried/,1
951165887536615425,"I had to go to the ER with pneumonia this fall and since I don't HAVE a ""regular doctor"" I put down my OBGYN. Cue absolutely everyone asking if I was pregnant even AFTER I did their test. Also wouldn't give me motrin without it, even though I literally couldn't breathe w/pain :-\",1
948659043626881025,"Only the pregnant lady buys 3 tubs of ice cream before a blizzard. In my defence I only came to the store for Childrens Motrin, coffee cream and pet food. Not stormchips they just jumped in my cart. Lolpic.twitter.com/l1VZZLFAuh",1
947934648117727238,We are pregnant ,1
946553418226831360,"PSA: if you have flu like symptoms, dont go to the ER. Drink lots of fluids, alternate Tylenol and Motrin every 4 hours (unless you are pregnant then dont take Motrin), rest, and stay away from others until you are fever free for 24 hours. Flu last 1-2 weeks.",1
945922811842957313,Im telling you guys. Shes pregnant,1
942504289179648000,"See you tomorrow Nanaimo!!
---
At the beginning of the tour Morin-Robert learned she was pregnant, and while... https://fb.me/7LyQIiMVz",1
941442759956881408,Tylenol when you're pregnant. Motrin when you're postpartum/nursing. This is just a general rule. Ask your pharmacist.,1
938775781861310469,It's best not to have caffeine while pregnant :( can't even take Motrin.,1
