tweet_id,tweet,class
18552128682,"RT LivingSafely: US RDA of Vitamin B3/Niacin for men 19 and up is 16 mg; for women it's 14 mg. Pregnant, breastfeeding? Talk with your MD.",1
18551872380,"Nutrition Tip: US RDA of Vitamin B3/Niacin for men 19 and up is 16 mg; for women it's 14 mg. Pregnant, breastfeeding? Talk with your MD.",1
15238933667,"Not just Pregnant Women need Folic Acid  La Chica Organica: ... include beta carotene; vitamins B3 (niacin), Be, ... http://bit.ly/9WMlIM",1
18552128682,"RT LivingSafely: US RDA of Vitamin B3/Niacin for men 19 and up is 16 mg; for women it's 14 mg. Pregnant, breastfeeding? Talk with your MD.",1
18551872380,"Nutrition Tip: US RDA of Vitamin B3/Niacin for men 19 and up is 16 mg; for women it's 14 mg. Pregnant, breastfeeding? Talk with your MD.",1
15238933667,"Not just Pregnant Women need Folic Acid  La Chica Organica: ... include beta carotene; vitamins B3 (niacin), Be, ... http://bit.ly/9WMlIM",1
12793416164,Will Niacin kill a unborn baby?: Me and my friend who arrived a few DrugTest. and she is pregnant. SOOO? Nee.ok is... http://bit.ly/9Ezjuf,1
9150166080,Is It Safe To Take Niacin When Pregnant?: I keep trying to explain to my friend that it may be harmful to her baby... http://bit.ly/djYK20,1
12793416164,Will Niacin kill a unborn baby?: Me and my friend who arrived a few DrugTest. and she is pregnant. SOOO? Nee.ok is... http://bit.ly/9Ezjuf,1
9150166080,Is It Safe To Take Niacin When Pregnant?: I keep trying to explain to my friend that it may be harmful to her baby... http://bit.ly/djYK20,1
560270954136612864,"People who are pregnant or who suffer from diabetes, glaucoma, gout, liver disease, peptic ulcers should use niacin supplements with caution",1
506704637848612864,I never missed a court dare big pregnant we was at drug court he use to be itching full of that niacin ,1
560270954136612864,"People who are pregnant or who suffer from diabetes, glaucoma, gout, liver disease, peptic ulcers should use niacin supplements with caution",1
506704637848612864,I never missed a court dare big pregnant we was at drug court he use to be itching full of that niacin ,1
383741551219728385,poopizza weird....I thought only pregnant women were supposed to take niacin.,1
377615834916483072,"Did you know that a big ingredient in energy drinks is niacin, which is something you only need when your pregnant?",1
362705730815524866,Dam Niacin make u pee a lot like a pregnant woman.,1
383741551219728385,poopizza weird....I thought only pregnant women were supposed to take niacin.,1
377615834916483072,"Did you know that a big ingredient in energy drinks is niacin, which is something you only need when your pregnant?",1
362705730815524866,Dam Niacin make u pee a lot like a pregnant woman.,1
492025662157242368,"My dad asked if I were pregnant. Not possible, but I think if he knew I got Niacin poisoning... he would be so fucking mad.",1
492025662157242368,"My dad asked if I were pregnant. Not possible, but I think if he knew I got Niacin poisoning... he would be so fucking mad.",1
999180775240208385,Scientists have found a link between a deficiency in nicotinamide adenine dinucleotide of pregnant women and certain malformations in their infants. Could a supplementation of niacin during pregnancy prevent those malformations? Learn more: https://bit.ly/2s541XXpic.twitter.com/jy6163gfpt,1
999180775240208385,Scientists have found a link between a deficiency in nicotinamide adenine dinucleotide of pregnant women and certain malformations in their infants. Could a supplementation of niacin during pregnancy prevent those malformations? Learn more: https://bit.ly/2s541XXpic.twitter.com/jy6163gfpt,1
638502799995633664,Niacin pills have you peeing like you're pregnant,1
638502799995633664,Niacin pills have you peeing like you're pregnant,1
267932837330694145,Vitmain B3 (Niacin) - 16 mg for adult males and 14 mg for women - 17-18 mg if pregnant/lactating. Children need 9... http://fb.me/2yTwxRDZa,1
242298489348968448,RT SourSparks: Lezzie pregnant as fuck or she don't know how to work her bladder {{ I took a niacin and drank 6 bottles of water DrugTest,1
237473641359622144,"Oats are an excellent source of energy for pregnant women as they are enriched with folic acid, thiamin, riboflavin & niacin. Nutrition",1
267932837330694145,Vitmain B3 (Niacin) - 16 mg for adult males and 14 mg for women - 17-18 mg if pregnant/lactating. Children need 9... http://fb.me/2yTwxRDZa,1
242298489348968448,RT SourSparks: Lezzie pregnant as fuck or she don't know how to work her bladder {{ I took a niacin and drank 6 bottles of water DrugTest,1
237473641359622144,"Oats are an excellent source of energy for pregnant women as they are enriched with folic acid, thiamin, riboflavin & niacin. Nutrition",1
205843835711000576,"Damn i piss more den a pregnant woman like every 5 mins this niacin must really work
Wyte $avaGe",1
203092839758954497,Niacin requirements are greater in women pregnant with or breastfeeding more than one child.,1
197416787137150976,"kimbykat Recommended daily allowance of niacin is 14 mg/day for women, 16 mg/day for men, and 18 mg/day for pregnant women.",1
172984110174842880,"Enriched with folic acid, thiamin & niacin, Oats are excellent source of energy for pregnant women. http://bit.ly/xUDm0y nutrition",1
139403233369145344,"Thanksgiving Dinner When Pregnant: Beef has selenium, vitamin B6, vitamin B12, niacin and choline, all of which ... http://bit.ly/uOPz9M",1
205843835711000576,"Damn i piss more den a pregnant woman like every 5 mins this niacin must really work
Wyte $avaGe",1
203092839758954497,Niacin requirements are greater in women pregnant with or breastfeeding more than one child.,1
197416787137150976,"kimbykat Recommended daily allowance of niacin is 14 mg/day for women, 16 mg/day for men, and 18 mg/day for pregnant women.",1
172984110174842880,"Enriched with folic acid, thiamin & niacin, Oats are excellent source of energy for pregnant women. http://bit.ly/xUDm0y nutrition",1
139403233369145344,"Thanksgiving Dinner When Pregnant: Beef has selenium, vitamin B6, vitamin B12, niacin and choline, all of which ... http://bit.ly/uOPz9M",1
722860878224183298,Pregnant?  B Vitamins When You Are Pregnant & Niacin! Take Your Vitamins & Drink Orange Juice Not From Concentrate https://twitter.com/TheLSBProject/status/722860046053453826,1
