tweet_id,tweet,class
3937238183,"Urgh pregnant with a cold. No day nurse and no Paracetamol. Going old school with oranges, tea and tissues soaked on Olbas oil!",1
3884355366,"Just overheard, ""are you allowed to have paracetamol when you are pregnant or is that aspirin?"" ""I know you definitely can't have nurofen"".",1
3872387088,"Pregnant wife has a cold - can't sleep, means I can't sleep, HEELLLP! Paracetamol does nothing.",1
3379573276,New blog post: Can Pregnant Woman In The First Trimester Just Take Paracetamol To Treat Swine Flu? http://bit.ly/3hyXdz,1
2647959245,MumsnetTowers info: Hackney borough are advising pregnant women not prescribed medication just paracetamol unless have uncontrollable fever,1
2629525454,Melaina25 mine were so bad i was crippled wen pregnant. Paracetamol hon and lots of it!x,1
1786588575,"A PREGNANT women died in hospital after suffering liver failure caused by a fatal overdose of paracetamol, an in.. http://tinyurl.com/o6hjug",1
1326562523,"feeling a bit sorry for Bx, pregnant women can't take any painkillers for toothache other than 2 paracetamol per week apparently.",1
1188850076,Quite enjoying a relaxing afternoon with paper.  Pregnant wife has headache...had to resort to paracetamol...not worked.,1
1162106184,"15232 I was depressed, no idea why, took 140 paracetamol, hospital, found out was 3 months pregnant & had to abort. I've never got over it.",1
3937238183,"Urgh pregnant with a cold. No day nurse and no Paracetamol. Going old school with oranges, tea and tissues soaked on Olbas oil!",1
3884355366,"Just overheard, ""are you allowed to have paracetamol when you are pregnant or is that aspirin?"" ""I know you definitely can't have nurofen"".",1
3872387088,"Pregnant wife has a cold - can't sleep, means I can't sleep, HEELLLP! Paracetamol does nothing.",1
3379573276,New blog post: Can Pregnant Woman In The First Trimester Just Take Paracetamol To Treat Swine Flu? http://bit.ly/3hyXdz,1
2647959245,MumsnetTowers info: Hackney borough are advising pregnant women not prescribed medication just paracetamol unless have uncontrollable fever,1
2629525454,Melaina25 mine were so bad i was crippled wen pregnant. Paracetamol hon and lots of it!x,1
1786588575,"A PREGNANT women died in hospital after suffering liver failure caused by a fatal overdose of paracetamol, an in.. http://tinyurl.com/o6hjug",1
1326562523,"feeling a bit sorry for Bx, pregnant women can't take any painkillers for toothache other than 2 paracetamol per week apparently.",1
1188850076,Quite enjoying a relaxing afternoon with paper.  Pregnant wife has headache...had to resort to paracetamol...not worked.,1
1162106184,"15232 I was depressed, no idea why, took 140 paracetamol, hospital, found out was 3 months pregnant & had to abort. I've never got over it.",1
13994007846,do you know what sucks? Having a cold and toothache and being pregnant so you can only take crappy paracetamol :(,1
13380663909,In bed dosed up with paracetamol as that is all us pregnant ladies are allowed - BOO!!,1
13013835404,"URGH I can't shake this cold. Asked the pharmacist what I could take for it whilst pregnant, answer: ""Nothing"". Minimal paracetamol only :(",1
12876875686,"hyperhellen1 I can only take paracetamol being pregnant. waiting 4 midwife to call me back. sittin on edge of sofa, can't move :(",1
11025110300,any1 know if u can take lemsip when pregnant? It is paracetamol and pseudoephedrine AFAIK,1
10965567142,"I thought paracetamol is safe for pregnant woman ? RT andripradono: wortje lab result is considerably normal, (cont) http://tl.gd/jr0e2",1
