tweet_id,tweet,class
2302953595,wellnab It's true. And I bet being 9 months pregnant and smoking at the bus stop would be a great way to make friends. Enjoy the Percocet!,1
1970647134,"Well, if i was pregnant, i'm not anymore. I'm going to take a percocet and go lie down. I feel like shit.",1
1806866972,"samuraifrog re:Palin - now that she's not pregnant, it is less fun to take the Percoset ;-)",1
2302953595,wellnab It's true. And I bet being 9 months pregnant and smoking at the bus stop would be a great way to make friends. Enjoy the Percocet!,1
1970647134,"Well, if i was pregnant, i'm not anymore. I'm going to take a percocet and go lie down. I feel like shit.",1
1806866972,"samuraifrog re:Palin - now that she's not pregnant, it is less fun to take the Percoset ;-)",1
14901171676250112,Welp. I'm not pregnant *does a halfhearted jig* now bring on the percocet.,1
22584363520,Taking percocet while pregnant : Janssen risperdal - Saliva drug ... http://bit.ly/ay3Rje,1
21923325787,The only way I'd be willing 2 get pregnant is if my Ob/Gyn gave me an IV drip of Percocet or Vicodin in my 8th month!! Gottabehonest!,1
16580672554,I don't think its smart to take 15 percocet a day when you're 6 months pregnant. /:,1
15218863314,"Crack cocaine & percoset fuel a drug-filled, violent night in Bridgeport.  A pregnant woman and her 79-year-old grandmother are dead.",1
14901171676250112,Welp. I'm not pregnant *does a halfhearted jig* now bring on the percocet.,1
22584363520,Taking percocet while pregnant : Janssen risperdal - Saliva drug ... http://bit.ly/ay3Rje,1
21923325787,The only way I'd be willing 2 get pregnant is if my Ob/Gyn gave me an IV drip of Percocet or Vicodin in my 8th month!! Gottabehonest!,1
16580672554,I don't think its smart to take 15 percocet a day when you're 6 months pregnant. /:,1
15218863314,"Crack cocaine & percoset fuel a drug-filled, violent night in Bridgeport.  A pregnant woman and her 79-year-old grandmother are dead.",1
14652602370,theamandagraves I wish you would stop getting pregnant. How many percocet and Hoovers have you racked up on your PP frequent-flyer miles??,1
14011612927,"Funny how I was on morphine and percoset when I was pregnant, and I can't take a friggin' sudafed now.",1
12980726212,"Hey, I don't have to use the ""I'm pregnant"" excuse! I have the I have arthritis in my rib cartilage excuse! Super ouch, but yum percocet.",1
11169631583,RT snbdamj I am taking Percocet for back and leg pain and my period is 3 weeks late. Could I be pregnant? http://bit.ly/9FFHXx,1
11032714608,RT axauctf I am taking Percocet for back and leg pain and my period is 3 weeks late. Could I be pregnant? http://bit.ly/cQegZi,1
10851489629,RT eeecovm I am taking Percocet for back and leg pain and my period is 3 weeks late. Could I be pregnant? http://bit.ly/anKvRs,1
9671764905,Open Question: Which is better to take while pregnant vicodin or percocet for interstitial cystitis? - http://tinyurl.com/yj4t36f,1
8876919793,Not even extreme pain and being on percocet will stop this pregnant woman from getting her Taco Bell!!,1
4342870213,Resolved Question: Vicodin and Percocet while Pregnant? http://bit.ly/32iVLj,1
14652602370,theamandagraves I wish you would stop getting pregnant. How many percocet and Hoovers have you racked up on your PP frequent-flyer miles??,1
14011612927,"Funny how I was on morphine and percoset when I was pregnant, and I can't take a friggin' sudafed now.",1
12980726212,"Hey, I don't have to use the ""I'm pregnant"" excuse! I have the I have arthritis in my rib cartilage excuse! Super ouch, but yum percocet.",1
