tweet_id,tweet,class
757552074473242625,After 15 hours of being on pitocin then ... http://discussion.bloomapp.co/item?postid=lL7ZjeKxjZ pregnant thebloomapp baby mom,1
756970274382372864,"They started pitocin 3 hours ago, just c... http://discussion.bloomapp.co/item?postid=nVhry0Hmgd pregnant thebloomapp baby buy",1
744598476537749504,She introduced me to hypnobirthing in 2009 when I was pregnant with my first child. And I labored nearly 36 hours with pitocin.,1
735640148994457600,Can I get some OJ with my pitocin? I'm missing my morning mimosa for this *gestures at pregnant belly*,1
707410054287368192,Important information about Pitocin and breastfeeding that pregnant women need to know as they make informed... http://fb.me/7fWTT03y2,1
757552074473242625,After 15 hours of being on pitocin then ... http://discussion.bloomapp.co/item?postid=lL7ZjeKxjZ pregnant thebloomapp baby mom,1
756970274382372864,"They started pitocin 3 hours ago, just c... http://discussion.bloomapp.co/item?postid=nVhry0Hmgd pregnant thebloomapp baby buy",1
744598476537749504,She introduced me to hypnobirthing in 2009 when I was pregnant with my first child. And I labored nearly 36 hours with pitocin.,1
735640148994457600,Can I get some OJ with my pitocin? I'm missing my morning mimosa for this *gestures at pregnant belly*,1
707410054287368192,Important information about Pitocin and breastfeeding that pregnant women need to know as they make informed... http://fb.me/7fWTT03y2,1
864581717620793344,"New video! 31 Weeks Pregnant | PITOCIN AFTER BIRTH, BABY NURSERY & COUNTING BABY KI... https://youtu.be/32DxVsNHJas vlogger youtube babybump",1
836950199729864705,"To all you pregnant giraffe stalkers out there...one word: Pitocin
giraffewatch",1
836792633745891329,WHY IS APRIL STILL PREGNANT!! Where's the PITOCIN,1
835691697417961474,Well the giraffe is still pregnant. Someone give that girl a pitocin drip and let's get this show on the road.AprilTheGiraffe giraffewatch,1
833789361401581570,"Something for our beautiful pregnant moms to begin looking into before the big day. ""Pitocin Is Linked to... http://fb.me/8th9mbq2i",1
826818023768088578,A study published suggests that pregnant women who receive synthetic oxytocin (Pitocin) during or shortly after... http://fb.me/1MG6oU8y6,1
807121430290821121,Learn the difference between oxytocin and pitocin. Find ante-natal classes near you. Pregnancy Birth SouthAfrica http://www.thebirthdirectory.co.za,1
864581717620793344,"New video! 31 Weeks Pregnant | PITOCIN AFTER BIRTH, BABY NURSERY & COUNTING BABY KI... https://youtu.be/32DxVsNHJas vlogger youtube babybump",1
836950199729864705,"To all you pregnant giraffe stalkers out there...one word: Pitocin
giraffewatch",1
836792633745891329,WHY IS APRIL STILL PREGNANT!! Where's the PITOCIN,1
835691697417961474,Well the giraffe is still pregnant. Someone give that girl a pitocin drip and let's get this show on the road.AprilTheGiraffe giraffewatch,1
833789361401581570,"Something for our beautiful pregnant moms to begin looking into before the big day. ""Pitocin Is Linked to... http://fb.me/8th9mbq2i",1
826818023768088578,A study published suggests that pregnant women who receive synthetic oxytocin (Pitocin) during or shortly after... http://fb.me/1MG6oU8y6,1
807121430290821121,Learn the difference between oxytocin and pitocin. Find ante-natal classes near you. Pregnancy Birth SouthAfrica http://www.thebirthdirectory.co.za,1
671382934100836352,"And I really wanted to avoid pitocin. I've been the easiest pregnant lady, but that is wearing thin here haha.",1
634389294518534144,funny how charleydavidson & I are pregnant at the same time & at the same point in the pregnancy! I could go with Pitocin too :) Darynda,1
630059765792657409,"Pregnant Chidlbirth Doula 
PAPAYA AND PITOCIN Guest blog post from
Colleague Deb Flashenberg  Lamaze... http://fb.me/51mzUgdtG",1
625337416329527296,MountSinaiNYC How're your Obstetrics? When I toured the floor while pregnant in '94 I was told: and here is where you get your PITOCIN!,1
607682551881338880,Pitocin is not oxytocin Medical doctor discusses difference for pregnant women childbirth newborn breastfeeding https://plus.google.com/+BeautifulBelliesDoulaCareCa/posts,1
607612825297510400,Pitocin is not oxytocin. Medical doctor explains the difference for pregnant women   birth breastfeeding... http://fb.me/6EBXKHiK1,1
594923711196745728,laborpains epidural laboranddelivery mommytobe ftm newparents pitocin pregnancy pregnant by gypsy.meat pic.twitter.com/44Qo17jFAy,1
671382934100836352,"And I really wanted to avoid pitocin. I've been the easiest pregnant lady, but that is wearing thin here haha.",1
634389294518534144,funny how charleydavidson & I are pregnant at the same time & at the same point in the pregnancy! I could go with Pitocin too :) Darynda,1
630059765792657409,"Pregnant Chidlbirth Doula 
PAPAYA AND PITOCIN Guest blog post from
Colleague Deb Flashenberg  Lamaze... http://fb.me/51mzUgdtG",1
625337416329527296,MountSinaiNYC How're your Obstetrics? When I toured the floor while pregnant in '94 I was told: and here is where you get your PITOCIN!,1
607682551881338880,Pitocin is not oxytocin Medical doctor discusses difference for pregnant women childbirth newborn breastfeeding https://plus.google.com/+BeautifulBelliesDoulaCareCa/posts,1
607612825297510400,Pitocin is not oxytocin. Medical doctor explains the difference for pregnant women   birth breastfeeding... http://fb.me/6EBXKHiK1,1
594923711196745728,laborpains epidural laboranddelivery mommytobe ftm newparents pitocin pregnancy pregnant by gypsy.meat pic.twitter.com/44Qo17jFAy,1
1604419776,pregnant wife + pitocin = baby soon - sometime today,1
1190728243,schatze78 she's due today maybe she's gone crazy with being pregnant so long. If you catch me in something like that shoot me w/pitocin.,1
1604419776,pregnant wife + pitocin = baby soon - sometime today,1
1190728243,schatze78 she's due today maybe she's gone crazy with being pregnant so long. If you catch me in something like that shoot me w/pitocin.,1
1048643602119905282,"I didnt either, thats why I was out there lunging up stairs at 39 weeks pregnant 

My water didnt fully break though, so they had to break it. They then proceeded to tell me that my contractions were so large and strong it looked like they had given me Pitocin ",1
1047807223160868864,Still pregnant... and since Sunday is my due date Im gonna keep walking cuz they aint finna cut me nor are they going to try and give me pitocin. Ill take the natural way thank you.,1
1038060091386290176,This girl in my Human Growth & Development class didnt know what Pitocin was & all I could think was she must have never watched 16 & Pregnant. Lol,1
1029194790938791937,She had absolutely no complications. Just about every pregnant woman gets pitocin and little tricks to get things moving and there are millions of women who come extremely close to a C-section but don't end up needing one. please stop with inventing drama where there is none.,1
1029134392210280449,Watching all the 16 and pregnant and young and pregnant moms give birth is so sad to me. I can predict how each one of their labours is going and how they get bullied by their care providers and scared into cesareans or pitocin. ,1
1019934380385546240,Very long but please read if you are pregnant or plan to have a child. informedconsent pitocin https://www.facebook.com/story.php?story_fbid=10155853830738512&id=562943511,1
1019871449744539648,281| Getting Pregnant with Sperm Donor & Positive Pitocin Induced Birth - Lauren Hecht: http://youtu.be/af9W8eH5haE?a via YouTube,1
1019869677680504832,281| Getting Pregnant with Sperm Donor & Positive Pitocin Induced Birth - Lauren Hecht https://wp.me/p7rzNL-36q,1
1011410460871184385,"this is Pitocin, a synthetic form of Oxytocin used to promote labor in pregnant women. Without insurance this pill costs $56,000!!!
REFORMhealthcareNow!!!pic.twitter.com/q3QF1fxE0V",1
983029099055595520,"While pregnant...
No vaccines.
No ultrasounds unless truly medically necessary.(RARE)
No sugar test with glucose.
No induction.
No pitocin while laboring.
Eat if you please.
Walk around.
Laboring & birthing on your... https://www.facebook.com/vaccinetruth/posts/10155636714167989",1
968476148031197184,"Very interesting. As I said my induction was medically necessary, it did make contractions insane! I had pitocin. Didnt use an epidural. But is reassuring to hear risks of having to be induced may not be as bad. Im pregnant with my 2nd now so some good news.",1
1048643602119905282,"I didnt either, thats why I was out there lunging up stairs at 39 weeks pregnant 

My water didnt fully break though, so they had to break it. They then proceeded to tell me that my contractions were so large and strong it looked like they had given me Pitocin ",1
1047807223160868864,Still pregnant... and since Sunday is my due date Im gonna keep walking cuz they aint finna cut me nor are they going to try and give me pitocin. Ill take the natural way thank you.,1
1038060091386290176,This girl in my Human Growth & Development class didnt know what Pitocin was & all I could think was she must have never watched 16 & Pregnant. Lol,1
1029194790938791937,She had absolutely no complications. Just about every pregnant woman gets pitocin and little tricks to get things moving and there are millions of women who come extremely close to a C-section but don't end up needing one. please stop with inventing drama where there is none.,1
1029134392210280449,Watching all the 16 and pregnant and young and pregnant moms give birth is so sad to me. I can predict how each one of their labours is going and how they get bullied by their care providers and scared into cesareans or pitocin. ,1
1019934380385546240,Very long but please read if you are pregnant or plan to have a child. informedconsent pitocin https://www.facebook.com/story.php?story_fbid=10155853830738512&id=562943511,1
1019871449744539648,281| Getting Pregnant with Sperm Donor & Positive Pitocin Induced Birth - Lauren Hecht: http://youtu.be/af9W8eH5haE?a via YouTube,1
1019869677680504832,281| Getting Pregnant with Sperm Donor & Positive Pitocin Induced Birth - Lauren Hecht https://wp.me/p7rzNL-36q,1
1011410460871184385,"this is Pitocin, a synthetic form of Oxytocin used to promote labor in pregnant women. Without insurance this pill costs $56,000!!!
REFORMhealthcareNow!!!pic.twitter.com/q3QF1fxE0V",1
983029099055595520,"While pregnant...
No vaccines.
No ultrasounds unless truly medically necessary.(RARE)
No sugar test with glucose.
No induction.
No pitocin while laboring.
Eat if you please.
Walk around.
Laboring & birthing on your... https://www.facebook.com/vaccinetruth/posts/10155636714167989",1
968476148031197184,"Very interesting. As I said my induction was medically necessary, it did make contractions insane! I had pitocin. Didnt use an epidural. But is reassuring to hear risks of having to be induced may not be as bad. Im pregnant with my 2nd now so some good news.",1
569233754578817024,Just so we're clear they only given pitocin to pregnant women?,1
