tweet_id,tweet,class
775406943988920320,My religion doesn't believe in using sedatives to keep from getting pregnant.,1
759217804788785153,"Steve ran and caught her just before she fell. "" Great she's pregnant and they gave her sedatives,"" he mumbled angrily",1
708740711609475072,A 14 year old was ganged raped and is now 12 weeks pregnant. I have to gain her trust. We don't have sedatives to give her. TrappedMovie,1
688148748828934144,I read a report where Autism is caused by mother taking nausea&nerve pills or sedatives while pregnant So Mothers STOPDo not take any pills,1
775406943988920320,My religion doesn't believe in using sedatives to keep from getting pregnant.,1
759217804788785153,"Steve ran and caught her just before she fell. "" Great she's pregnant and they gave her sedatives,"" he mumbled angrily",1
708740711609475072,A 14 year old was ganged raped and is now 12 weeks pregnant. I have to gain her trust. We don't have sedatives to give her. TrappedMovie,1
688148748828934144,I read a report where Autism is caused by mother taking nausea&nerve pills or sedatives while pregnant So Mothers STOPDo not take any pills,1
940298441053192193,No we didnt weigh our car bc they packed our stuff! I actually flew home with mylee since I was hella pregnant  and Shae drove back with his brother and Penelope. She did fine! It was a 3000+ mile drive home so we did get sedatives for her when she needed it.,1
924327843160645632,If you're going to x-ray pregnant women may as well give them tons of sedatives too TCMParty,1
872368261727477761,"And man, though, when Toki wakes up from those sedatives, he'd be frantic...  He'd know that if he's not pregnant, he's not safe...",1
940298441053192193,No we didnt weigh our car bc they packed our stuff! I actually flew home with mylee since I was hella pregnant  and Shae drove back with his brother and Penelope. She did fine! It was a 3000+ mile drive home so we did get sedatives for her when she needed it.,1
924327843160645632,If you're going to x-ray pregnant women may as well give them tons of sedatives too TCMParty,1
872368261727477761,"And man, though, when Toki wakes up from those sedatives, he'd be frantic...  He'd know that if he's not pregnant, he's not safe...",1
6716516835,Frankincense and Myrrh were used as anti-inflammatories and sedatives for pregnant women! A great gift!!!     I gave my wife a camera...,1
5271733950,3amGraham I had Nurse Jackie dreams last night. I killed a pregnant model by giving her too many sedatives. Such a lovely dream,1
6716516835,Frankincense and Myrrh were used as anti-inflammatories and sedatives for pregnant women! A great gift!!!     I gave my wife a camera...,1
5271733950,3amGraham I had Nurse Jackie dreams last night. I killed a pregnant model by giving her too many sedatives. Such a lovely dream,1
398489214339145728,Do they make sedatives for pregnant women? I'm pretty sure I need one.,1
368565573120032768,"LiaraT_Broker CmRyanShep Hey DocChakwas, you have any sedatives safe for pregnant asari? Liara needs to cool down.",1
398489214339145728,Do they make sedatives for pregnant women? I'm pretty sure I need one.,1
368565573120032768,"LiaraT_Broker CmRyanShep Hey DocChakwas, you have any sedatives safe for pregnant asari? Liara needs to cool down.",1
587048028084666368,"Just double dosed a pregnant woman with sedatives. Better than her getting loose and jumping out of the rig on the freeway, or killing me.",1
582206667229683712,ZakesMda GarethCliff operated on a pregnant lady with no anaesthetic gases no painkillers no sedatives after the operation. Health diaries,1
556208038277701632,Thalidomide tragedy (1940-1960) pregnant women taking sedatives and their babies suffer deformities NUR3145pic.twitter.com/65mQqWNhZw,1
531464529751064576,the episode of blacklist where the doctor induced women with sedatives and got them pregnant hunts me man.,1
587048028084666368,"Just double dosed a pregnant woman with sedatives. Better than her getting loose and jumping out of the rig on the freeway, or killing me.",1
582206667229683712,ZakesMda GarethCliff operated on a pregnant lady with no anaesthetic gases no painkillers no sedatives after the operation. Health diaries,1
556208038277701632,Thalidomide tragedy (1940-1960) pregnant women taking sedatives and their babies suffer deformities NUR3145pic.twitter.com/65mQqWNhZw,1
531464529751064576,the episode of blacklist where the doctor induced women with sedatives and got them pregnant hunts me man.,1
110911059874942976,What a crappy way to find out you are pregnant?...when getting sedatives for the husband who you just lost when he drowned!,1
82563324356730880,"MayorBurnsy: If you ask me, not getting a girl pregnant should be celebrated more.",1
65438099257294848,JimGaffigan that doesn't make you a bad guy. My coworkers and I used to take bets on who could make the pregnant girl  work cry first.,1
42027866442960896,RT carohwash: whatever pregnant sedatives natalie's on - i want.,1
42026891225464832,Natalie shouldn't have taken sedatives! She's pregnant for goodness sake.,1
110911059874942976,What a crappy way to find out you are pregnant?...when getting sedatives for the husband who you just lost when he drowned!,1
82563324356730880,"MayorBurnsy: If you ask me, not getting a girl pregnant should be celebrated more.",1
65438099257294848,JimGaffigan that doesn't make you a bad guy. My coworkers and I used to take bets on who could make the pregnant girl  work cry first.,1
42027866442960896,RT carohwash: whatever pregnant sedatives natalie's on - i want.,1
42026891225464832,Natalie shouldn't have taken sedatives! She's pregnant for goodness sake.,1
262992732073631745,"iNews9k BLOG: ""Mourdock proposes free sedatives & housing for pregnant rape victims"" http://ow.ly/1PeDnK",1
262807136889876480,"iNews9k BLOG Preview: 
""Mourdock proposes free sedatives & housing for pregnant rape victims."" Subscribe in gReader: http://bit.ly/wiselinegr",1
262992732073631745,"iNews9k BLOG: ""Mourdock proposes free sedatives & housing for pregnant rape victims"" http://ow.ly/1PeDnK",1
262807136889876480,"iNews9k BLOG Preview: 
""Mourdock proposes free sedatives & housing for pregnant rape victims."" Subscribe in gReader: http://bit.ly/wiselinegr",1
626788240343859200,"The girl had become pregnant in February after she visited a doctor, who injected her with sedatives and raped her.  https://twitter.com/JantaKaReporter/status/626724578752991232",1
616738485832130560,"Apparently I'm as useful as ""penguin sedatives on a pregnant elephant""",1
626788240343859200,"The girl had become pregnant in February after she visited a doctor, who injected her with sedatives and raped her.  https://twitter.com/JantaKaReporter/status/626724578752991232",1
616738485832130560,"Apparently I'm as useful as ""penguin sedatives on a pregnant elephant""",1
27287394570997760,Wishes possibly pregnant women could take sedatives so they could stop thinking about being possibly pregnant,1
21295185837166593,helencairns like woahwoahwoahWHUT he's giving a 9m pregnant girl sedatives??,1
9858618715275264,UGH..I wish they made sedatives for pregnant people :(,1
21938334204,New Blog post Only Pregnant Women And Nursing Moms Are Not Allowed To Take Oral Sedatives  http://bit.ly/aeZDB2 ...,1
27287394570997760,Wishes possibly pregnant women could take sedatives so they could stop thinking about being possibly pregnant,1
21295185837166593,helencairns like woahwoahwoahWHUT he's giving a 9m pregnant girl sedatives??,1
9858618715275264,UGH..I wish they made sedatives for pregnant people :(,1
21938334204,New Blog post Only Pregnant Women And Nursing Moms Are Not Allowed To Take Oral Sedatives  http://bit.ly/aeZDB2 ...,1
829499098701103104,"sedatives in less than 3 years or pregnant women in their third trimester for three hours are highly discouraged 

http://www.nejm.org/doi/full/10.1056/NEJMp1700196",1
818835017799528448,FDA warns on anesthesia and sedatives use in pregnant women and children. http://bit.ly/2hZpp9Ypic.twitter.com/yob77cN3Nh,1
