tweet_id,tweet,class
3665337068,Supplementation Tips for Pregnant Dogs Dog Pregnancy http://bit.ly/UUIpL,1
2779286364,Pregnant? Supplementation with Omega-3 Fatty Acids May Protect Against Hyperlipidemia-Induced Pancreatitis. http://epic4health.blogspot.com/,1
2326908471,Supplementation with L-Carnitine May Benefit Pregnant Women. More information at: http://epic4health.blogspot.com/,1
1838413487,Ginger Supplementation May Alleviate Nausea and Vomiting in Pregnant Women. More information at: http://epic4health.blogspot.com/,1
1690856423,Folic acid fortification and supplementation questioned | Current ...: A woman who becomes pregnant is prescribe.. http://tinyurl.com/d9xeyz,1
1690507040,Folic acid fortification and supplementation questioned | Current ...: A woman who becomes pregnant is prescribe.. http://bit.ly/1avAHz,1
3665337068,Supplementation Tips for Pregnant Dogs Dog Pregnancy http://bit.ly/UUIpL,1
2779286364,Pregnant? Supplementation with Omega-3 Fatty Acids May Protect Against Hyperlipidemia-Induced Pancreatitis. http://epic4health.blogspot.com/,1
2326908471,Supplementation with L-Carnitine May Benefit Pregnant Women. More information at: http://epic4health.blogspot.com/,1
1838413487,Ginger Supplementation May Alleviate Nausea and Vomiting in Pregnant Women. More information at: http://epic4health.blogspot.com/,1
1690856423,Folic acid fortification and supplementation questioned | Current ...: A woman who becomes pregnant is prescribe.. http://tinyurl.com/d9xeyz,1
1690507040,Folic acid fortification and supplementation questioned | Current ...: A woman who becomes pregnant is prescribe.. http://bit.ly/1avAHz,1
13994079714,Many Pregnant Woman Not Getting Enough Vitamin D: Simple blood test could spot those who need more supplementation... http://bit.ly/bnhCmX,1
13994079308,Many Pregnant Woman Not Getting Enough Vitamin D: Simple blood test could spot those who need more supplementation... http://bit.ly/bnhCmX,1
13986564691,"Many Pregnant Woman Not Getting Enough Vitamin D: Simple blood test could spot those who need more supplementation, study suggests Source",1
13972751493,"Many Pregnant Woman Not Getting Enough Vitamin D Simple blood test could spot those who need more supplementation,... http://bit.ly/aivf6T",1
13841732931,"New Recommendation: Iodine Supplementation Essential for Pregnant and Breastfeeding Women

Iodine is an essential... http://bit.ly/aLQSeQ",1
13490725790,women news High-Dose Supplementation With Vitamin D Is Safe and Effective in Pregnant Women: Presented at PAS: http://url4.eu/3BwAR,1
13471630454,High-Dose Supplementation With Vitamin D Is Safe and Effective in Pregnant ...: By Sandra Distelhorst VANCOUVER --... http://bit.ly/9oQB9e,1
13470440843,http://434012bwxvs6t High-Dose Supplementation With Vitamin D Is Safe and Effective in Pregnant ... - DG News http://bit.ly/92TNHH,1
13417086957,Pregnancy news & art-  Vitamin A supplementation 'does not reduce maternal mortality' - Oneindia http://url4.eu/3AoDT,1
13324174117,Recent study on vitamin D supplementation and pregnant women... http://bit.ly/aXPddX,1
12897332223,"Effects of iron supplementation in nonanemic pregnant women, infants, and young children on the mental perform... http://bit.ly/c5rs5O PSY",1
12726359065,"Effects of iron supplementation in nonanemic pregnant women, infants, and young children on the mental ... http://bit.ly/d1zKqx GM mdlinx",1
12704628183,"women news Effects of iron supplementation in nonanemic pregnant women, infants, and young children on the http://url4.eu/2sbhj",1
12693377876,"Effects of iron supplementation in nonanemic pregnant women, infants, and young children on the mental perfor... http://bit.ly/dbE9zw peds",1
12692844203,"Effects of iron supplementation in nonanemic pregnant women, infants, and young children on the mental performance... http://bit.ly/b8hHNd",1
12643925661,Iodine supplementation is recommended in pregnant & lactating women (150 mcg/day),1
12400979570,women news Iodine deficiency in Australia: is iodine supplementation for pregnant and lactating women http://url4.eu/2krYX,1
10302811056,New Blog post Can i get pregnant when my husband is on thyroid supplementation?  http://bit.ly/aw6lZE ...,1
10226513178,New: Iodine supplementation associated with thyroid dysfunction during first ... - Endocrine Today http://bit.ly/bjoagV,1
9991936632,If the Director of IVF Australia Dr Ric Gordon recommends iodine supplementation for pregnant women dont you think Bonsoy is ok?? Seriously,1
13994079714,Many Pregnant Woman Not Getting Enough Vitamin D: Simple blood test could spot those who need more supplementation... http://bit.ly/bnhCmX,1
13994079308,Many Pregnant Woman Not Getting Enough Vitamin D: Simple blood test could spot those who need more supplementation... http://bit.ly/bnhCmX,1
13986564691,"Many Pregnant Woman Not Getting Enough Vitamin D: Simple blood test could spot those who need more supplementation, study suggests Source",1
13972751493,"Many Pregnant Woman Not Getting Enough Vitamin D Simple blood test could spot those who need more supplementation,... http://bit.ly/aivf6T",1
13841732931,"New Recommendation: Iodine Supplementation Essential for Pregnant and Breastfeeding Women

Iodine is an essential... http://bit.ly/aLQSeQ",1
13490725790,women news High-Dose Supplementation With Vitamin D Is Safe and Effective in Pregnant Women: Presented at PAS: http://url4.eu/3BwAR,1
13471630454,High-Dose Supplementation With Vitamin D Is Safe and Effective in Pregnant ...: By Sandra Distelhorst VANCOUVER --... http://bit.ly/9oQB9e,1
13470440843,http://434012bwxvs6t High-Dose Supplementation With Vitamin D Is Safe and Effective in Pregnant ... - DG News http://bit.ly/92TNHH,1
13417086957,Pregnancy news & art-  Vitamin A supplementation 'does not reduce maternal mortality' - Oneindia http://url4.eu/3AoDT,1
13324174117,Recent study on vitamin D supplementation and pregnant women... http://bit.ly/aXPddX,1
12897332223,"Effects of iron supplementation in nonanemic pregnant women, infants, and young children on the mental perform... http://bit.ly/c5rs5O PSY",1
12726359065,"Effects of iron supplementation in nonanemic pregnant women, infants, and young children on the mental ... http://bit.ly/d1zKqx GM mdlinx",1
12704628183,"women news Effects of iron supplementation in nonanemic pregnant women, infants, and young children on the http://url4.eu/2sbhj",1
12693377876,"Effects of iron supplementation in nonanemic pregnant women, infants, and young children on the mental perfor... http://bit.ly/dbE9zw peds",1
12692844203,"Effects of iron supplementation in nonanemic pregnant women, infants, and young children on the mental performance... http://bit.ly/b8hHNd",1
12643925661,Iodine supplementation is recommended in pregnant & lactating women (150 mcg/day),1
12400979570,women news Iodine deficiency in Australia: is iodine supplementation for pregnant and lactating women http://url4.eu/2krYX,1
10302811056,New Blog post Can i get pregnant when my husband is on thyroid supplementation?  http://bit.ly/aw6lZE ...,1
10226513178,New: Iodine supplementation associated with thyroid dysfunction during first ... - Endocrine Today http://bit.ly/bjoagV,1
9991936632,If the Director of IVF Australia Dr Ric Gordon recommends iodine supplementation for pregnant women dont you think Bonsoy is ok?? Seriously,1
7256925457,Apparently Folic acid supplementation is very dangerous esp to pregnant women,1
6079648668,"[VEGF] Maternal selenium supplementation and timing of nutrient restriction in pregnant sheep: Impacts.. http://bit.ly/5ksMey
 PM",1
6078857424,"[PlGF] Maternal selenium supplementation and timing of nutrient restriction in pregnant sheep: Impac.. http://bit.ly/5ksMey
 [PM]",1
5146776380,Supplementation for pregnant and breastfeeding women with Moringa http://bit.ly/2aDNYu,1
4567749314,"Nutritional Guide for Pregnant Women: Aside from supplementation, other nutritional recommendations for pregnan.. http://bit.ly/1TDEkf",1
