tweet_id,tweet,class
215242184033701889,imm12 JulieLeask A local champion in Tamworth played a HUGE roll in improving vacc uptake in pregnant women,1
176205000182210560,"imuvac: have a pregnant pt for flu vacc next week, she will be 14 weeks pregnant, all our flu vaccs used up, hav... http://bit.ly/yJBmZR",1
152444974603051008,Swine flu vacc and pregnant?: Swine flu vacc and pregnant? Im sixteen weeks pregnant and the swine flu vacc is... http://dlvr.it/12hL4q,1
145992875321196545,Pandemic flu vaccine protected pregnant women Yahoo News: From Yahoo! News: NEW YORK (Reuters Health) - The vacc... http://bit.ly/u6lYuH,1
145992873186304000,Pandemic flu vaccine protected pregnant women Yahoo News: From Yahoo! News: NEW YORK (Reuters Health) - The vacc... http://bit.ly/tygVex,1
145991398003445760,Pandemic flu vaccine protected pregnant women Yahoo News: From Yahoo! News: NEW YORK (Reuters Health) - The vacc... http://bit.ly/udt5Z7,1
215242184033701889,imm12 JulieLeask A local champion in Tamworth played a HUGE roll in improving vacc uptake in pregnant women,1
176205000182210560,"imuvac: have a pregnant pt for flu vacc next week, she will be 14 weeks pregnant, all our flu vaccs used up, hav... http://bit.ly/yJBmZR",1
152444974603051008,Swine flu vacc and pregnant?: Swine flu vacc and pregnant? Im sixteen weeks pregnant and the swine flu vacc is... http://dlvr.it/12hL4q,1
145992875321196545,Pandemic flu vaccine protected pregnant women Yahoo News: From Yahoo! News: NEW YORK (Reuters Health) - The vacc... http://bit.ly/u6lYuH,1
145992873186304000,Pandemic flu vaccine protected pregnant women Yahoo News: From Yahoo! News: NEW YORK (Reuters Health) - The vacc... http://bit.ly/tygVex,1
145991398003445760,Pandemic flu vaccine protected pregnant women Yahoo News: From Yahoo! News: NEW YORK (Reuters Health) - The vacc... http://bit.ly/udt5Z7,1
28428866397675520,"If you're pregnant, wondering whether to get swine flu vacc, watch this: http://bit.ly/gpy5qS My friend Audrey nearly died, harrowing story",1
26394620388704256,Only 30% pregnant women had swineflu vacc. My pregnant partner had last week with no Ill effect. Suspect usual irrational vacc. fears,1
23381558245199872,Havering swine flu update: Pregnant woman seriously ill: HEALTH experts are urging vulnerable people to get vacc... http://bit.ly/fwSTqI,1
23381557280509952,Havering swine flu update: Pregnant woman seriously ill: HEALTH experts are urging vulnerable people to get vacc... http://bit.ly/hEsWJP,1
20265971063197697,"RT: pamblundell Get flu jab if you can. Over 65s, pregnant women, & vulnerable people. Flu is killer, & there has been lower uptake of vacc",1
15169989552111619,"Joedan_dilemma Brown3y3d_Mummy Yes pregnant women should have been in the first wave offered vacc's but its not too late to get one now, x",1
29028086728,"So, I've been instructed to get a flu shot.  Never wanted to in the past.  Anyone have any thoughts about being pregnant and getting vacc.",1
27018338734,"MyFirstPregnancy.net Flu shots for pregnant women protect babies, too: BOTTOM LINE: Babies whose mothers were vacc... http://bit.ly/8YHEPZ",1
26675359751,CDC Recommends Flu Shots for All Ages: The emphasis on pregnant women is particularly important since the flu vacc... http://bit.ly/9vm4L2,1
26428114604,TannersDad AgeofAutism I don't know but re:the flu vacc in pregnant mothers is said 2incr newborn antibodies;but mostly natural antibodies,1
28428866397675520,"If you're pregnant, wondering whether to get swine flu vacc, watch this: http://bit.ly/gpy5qS My friend Audrey nearly died, harrowing story",1
26394620388704256,Only 30% pregnant women had swineflu vacc. My pregnant partner had last week with no Ill effect. Suspect usual irrational vacc. fears,1
23381558245199872,Havering swine flu update: Pregnant woman seriously ill: HEALTH experts are urging vulnerable people to get vacc... http://bit.ly/fwSTqI,1
23381557280509952,Havering swine flu update: Pregnant woman seriously ill: HEALTH experts are urging vulnerable people to get vacc... http://bit.ly/hEsWJP,1
20265971063197697,"RT: pamblundell Get flu jab if you can. Over 65s, pregnant women, & vulnerable people. Flu is killer, & there has been lower uptake of vacc",1
15169989552111619,"Joedan_dilemma Brown3y3d_Mummy Yes pregnant women should have been in the first wave offered vacc's but its not too late to get one now, x",1
29028086728,"So, I've been instructed to get a flu shot.  Never wanted to in the past.  Anyone have any thoughts about being pregnant and getting vacc.",1
27018338734,"MyFirstPregnancy.net Flu shots for pregnant women protect babies, too: BOTTOM LINE: Babies whose mothers were vacc... http://bit.ly/8YHEPZ",1
26675359751,CDC Recommends Flu Shots for All Ages: The emphasis on pregnant women is particularly important since the flu vacc... http://bit.ly/9vm4L2,1
26428114604,TannersDad AgeofAutism I don't know but re:the flu vacc in pregnant mothers is said 2incr newborn antibodies;but mostly natural antibodies,1
870170039319580672,Ooh. You got me there. I didn't know about adult vacc other than pregnant women,1
860099530292842496,"do you deny, vacc 100% of the pregnant women in Brazil in May at 20 weeks, may have had something to do with the sick babies born in Oct?",1
