tweet_id,tweet,class
127419044843356161,"stapledee I don't know why I think this, but aren't vaccinations bad if you are pregnant?  My medical degree is a bit out of date...",1
126098949554704384,How do you feel about giving vaccinations to pregnant women? http://fb.me/1kkwxxQJE,1
122481107160674304,100s of pregnant women/lactating mothers from Guinea invade Sierra Leone 4 free polio vaccinations http://news.sl/drwebsite/publish/article_200518863.shtml,1
121824967158534144,Moms Council: Do You Support Kids Getting Flu Vaccinations?: My PCP and OB/GYN urged all of their pregnant patie... http://bit.ly/n8WqVV,1
121746935064436737,Moms Council: Do You Support Kids Getting Flu Vaccinations?: My PCP and OB/GYN urged all of their pregnant... http://bit.ly/qpHGIo h1n1,1
117180010208571393,"Flu vaccinations available from Oct. Pregnant, 65+ or have a long term health condition? You need the jab. http://ow.ly/67exB flufighter",1
116859357228040192,COCOnoloso Damn is everybody pregnant?!?-- seems Tht way but not I!!! I got my vaccinations for Tht disease lol,1
116181339027419136,"Today on 10/11 News at Noon, if you are pregnant or planning pregnancy, it's important to be up to date with vaccinations.  More today.",1
115849228554743808,"psankar sth related with parents (a Dr.!) skipping vaccinations because ""+ natural"". Child care. Varicella and pregnant women.",1
115205076276097024,"lufian however, pregnant women are not recommended to get most vaccinations, Benjamin said. http://goo.gl/VleNA",1
114106216824844288,"IVFthis I'm not normally a huge fan of vaccinations (there's so many unknowns), however I won't mess when pregnant. http://www.babycenter.com/404_is-it-safe-to-get-a-flu-shot-when-im-pregnant_2488.bc",1
113923073249525760,For the NHS guidelines on Flu vaccinations and at risk groups such as pregnant women please follow the link:... http://fb.me/10H9Ucghu,1
113638984852307968,Flu Season Vaccinations? Will you or won't you? What about if your pregnant? blogfrog  discussion.,1
113610248757059585,"Flu vaccinations available from Oct. Pregnant, 65+ or have a long term health condition? You need the jab. http://ow.ly/67exB flufighter",1
112530787433324546,"NHSManchester: Flu vaccinations available from Oct. Pregnant, 65+ or have long term health condition? u need the jab.  http://ow.ly/67exB",1
112506921071812608,"Flu vaccinations available from Oct. Pregnant, 65+ or have a long term health condition? You need the jab.  http://ow.ly/67exB flufighter",1
112146017952083968,"Flu vaccinations available from Oct.  Pregnant, 65+ or have a long term health condition? You need the jab. http://ow.ly/67exB flufighter",1
112145662195404800,"Flu vaccinations available from Oct. Pregnant, 65+ or have a long term health condition? You need the jab. http://bit.ly/prCxwP flufighter",1
112140577348386817,"Flu vaccinations available from Oct.  Pregnant, 65+ or have a long term health condition? You need the jab. http://ow.ly/67exB flufighter",1
112133236204908544,"Flu vaccinations available from October.  Pregnant, over 65 or have a long term health condition? You need the jab. See http://ow.ly/67exB",1
127419044843356161,"stapledee I don't know why I think this, but aren't vaccinations bad if you are pregnant?  My medical degree is a bit out of date...",1
126098949554704384,How do you feel about giving vaccinations to pregnant women? http://fb.me/1kkwxxQJE,1
122481107160674304,100s of pregnant women/lactating mothers from Guinea invade Sierra Leone 4 free polio vaccinations http://news.sl/drwebsite/publish/article_200518863.shtml,1
121824967158534144,Moms Council: Do You Support Kids Getting Flu Vaccinations?: My PCP and OB/GYN urged all of their pregnant patie... http://bit.ly/n8WqVV,1
121746935064436737,Moms Council: Do You Support Kids Getting Flu Vaccinations?: My PCP and OB/GYN urged all of their pregnant... http://bit.ly/qpHGIo h1n1,1
117180010208571393,"Flu vaccinations available from Oct. Pregnant, 65+ or have a long term health condition? You need the jab. http://ow.ly/67exB flufighter",1
116859357228040192,COCOnoloso Damn is everybody pregnant?!?-- seems Tht way but not I!!! I got my vaccinations for Tht disease lol,1
116181339027419136,"Today on 10/11 News at Noon, if you are pregnant or planning pregnancy, it's important to be up to date with vaccinations.  More today.",1
115849228554743808,"psankar sth related with parents (a Dr.!) skipping vaccinations because ""+ natural"". Child care. Varicella and pregnant women.",1
115205076276097024,"lufian however, pregnant women are not recommended to get most vaccinations, Benjamin said. http://goo.gl/VleNA",1
114106216824844288,"IVFthis I'm not normally a huge fan of vaccinations (there's so many unknowns), however I won't mess when pregnant. http://www.babycenter.com/404_is-it-safe-to-get-a-flu-shot-when-im-pregnant_2488.bc",1
113923073249525760,For the NHS guidelines on Flu vaccinations and at risk groups such as pregnant women please follow the link:... http://fb.me/10H9Ucghu,1
113638984852307968,Flu Season Vaccinations? Will you or won't you? What about if your pregnant? blogfrog  discussion.,1
113610248757059585,"Flu vaccinations available from Oct. Pregnant, 65+ or have a long term health condition? You need the jab. http://ow.ly/67exB flufighter",1
112530787433324546,"NHSManchester: Flu vaccinations available from Oct. Pregnant, 65+ or have long term health condition? u need the jab.  http://ow.ly/67exB",1
