tweet_id,tweet,class
1095238982,juliemotz There is a move to indemnify vaccine makers when they give pregnant women new vaccines. Our community is looking at that abuse,1
992133371,ny1 news- Campaign Encourages Pregnant Women To Get Flu Vaccine: A new campaign is in place .. http://tinyurl.com/6ateau,1
952685661,"Filling out the fu vaccine consent form, one of the questions is ""Are you pregnant or breastfeeding?""  Should I check yes?",1
949546053,a clinical trial has shown that pregnant women who receive the influenza vaccine provide immunity to their newborns as well.,1
949071354,Vital Signs: Treatment: Flu Vaccine for Pregnant Women Is 2 for 1 http://tinyurl.com/4783ob,1
948691383,Vital Signs: Flu Vaccine for Pregnant Women Is 2 for 1 http://tinyurl.com/4783ob,1
936058101,"An Option: Flu Vaccines Without Mercury-Based Thimerosal: 
 As health groups urge pregnant women to get va.. http://snipr.com/3v7ko",1
833003259,Also went to post office and bought vaccines. Mom and dad took Latina to the vet in the morning and she isn't pregnant :(,1
1095238982,juliemotz There is a move to indemnify vaccine makers when they give pregnant women new vaccines. Our community is looking at that abuse,1
992133371,ny1 news- Campaign Encourages Pregnant Women To Get Flu Vaccine: A new campaign is in place .. http://tinyurl.com/6ateau,1
952685661,"Filling out the fu vaccine consent form, one of the questions is ""Are you pregnant or breastfeeding?""  Should I check yes?",1
949546053,a clinical trial has shown that pregnant women who receive the influenza vaccine provide immunity to their newborns as well.,1
949071354,Vital Signs: Treatment: Flu Vaccine for Pregnant Women Is 2 for 1 http://tinyurl.com/4783ob,1
948691383,Vital Signs: Flu Vaccine for Pregnant Women Is 2 for 1 http://tinyurl.com/4783ob,1
936058101,"An Option: Flu Vaccines Without Mercury-Based Thimerosal: 
 As health groups urge pregnant women to get va.. http://snipr.com/3v7ko",1
833003259,Also went to post office and bought vaccines. Mom and dad took Latina to the vet in the morning and she isn't pregnant :(,1
4090789858,women H1N1 vaccine and pregnant women http://bit.ly/44thta,1
4090708911,H1N1 vaccine and pregnant women http://bit.ly/tr8tt,1
4090659687,"Take that you swine flu!!! 2009 H1N1 influenza vaccine in pregnant women is launching this week, http://bit.ly/6x7lf",1
4090347439,http://434012bwxvs6t H1N1 vaccine and pregnant women - MyFox Tampa Bay http://bit.ly/1FD6P,1
4090082669,H1N1 Vaccine with Mercury and Squalene Pushed on Pregnant Women http://bit.ly/2mdG7T,1
4089474549,RT:Swine flu vaccine mist to be available at start of Oct. It's OK'd for ages 3-48 only & not pregnant women. http://bit.ly/VAM4R (la times),1
4089379322,CDC: 'Manufacturers will produce preservative-free seasonal and 2009 H1N1 influenza vaccines in single dose syringes for pregnant women.',1
4089374571,RT: LATimes Swine flu vaccine mist to be available at start of Oct. It's OK'd for ages 3-48 only & not pregnant women. http://bit.ly/VAM4R,1
4089314380,"PandemicFlu.gov: 2009 H1N1 Influenza Vaccine and Pregnant Women: Questions a.. http://bit.ly/yF8iJ
 http://bit.ly/E4uoV",1
4089308048,Swine Flu UPDATE 2009 H1N1 Influenza Vaccine and Pregnant Women: Questions and Answers about 2009 H1N1 .. http://bit.ly/180Vav,1
4089285566,Swine Flu UPDATE 2009 H1N1 Influenza Vaccine and Pregnant Women: Questions and Answers about 2009 H1N1 .. http://bit.ly/180Vav,1
4089249390,CDC update: H1N1 Vaccine and Pregnant Women: Questions/Answers for all http://bit.ly/8czyl pregnancy,1
4089110507,RT LATimes: Swine flu vaccine mist to be available at start of Oct. It's OK'd for ages 3-48 only & not pregnant women. http://bit.ly/VAM4R,1
4089096401,Half the CDC priority list can't get the first H1N1 vaccine b/c it's a live virus. Pregnant/diabetic/heart disease/AIDS? SOL til mid-Oct.,1
4088974184,RT LATimes: Swine flu vaccine mist to be available at start of Oct. It's OK'd for ages 3-48 only & not pregnant women. http://bit.ly/VAM4R,1
4088951155,Swine flu vaccine mist to be available at start of Oct. It's OK'd for ages 3-48 only &not pregnant women. http://bit.ly/VAM4R (via LATimes),1
4088930881,"Initial flu vaccine to be nasal spray for age 2-49; Live vaccine; Not for pregnant women, immune-compromised, asthmatics; Maybe 1st wk Oct.",1
4088925630,Swine flu vaccine mist to be available at start of Oct. It's OK'd for ages 3-48 only & not pregnant women. http://bit.ly/VAM4R,1
4088608345,UPDATE 2009 H1N1 Influenza Vaccine and Pregnant Women: Questions and Answers about 2009 H1N1 Influenza Vaccine a.. http://bit.ly/13iyup,1
4088587722,Pandemic Flu: 2009 H1N1 Influenza Vaccine and Pregnant Women: Questions and   Answers http://bit.ly/1bgMQU Full http://bit.ly/9IZhn,1
4090789858,women H1N1 vaccine and pregnant women http://bit.ly/44thta,1
4090708911,H1N1 vaccine and pregnant women http://bit.ly/tr8tt,1
4090659687,"Take that you swine flu!!! 2009 H1N1 influenza vaccine in pregnant women is launching this week, http://bit.ly/6x7lf",1
4090347439,http://434012bwxvs6t H1N1 vaccine and pregnant women - MyFox Tampa Bay http://bit.ly/1FD6P,1
4090082669,H1N1 Vaccine with Mercury and Squalene Pushed on Pregnant Women http://bit.ly/2mdG7T,1
4089474549,RT:Swine flu vaccine mist to be available at start of Oct. It's OK'd for ages 3-48 only & not pregnant women. http://bit.ly/VAM4R (la times),1
4089379322,CDC: 'Manufacturers will produce preservative-free seasonal and 2009 H1N1 influenza vaccines in single dose syringes for pregnant women.',1
4089374571,RT: LATimes Swine flu vaccine mist to be available at start of Oct. It's OK'd for ages 3-48 only & not pregnant women. http://bit.ly/VAM4R,1
4089314380,"PandemicFlu.gov: 2009 H1N1 Influenza Vaccine and Pregnant Women: Questions a.. http://bit.ly/yF8iJ
 http://bit.ly/E4uoV",1
4089308048,Swine Flu UPDATE 2009 H1N1 Influenza Vaccine and Pregnant Women: Questions and Answers about 2009 H1N1 .. http://bit.ly/180Vav,1
4089285566,Swine Flu UPDATE 2009 H1N1 Influenza Vaccine and Pregnant Women: Questions and Answers about 2009 H1N1 .. http://bit.ly/180Vav,1
4089249390,CDC update: H1N1 Vaccine and Pregnant Women: Questions/Answers for all http://bit.ly/8czyl pregnancy,1
4089110507,RT LATimes: Swine flu vaccine mist to be available at start of Oct. It's OK'd for ages 3-48 only & not pregnant women. http://bit.ly/VAM4R,1
4089096401,Half the CDC priority list can't get the first H1N1 vaccine b/c it's a live virus. Pregnant/diabetic/heart disease/AIDS? SOL til mid-Oct.,1
4088974184,RT LATimes: Swine flu vaccine mist to be available at start of Oct. It's OK'd for ages 3-48 only & not pregnant women. http://bit.ly/VAM4R,1
4088951155,Swine flu vaccine mist to be available at start of Oct. It's OK'd for ages 3-48 only &not pregnant women. http://bit.ly/VAM4R (via LATimes),1
