tweet_id,tweet,class
14740800738,"PIMP: Which are unsafe immunizations for pregnant patients? MMR, Polio, Yellow Fever, Varicella",1
10554523940,varicella infection im moms http://bit.ly/bbNJ3b  if a pregnant lady is seronegative,1
10489063264,NikkiCrick as for chickenpox- its worth asking as its nasty as an adult and can be nasty if pregnant. Get a varicella jab from your GP,1
4155923052,Thnx - How long is a while??  RT GeneralGadsden: Varicella vaccine makes u a live carrier. Please avoid pregnant women & babies 4 a while.,1
4154630120,dimeaglass Varicella vaccine makes you a live carrier for a short time. Please avoid pregnant women and babies for a little while.,1
14740800738,"PIMP: Which are unsafe immunizations for pregnant patients? MMR, Polio, Yellow Fever, Varicella",1
10554523940,varicella infection im moms http://bit.ly/bbNJ3b  if a pregnant lady is seronegative,1
10489063264,NikkiCrick as for chickenpox- its worth asking as its nasty as an adult and can be nasty if pregnant. Get a varicella jab from your GP,1
4155923052,Thnx - How long is a while??  RT GeneralGadsden: Varicella vaccine makes u a live carrier. Please avoid pregnant women & babies 4 a while.,1
4154630120,dimeaglass Varicella vaccine makes you a live carrier for a short time. Please avoid pregnant women and babies for a little while.,1
773586803228020736,"Be sure to get the flu, HPV, MMR, Tdap & varicella vaccines b 4 you become pregnant. Check here for info: http://bit.ly/2bFCqaI IMRelay",1
762817934913736704,Fun Fact: you can't get a varicella vaccine while you're pregnant  myluck,1
707200509443248128,"A9
pregnant patients should not receive varicella vaccine-> live vaccine->give varicella zoster immune globulin (VZIG) after exposure",1
705554206980239360,Q9 In what situation should a pregnant woman be given varicella vaccine?,1
691439220397883396,Transmission of varicella-vaccine virus from a healthy 12-month-old child to his pregnant mother http://paraven.net/transmission-of-varicella-vaccine-virus-from-a-healthy-12-month-old-child-to-his-pregnant-mother/ via joegooding,1
689937897043161088,"We do see microcephaly - at times - with some other viral diseases, Varicella, CMV. We just dont see so many pregnant women infected at once",1
773586803228020736,"Be sure to get the flu, HPV, MMR, Tdap & varicella vaccines b 4 you become pregnant. Check here for info: http://bit.ly/2bFCqaI IMRelay",1
762817934913736704,Fun Fact: you can't get a varicella vaccine while you're pregnant  myluck,1
707200509443248128,"A9
pregnant patients should not receive varicella vaccine-> live vaccine->give varicella zoster immune globulin (VZIG) after exposure",1
705554206980239360,Q9 In what situation should a pregnant woman be given varicella vaccine?,1
691439220397883396,Transmission of varicella-vaccine virus from a healthy 12-month-old child to his pregnant mother http://paraven.net/transmission-of-varicella-vaccine-virus-from-a-healthy-12-month-old-child-to-his-pregnant-mother/ via joegooding,1
689937897043161088,"We do see microcephaly - at times - with some other viral diseases, Varicella, CMV. We just dont see so many pregnant women infected at once",1
581305351821111296,diva_ex_machina missayme the problem is I have no immunity to varicella & being pregnant its quite dangerous for the fetus.,1
579305412618555392,"Phew CDC doesn't recommend MMR or Varicella for pregnant women.
All the other shots - not worried 
CDCWhistleblower
http://www.cdc.gov/vaccines/recs/vac-admin/contraindications-vacc.htm",1
573253982384222208,Transmission of varicella-vaccine virus from a healthy 12-month-old child to his pregnant mother.... http://fb.me/3SfE5ulZD,1
564993486332497920,TheCurrentCBC  Transmission of varicella-vaccine virus from a healthy 12-month-old child to his pregnant mother http://www.ncbi.nlm.nih.gov/pubmed/9255208,1
521684742731616258,Varicella Zoster pts arent advised to make contact with another pregnant pt,1
581305351821111296,diva_ex_machina missayme the problem is I have no immunity to varicella & being pregnant its quite dangerous for the fetus.,1
579305412618555392,"Phew CDC doesn't recommend MMR or Varicella for pregnant women.
All the other shots - not worried 
CDCWhistleblower
http://www.cdc.gov/vaccines/recs/vac-admin/contraindications-vacc.htm",1
573253982384222208,Transmission of varicella-vaccine virus from a healthy 12-month-old child to his pregnant mother.... http://fb.me/3SfE5ulZD,1
564993486332497920,TheCurrentCBC  Transmission of varicella-vaccine virus from a healthy 12-month-old child to his pregnant mother http://www.ncbi.nlm.nih.gov/pubmed/9255208,1
521684742731616258,Varicella Zoster pts arent advised to make contact with another pregnant pt,1
126188906835214337,"Just read about varicella in pregnant women,,I had that case yesterday.. Hopefully she & her baby are gonna be fine",1
115849228554743808,"psankar sth related with parents (a Dr.!) skipping vaccinations because ""+ natural"". Child care. Varicella and pregnant women.",1
111217320810131459,"primadonz Hi Donz, I didn't know you have chicken pox. I hope you're over 20 weeks pregnant. Did you tell your OB you have varicella?",1
92635992078561280,"Women should avoid becoming pregnant for 1 month after receiving a live attenuated vaccine (e.g., rubella or varicella) usmle",1
83157323954143232,didyouknow CDC says a woman should not get pregnant for 1 month after getting Varicella vaccine? So does that mean it could harm the baby?,1
75939265426620418,"pt gets varicella vaccine, tell him to avoid close contact with newborns, susceptible pregnant women and immunocompr people for one month",1
65507259014332416,Varicella in pregnant patients requires prompt approach: take a history.(Clinical Rounds): An article from: Skin &... http://dlvr.it/QWhvL,1
64419260390322176,Aggressive Action Urged to Protect Pregnant Women From Varicella.: An article from: Family Practice News: Aggressive... http://dlvr.it/QD7Hx,1
