tweet_id,tweet,class
107614462,"just awoke from a nap. yes, a nap. i am either 1- pregnant or 2- vitamin deficient. here's to hoping i'm not the virgin mary.",1
107614462,"just awoke from a nap. yes, a nap. i am either 1- pregnant or 2- vitamin deficient. here's to hoping i'm not the virgin mary.",1
796013051,"joiedevie So what if you pee standing up? If you ARE pregnant, you'll need pre-natal vitamins and to ALERT OPRAH.",1
792256887,"My pregnant sister's ensure + taho + painkillers with vitamin B complex = breakfast of the champions. Good morning, world.",1
748309072,"If you're pregnant, make sure to get enough protein, calcium and vitamins B12 and D. Hey vegetarians, this means you, too!",1
545125332,Article says pregnant women are being urged to take more vitamin D - helps babies with bone growth http://tinyurl.com/2m2pax,1
541866322,www.newestdiscovery.com update: Doctors fear rickets resurgence (Pregnant women must boost their vitamin D intake during winter to w...),1
540525672,www.newestdiscovery.com update: Doctors fear rickets resurgence (Pregnant women must boost their vitamin D intake during winter to w...),1
540102982,www.newestdiscovery.com update: Vitamin D urged in pregnant women (Pregnant women must boost their vitamin D intake during winter to...),1
539513592,www.newestdiscovery.com update: Vitamin D urged in pregnant women (Pregnant women must boost their vitamin D intake during winter to...),1
539490672,"Pregnant women must boost their vitamin D intake during winter to ward off rickets, says the government. http://tinyurl.com/yub2qn",1
539490252,"Pregnant women must boost their vitamin D intake during winter to ward off rickets, says the government. http://tinyurl.com/yub2qn",1
408933042,"In line picking up decongestant, tissue, lozenges, and vitamins for pregnant Eva. :(",1
342335642,i really need to switch the vitamins that i am taking.  these things make me feel like i am pregnant.,1
796013051,"joiedevie So what if you pee standing up? If you ARE pregnant, you'll need pre-natal vitamins and to ALERT OPRAH.",1
792256887,"My pregnant sister's ensure + taho + painkillers with vitamin B complex = breakfast of the champions. Good morning, world.",1
748309072,"If you're pregnant, make sure to get enough protein, calcium and vitamins B12 and D. Hey vegetarians, this means you, too!",1
545125332,Article says pregnant women are being urged to take more vitamin D - helps babies with bone growth http://tinyurl.com/2m2pax,1
541866322,www.newestdiscovery.com update: Doctors fear rickets resurgence (Pregnant women must boost their vitamin D intake during winter to w...),1
