tweet_id,tweet,class
664958845203013632,"Vits came up when I was pregnant.my midwife confirmed that my diet ws clean, but prenatals would be a good insurance policy gardenoflife",1
631979576017551360,"HerbThursday! Have a cuppa stinging nettle tea: rich in B vits, excellent for skin + stress, safe for pregnant mums! pic.twitter.com/FYQls91Z0J",1
631808802749292548,"SavseSmoothies madeleine_shaw_ Id love to give them to my pregnant daughter in law, she craves chilled juices! And great source of vits!",1
618766802361970688,"May not look like I'm pregnant yet but my shopping speaks volumes; cocoa butter, tea to help me poo, special vits and oily fish! pregnancy",1
618373277917048832,"LisaHeeney thx for the follow ur stuff look fab!! Pls RT http://bit.ly/1fjRh8b great for pregnant mums too - lots of vits, mins & antiox",1
607441726123278338,This man over heard me talking about my prenatal vits then gone say I knew you were pregnant. Your face a bit chubby no offense ,1
606021520931069952,"Pregnant women who exercise cut risk of diabetes, says study http://gu.com/p/49e44/stw",1
664958845203013632,"Vits came up when I was pregnant.my midwife confirmed that my diet ws clean, but prenatals would be a good insurance policy gardenoflife",1
631979576017551360,"HerbThursday! Have a cuppa stinging nettle tea: rich in B vits, excellent for skin + stress, safe for pregnant mums! pic.twitter.com/FYQls91Z0J",1
631808802749292548,"SavseSmoothies madeleine_shaw_ Id love to give them to my pregnant daughter in law, she craves chilled juices! And great source of vits!",1
618766802361970688,"May not look like I'm pregnant yet but my shopping speaks volumes; cocoa butter, tea to help me poo, special vits and oily fish! pregnancy",1
618373277917048832,"LisaHeeney thx for the follow ur stuff look fab!! Pls RT http://bit.ly/1fjRh8b great for pregnant mums too - lots of vits, mins & antiox",1
607441726123278338,This man over heard me talking about my prenatal vits then gone say I knew you were pregnant. Your face a bit chubby no offense ,1
606021520931069952,"Pregnant women who exercise cut risk of diabetes, says study http://gu.com/p/49e44/stw",1
13924751135,only1barbz prenatal vits while your not pregnant can cause you to have thyroid problems if your not pregnant,1
13386056112,"LicklePickle but as soon as I found out I was pregnant, couple of days before period due, I started taking mum to be vits from boots",1
13203122009,"RT  DrVes ""Pregnant women need to take 4,000 IU of vitamin D a day"" (10x rec.dose) much conflicting evidence re vits... http://goo.gl/WWFV",1
11352301951,"lexi5983 not sure If she is pregnant, you can take per Natal vits while you're trying to get prego.",1
10802234348,LMFAO! Urrmmm I'm assuming ur not pregnant cause ur on birth control but why the prenatal vits?! :uhh: RT (cont) http://tl.gd/ink1f,1
7750956409,heatherdavis04 Is it no caffeine while pregnant? I would hate that.  Did they switch your vits to prenatals or up them?,1
13924751135,only1barbz prenatal vits while your not pregnant can cause you to have thyroid problems if your not pregnant,1
13386056112,"LicklePickle but as soon as I found out I was pregnant, couple of days before period due, I started taking mum to be vits from boots",1
13203122009,"RT  DrVes ""Pregnant women need to take 4,000 IU of vitamin D a day"" (10x rec.dose) much conflicting evidence re vits... http://goo.gl/WWFV",1
11352301951,"lexi5983 not sure If she is pregnant, you can take per Natal vits while you're trying to get prego.",1
10802234348,LMFAO! Urrmmm I'm assuming ur not pregnant cause ur on birth control but why the prenatal vits?! :uhh: RT (cont) http://tl.gd/ink1f,1
7750956409,heatherdavis04 Is it no caffeine while pregnant? I would hate that.  Did they switch your vits to prenatals or up them?,1
97206623851913217,"Just coz I'm looking for info on prenatal vits, the site thks I'm pregnant. Asked me to check on baby's development.",1
83306872865693696,"""pregnant womans diet w antioxidant vits, L-arginine could reduce risk preeclampsia...http://ping.fm/ACgPA KnowledgeIsPower!",1
79772562258804736,Chekakramer when i was still pregnant everytime i take my vits i vomit po..:(,1
78659716041015296,"nutsci So, multivits might have benefits?  Benefits isolated just to pregnant women?  Prenatal vits are recom'd, yet I was vitm deficient?",1
70969984406396928,"Pebblesy missnickibee they're good general vits. I didnt take them because I wanted to get pregnant, I took them for my nails :)",1
63945456329297920,"""Y do the prenatal vits say 'dietary supplement'! Ur not supposed to diet when ur pregnant! The point is to GAIN WEIGHT!"" stupidcoworkers",1
45711599109017600,"540=Pregnant? Avoid alcohol, caffeine,smoking, raw eggs,tension. Have food rich in protein, calcium, carbs,folic acid, iron, Vits & fiber..",1
43861812571160576,"Katmag20 JTsCorruptor  when my bff was pregnant,  she tried 3 different prenatals &was sick. She ended up having to take flinstsone vits",1
42423857017131008,"Pregnant?  Sunflower seeds are a great preggie snack: 3oz provides 20grms protein, plus rich in vits D, B, E, and more.",1
39896205106487297,Sometimes I really think the prenatal vits conspire against me to make me pee 2-3 times an hour when I'm CLEARLY NOT pregnant. Thanks a lot.,1
97206623851913217,"Just coz I'm looking for info on prenatal vits, the site thks I'm pregnant. Asked me to check on baby's development.",1
83306872865693696,"""pregnant womans diet w antioxidant vits, L-arginine could reduce risk preeclampsia...http://ping.fm/ACgPA KnowledgeIsPower!",1
79772562258804736,Chekakramer when i was still pregnant everytime i take my vits i vomit po..:(,1
78659716041015296,"nutsci So, multivits might have benefits?  Benefits isolated just to pregnant women?  Prenatal vits are recom'd, yet I was vitm deficient?",1
70969984406396928,"Pebblesy missnickibee they're good general vits. I didnt take them because I wanted to get pregnant, I took them for my nails :)",1
63945456329297920,"""Y do the prenatal vits say 'dietary supplement'! Ur not supposed to diet when ur pregnant! The point is to GAIN WEIGHT!"" stupidcoworkers",1
45711599109017600,"540=Pregnant? Avoid alcohol, caffeine,smoking, raw eggs,tension. Have food rich in protein, calcium, carbs,folic acid, iron, Vits & fiber..",1
43861812571160576,"Katmag20 JTsCorruptor  when my bff was pregnant,  she tried 3 different prenatals &was sick. She ended up having to take flinstsone vits",1
42423857017131008,"Pregnant?  Sunflower seeds are a great preggie snack: 3oz provides 20grms protein, plus rich in vits D, B, E, and more.",1
39896205106487297,Sometimes I really think the prenatal vits conspire against me to make me pee 2-3 times an hour when I'm CLEARLY NOT pregnant. Thanks a lot.,1
777830525927038976,"by those standards I shouldve bn pregnant by now, I've read the book, watched the YouTube vids, had the vits!!!",1
759203955075379202,"Ive been taking prenatal vits to help my hair & overall wellness, but I have a mild fear Im more likely to get pregnant if I have sex soon",1
755905837177180160,Does that include pregnant women because last week vits. were a waste of money for them?,1
752851831857016832,"Pregnant women dont need prenatal vits, study concludes https://www.statnews.com/2016/07/11/prenatal-supplement-unnecessary Agree. Folic acid 400 ug is what they need. + vit D.",1
737993671837155329,"Free vitamins for all pregnant women in Scotland will cost taxpayers 300k, scotgov confirms. Vits provided are C, D and Folic Acid",1
734866843555373056,Why would pregnant women/breastfeeding mums buy water/milk/sugar/carrageenan/flavour & some vits/mins & think it's nutrition? EatRealFood,1
698373359516553216,Organic whole food is BEST! You'll enjoy eating these vits in food when TTC Pregnant http://bit.ly/1Qd5a2c,1
777830525927038976,"by those standards I shouldve bn pregnant by now, I've read the book, watched the YouTube vids, had the vits!!!",1
759203955075379202,"Ive been taking prenatal vits to help my hair & overall wellness, but I have a mild fear Im more likely to get pregnant if I have sex soon",1
755905837177180160,Does that include pregnant women because last week vits. were a waste of money for them?,1
752851831857016832,"Pregnant women dont need prenatal vits, study concludes https://www.statnews.com/2016/07/11/prenatal-supplement-unnecessary Agree. Folic acid 400 ug is what they need. + vit D.",1
737993671837155329,"Free vitamins for all pregnant women in Scotland will cost taxpayers 300k, scotgov confirms. Vits provided are C, D and Folic Acid",1
734866843555373056,Why would pregnant women/breastfeeding mums buy water/milk/sugar/carrageenan/flavour & some vits/mins & think it's nutrition? EatRealFood,1
698373359516553216,Organic whole food is BEST! You'll enjoy eating these vits in food when TTC Pregnant http://bit.ly/1Qd5a2c,1
405395330620874752,"Pregnant__Pause Def need *bioavailable* vits (Metanx is best, but can get each vit cheaper OTC), and I've ended up needed Lovenox too.",1
369942854241910784,LiveBeyond...Hunger. Give a mom & her baby a fighting chance. $10/mon will food & vits each week for pregnant woman. http://ht.ly/o6DrK,1
369790701564735489,"Pregnant?

Remember to take your omega3 & pregnancy multi Vits

In stock now",1
367135464987164672,Another *another: Still really gross tummy. Know precisely how pregnant cod fish must feel. Do NOT take your vits in the dark. Argh!,1
359405299809009666,"HollyGShore good vits from holland and barratt for hair and nails....or get pregnant, my hair grew ALOT lol ;)",1
347194179648118784,"It's normal for pregnant woman, utk itulah mrk hrs ditreat special RT cendera: Exhausted. How many dose of vits I hv to drink actually?",1
332095913415831553,Lookin  sum1 and wondering if their mum took MDMA instead of multi vits when she was pregnant.  WTF is wrong with some people?,1
325266690818576388,"Pregnant mamas out there...you need more than just folic acid, don't forget all the Essentials (vits & minerals) USANA USANAXRC",1
